operation_id,operation_name,location_address,corrected_date,narrative,county,number_descriptions ,technical_assistance,operation_type
211610,Burning Bush Academy,4943 BONNIE VIEW RD  DALLAS TX- 75241 1602,4/24/17,Based on the information gathered during the investigation it was determined that staff of the operation pinch children in care.,DALLAS,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",YES,Licensed Center
98900,Friendswood Montessori School,809  S Friendswood DR 811 S Friendswood DR Friendswood TX- 77546,4/25/16,"Per the information obtained during my investigation, caregivers are using inappropriate discipline with children in care by grabbing children by their wrists and shoulders to redirect children.",GALVESTON,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
282191,Primrose School of Friendswood,1409 S FRIENDSWOOD DR  FRIENDSWOOD TX- 77546 4830,4/25/16,"Based on the information obtained caregivers are demonstrating harsh, cruel and unusual punishments toward children. The caregivers are grabbing children by their hands and arms forcefully. A caregiver threw a shoe at a child and the shoe hit the child on the forehead.",GALVESTON,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
249485,Nenes Kiddie Kollege,5410 SCOTT ST  HOUSTON TX- 77021 1516,4/25/17,Incident report did indicate that a caregiver hit a child with an instrument which resulted in her termination.  Note: Allegations are being investigated as abuse and neglect.,HARRIS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
153843,Berea Christian Learning Center,300 N HIGHWAY 146  BAYTOWN TX- 77520 2282,4/26/16,"Based on the information obtained the operation staff does hit the children with ""switches"" or branches off of trees.",HARRIS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,NO,Licensed Center
1234128,"Kids Rainbow Academy,  LLC",4959 OLD MANSFIELD RD  FORT WORTH TX- 76119 4658,4/26/16,A caregiver was observed and heard speaking harshly to  children in her care and was observed yanking a 18 to 24 month old's arm and forcing the child to sit by pulling the child's arm.,TARRANT,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
122407,Shining Stars Academy,7711 BEECHNUT ST  HOUSTON TX- 77074 3101,4/26/16,"Based on information obtained during Investigation, a caregiver in the schoolers room uses threats of corporal punishment by pointing her walking stick at children.",HARRIS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
1061569,Little Learners Daycare,505 RIDGEMONT DR  ALLEN TX- 75002 4056,4/26/17,This standard was evaluated with regards to an investigation and found to be deficient.  School age children were inappropriately disciplined when they were made to do wall sits.,COLLIN,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
271309,Small Miracles Child Care Center,2700 S RIGSBEE DR  PLANO TX- 75074 7059,4/26/17,This standard was evaluated as part of an investigation. Based on interviews it was determined that the center is deficient. A caregiver pinched a child in care.,COLLIN,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",NO,Licensed Center
1206518,Tuck Street Early Education Center,2111 E TUCK ST  SHERMAN TX- 75090 4112,4/26/17,This standard was evaluated due to an investigation at the operation and found to be out of compliance when caregiver used a  yard stick to discipline a child in care.,GRAYSON,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,NO,Licensed Center
365093,Childrens Treehouse Buckingham,3317 W BUCKINGHAM RD  GARLAND TX- 75042 4303,4/27/16,Based on the video reviewed during the investigation it was found that a caregiver inappropriately grabbed two children by the arm when putting the children in timeout. This caregiver was terminated for these actions.,DALLAS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
94192,Good Street Learning Center  INC,3126 ELSIE FAYE HEGGINS ST  DALLAS TX- 75215 4433,4/27/16,"Based on the information gathered during the investigation, 2 caregivers Neglectfully Supervised a child in care when the child was left on a vehicle used for transportation unsupervised. The child was left on the vehicle for over 1 hour.",DALLAS,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",NO,Licensed Center
237415,Trinity Child Development Center,3505 N MAIN ST  TAYLOR TX- 76574 4968,4/27/16,During an investigation there was sufficient evidence found that a child was neglected in care.,WILLIAMSON,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",YES,Licensed Center
96109,Grant Road Day Care Center,9514 GRANT RD  HOUSTON TX- 77070 4239,4/27/17,"Based on information obtained, there is sufficient evidence to conclude that a child was neglectfully supervised while in care at the operation.",HARRIS,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",NO,Licensed Center
1114664,Throne of Grace Learning Center,1812 HANDLEY DR  FORT WORTH TX- 76112 4118,4/27/17,"Five children interviewed stated the director and another caregiver ""whoops"" them with their hand or yellow stick when the children are in trouble.",TARRANT,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
286946,St. Joseph Catholic Early Learning Center,109 N PRESTON AVE  BRYAN TX- 77803 7031,4/28/16,"One caregiver grabbed a child, leaving a bruise on the child's arm, while placing the child in time out.",BRAZOS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
1211279,A+ Highpointe Academy,3211 W CAMP WISDOM RD  DALLAS TX- 75237 2605,5/1/17,Based on the information gathered during the investigation it was determined that caregivers used harsh discipline techniques toward the children in care by making the children stand  in the middle of  the room with their arms above their shoulders for long periods of time causing pain to their arms.,DALLAS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",NO,Licensed Center
1211279,A+ Highpointe Academy,3211 W CAMP WISDOM RD  DALLAS TX- 75237 2605,5/1/17,Based on the information gathered during the investigation it was determined that the director and another caregiver were hitting the children while they were in care.,DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,NO,Licensed Center
318137,Miles Ahead Child Care Development Center,3301 E RANCIER AVE STE 111B KILLEEN TX- 76543 7811,5/1/17,During an investigation it was found that a child was neglected while in care.,BELL,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",NO,Licensed Center
157511,Childtime Learning Centers,3170 N FRY RD  KATY TX- 77449 6239,5/2/16,"Based on the information obtained a caregiver demonstrated harsh, cruel, and unusual punishments by grabbing children by their arms to take them to time-out.",HARRIS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
368890,The Kid's Garden Learning Center,10918 WURZBACH RD STE 100 SAN ANTONIO TX- 78230 2578,5/2/16,"Based on the information obtained, a caregiver spanked a child during nap time.",BEXAR,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,NO,Licensed Center
1130317,Kids Kingdom Learning Center,4105 BROADWAY BLVD  GARLAND TX- 75043 2519,5/2/17,Caregiver found to be spanking children with hand and belt.,DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
1111473,ABC Learning Center,1905 E PRICE ST  PARIS TX- 75460 4777,5/3/16,The caregiver saw a child leave her classroom and failed to retrieve the child or notify anyone of the child leaving her room in a timely manor.      As a result this child left the operation placing him at substantial risk.,LAMAR,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",NO,Licensed Center
324856,Creative Children's Center,219 OAKLAWN AVE  CORSICANA TX- 75110 3034,5/3/16,There is sufficient evidence that a caregiver abused a child while in care.,NAVARRO,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",NO,Licensed Center
324856,Creative Children's Center,219 OAKLAWN AVE  CORSICANA TX- 75110 3034,5/3/16,A caregiver slapped a child in the face three times.,NAVARRO,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
168264,Discovery House,105 TERRACE DR  DESOTO TX- 75115 5752,5/3/16,"Based on information gathered, staff have been observed, grabbing, kicking, pushing and dragging children in care.",DALLAS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",NO,Licensed Center
168264,Discovery House,105 TERRACE DR  DESOTO TX- 75115 5752,5/3/16,"Based on information gathered, it is determined that staff have hit children in care.",DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,NO,Licensed Center
189910,Faithful Care Learning Center,1910 Bellwood RD   Tyler TX- 75701,5/3/16,"Based on the information gathered during the investigation, a caregiver at the operation used inappropriate discipline when they struck a child with a sleeping mat as a punishment.",SMITH,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,NO,Licensed Center
167184,Little Flock Christian Daycare,8257 HIGHWAY 87 N  ORANGE TX- 77632 0530,5/4/16,An incident occurred at the operation where a child was able to leave the building. This placed the child at risk for significant harm and injury. The center has now built a fence blocking the building entrances from the parking lot to keep incidents like this from occurring in the future.,ORANGE,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",NO,Licensed Center
1183312,Poppy's House,2635 N BELT LINE RD  SUNNYVALE TX- 75182 9343,5/4/16,"Based on information gathered, a child in care was hit with the hand and an instrument by a caregiver.  The caregiver is no longer employed at the operation.",DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,NO,Licensed Center
192828,Sugar and Spice Childrens Academy,311 E COURT ST  SEGUIN TX- 78155 5707,5/4/16,Based on the information gathered the caregiver in the school age classroom hit the children on the back of head with her hand as a form of discipline.  The caregiver grabbed the children's by the shirt collar and by the arms.,GUADALUPE,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
95690,YWCA Mabee Early Learning Academy,10712 SAM SNEAD DR  EL PASO TX- 79935 2414,5/4/17,A caregiver used inappropriate discipline with a child in care at the operation.,EL PASO,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
102785,Instruction Junction,855 S 8TH ST  BEAUMONT TX- 77701 4603,5/5/16,"This standard was evaluated in regards to a report received and compliance was not met.    A caregiver is using inappropriate methods of discipline with children. A caregiver is yelling, yanking, pulling and humiliating children as methods of discipline.",JEFFERSON,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
107998,Longview Child Development Center,1230 S HIGH ST  LONGVIEW TX- 75602 2556,5/5/16,Based on the information gathered it was observed that a caregiver hit a child with her hand and an object.,GREGG,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,NO,Licensed Center
277921,Hills Children Nursery Incorporated,5480 W CARDINAL DR  BEAUMONT TX- 77705 2636,5/5/17,A caregiver placed children in a dark closet in the classroom for a short period of time as a means of discipline. The children were under the impression that a monster was in the closet.,JEFFERSON,"746.2805(8) - Prohibited Punishments -Placing Child in Locked, Dark Room",NO,Licensed Center
303828,Montessori at The Courtyard,2804 CENTRAL DR  BEDFORD TX- 76021 4811,5/5/17,"Based on information obtained, there is reason to believe children were neglectfully supervised.",TARRANT,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",NO,Licensed Center
1157456,Primrose School of Bee Cave,3801 JUNIPER TRCE  BEE CAVE TX- 78738 5505,5/5/17,During an investigation there was sufficient evidence found that a child was neglected in care.,TRAVIS,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",YES,Licensed Center
1103903,TMC Mathis,599 N HWY 9  MATHIS TX- 78368 1513,5/5/17,"Based on the information gathered, a caregiver used inappropriate discipline, by swatting a child's hand to redirect their behavior.",SAN PATRICIO,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
1178099,Little Texans Learning Academy,15913 WINDERMERE DR  PFLUGERVILLE TX- 78660 2504,5/6/16,"Based on information obtained during the investigation, it was found that a caregiver used prohibited punishment when dealing with an upset child.",TRAVIS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
281900,Peaceful Images Child Development Center LLC,875 W PLEASANT RUN RD  LANCASTER TX- 75146 1445,5/6/16,A caregiver left a child in a van unattended after picking the child up from it's elementary school.,DALLAS,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",NO,Licensed Center
96599,Wee Learn Center,209 E SOUTH ST  LONGVIEW TX- 75601 7440,5/6/16,A caregiver was seen on video yanking a child by the arm and kicking a child.,GREGG,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
1160807,Mi Escuelita Preschool at Good Shepherd,4931 BERNAL DR  DALLAS TX- 75212 3326,5/8/17,"This standard was evaluated with regards to an investigation and based on interviews it was found to be a violation. A caregiver inappropriately grabbed children in care. The same caregiver would make or threaten the males in the class to wear dresses or a diaper (made by blankets) if they misbehaved. Also, another caregiver in the class was aware of the incidents and did not report the information in a timely manner.",DALLAS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",NO,Licensed Center
1211279,A+ Highpointe Academy,3211 W CAMP WISDOM RD  DALLAS TX- 75237 2605,5/9/17,"Based the information gathered during the investigation, it was determined that a driver for the operation took children home and left them unsupervised without verifying whether or not an adult was home to take the children in. It was also identified that the same driver left children in the care of an individual who was not related to the children, was not authorized to take possession of the children and the individual confirmed they took possession of the wrong children.",DALLAS,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",NO,Licensed Center
245316,Creative Kids Learning Center,7530 FORNEY RD  DALLAS TX- 75227 2502,5/9/17,"Based on the information received during an investigation, it was identified that a caregiver at the operation has been hitting children at the operation with their hand as a form of punishment. This is a violation of the minimum standards.",DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
890788,Inch Worm Day Care Learning Center,11002 LEOPARD ST  CORPUS CHRISTI TX- 78410 2610,5/10/17,There was information gathered through this investigation which supports that the operations director has made a child or children stand in the corners of her office for an unknown length of time as discipline for these children miss behaving or not following the directions given by the caregivers in the preschool classroom.,NUECES,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
1118267,All Day Child Care,15371 BEN WIGGINS RD  CONROE TX- 77303 4805,5/11/16,Based on the information gathered a employee hit a child on their bottom with a shoe.  Note: The employee was terminated.,MONTGOMERY,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,NO,Licensed Center
1251614,CDI Head Start Serving North Texas Boyd-Head Start /EHS/Chil,650 KNOX AVE  BOYD TX- 76023 3216,5/11/17,This standard was evaluated in regard to an investigation and was found to be out of compliance. A caregiver did not demonstrate self-control when she slapped a child on the inside of the arm for throwing foam letters in the air. The same caregiver was accused of slapping another child in the face earlier in the year.,WISE,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,NO,Licensed Center
97145,Martin Luther King Child Care,1100 SMITH ST  WICHITA FALLS TX- 76301 1331,5/11/17,The investigation concludes neglectful supervision occurred  when a caregiver left a child unattended at the operation..,WICHITA,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",YES,Licensed Center
555249,Kids' Kollege Learning Center,302 CONQUEST  EDINBURG TX- 78539 3009,5/12/17,A child went missing from the center while in care. The child was later found across the plaza by a stranger.,HIDALGO,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",NO,Licensed Center
264561,Kids Palace Learning Center,1001 METKER ST  IRVING TX- 75062 4424,5/12/17,"Based on the information received during the investigation, it was determined that a caregiver at the operation was spanking children in care.",DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
154865,Kinder Care Learning Center #1540,13025 LOUETTA RD  CYPRESS TX- 77429 5181,5/13/16,"After conducting interviews with operation staff and children at the operation, it was determined that the caregiver in question was using forms of prohibited punishment, hitting children with what they called a ""pow pow"" stick which was a ruler.",HARRIS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
94270,First Baptist Child Development Center and Preschool,709 N LEE AVE  ODESSA TX- 79761 4427,5/16/16,A staff person  used inappropriate discipline by pulling a child's arms.,ECTOR,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",YES,Licensed Center
367066,Peppermint Plantation Inc #3 & #4,"712 Scharbauer #113, #115, #122 Midland TX- 79701",5/16/16,It was determined that a caregiver instructed a child to stand holding his arms out to his side as a form of discipline.,MIDLAND,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",NO,Licensed Center
99496,Polytechnic Child Care Center,3401 AVENUE I  FORT WORTH TX- 76105 2423,5/16/16,This standard was evaluated as the result of a self report and was found to be deficient.    A caregiver in the infant room swatted a child after the caregiver was scratched by the child.,TARRANT,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
823009,US Champions Martial Arts and Fitness,119 W PEARCE ST  BAYTOWN TX- 77520 7741,5/16/16,When I entered the operation there was a child doing push ups and other work out movements because she got in trouble on the transportation bus. The operation staff has been using work out methods for discipline for all the children in the operation.,HARRIS,"744.2105 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
1191278,Wilbarger County Early Head Start CDC,2915 SAND RD  VERNON TX- 76384 6508,5/16/17,The investigation concludes a caregiver used prohibited punishment to a child in care.,WILBARGER,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
102785,Instruction Junction,855 S 8TH ST  BEAUMONT TX- 77701 4603,5/17/16,An incident occurred at the operation where a child was able to leave the building. This placed the child at risk for significant harm and injury.,JEFFERSON,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",NO,Licensed Center
1092100,Kendall County Head Start,316 W HIGHLAND ST  BOERNE TX- 78006 2525,5/17/16,Based upon that information that was received and reviewed throughout the course of the investigation it was determined that the staff were restraining a child by having the child in their lap and restricting them from moving or freeing themselves.,KENDALL,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
678848,ABC Dual Language Learning Center,1163 CLEARLEAF DR  BRYAN TX- 77803 3515,5/18/16,Information obtained during the investigation shows that a caregiver has used prohibited punishment with children in care.,BRAZOS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
1132283,CHILDRENS LIGHTHOUSE LEARNING CENTER AT SCHERTZ,2080 SCHERTZ PKWY  SCHERTZ TX- 78154 1674,5/18/16,A caregiver used harsh discipline when yelling at a child and picking the child up by one arm to take to time out.      Note: The caregiver was terminated.,GUADALUPE,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
1145234,Sunshine Learning Academy,711 S LOVERS LN  GATESVILLE TX- 76528 2527,5/18/16,Based on information obtained from interviews it was found a caregiver used prohibited discipline with a child in care when the child was grabbed by the arm.,CORYELL,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
165817,Legacy Learning Center,2214 ACROPOLIS DR  FLOWER MOUND TX- 75028 1842,5/18/17,A teacher did spank a child.,DENTON,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,NO,Licensed Center
383780,Country Tykes INC,401 BAUMGARTEN ST  SCHULENBURG TX- 78956 2103,5/19/16,During an investigation there was sufficient evidence to find that a child was neglected while in care.,FAYETTE,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",YES,Licensed Center
94530,Preston Hollow Methodist CDC,6315 WALNUT HILL LN  DALLAS TX- 75230 5116,5/19/16,A caregiver used harsh treatment as a form of discipline by pulling a child by the leg and clothes to make the child sit next to the caregiver as a form of timeout.,DALLAS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",NO,Licensed Center
355697,Pettit Private School INC,102 OLD BASE RD  AURORA TX- 76078 4540,5/19/17,"Out of five children interviewed, three children stated the caregiver pulled their ears as a form of discipline.",WISE,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
1109896,Childrens Lighthouse,19607 CLAY RD  KATY TX- 77449 5586,5/20/16,"Based on information obtained, a caregiver demonstrated harsh, cruel or unusual punishment when grabbing a child in care.",HARRIS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
202912,Lollypop Learning Center,3030 LAMAR AVE  PARIS TX- 75460 5014,5/20/16,This standard was reviewed in relation to the reported allegations and found deficient. Based on interviews with operation staff and children it was determined a caregiver is hitting children with a colored stick as a method of discipline.,LAMAR,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
1213160,St. James Child Development Center Child Inc.,1941 WEBBERVILLE RD  AUSTIN TX- 78721 1679,5/20/16,It was found that a volunteer used a prohibited method of discipline with a child in care.,TRAVIS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,NO,Licensed Center
573048,Stonebridge Academy,1921 GRASSMERE LN  MCKINNEY TX- 75071 8553,5/20/16,"Based on information gathered, a caregiver hit a child. With information received, the caregiver is no longer employed at the operation.",COLLIN,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,NO,Licensed Center
1208749,Handprints Child Care 10 LLC dba Handprints Academy,3401 W STAN SCHLUETER LOOP  KILLEEN TX- 76549 5677,5/20/17,A caregiver used an inappropriate method of discipline when she tugged on a child's ear to re-direct the child's behavior.    This was corrected prior to inspection as the caregiver was terminated.,BELL,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,NO,Licensed Center
1258570,Busy Bees Daycare,327 ST MARTINS CHURCH RD  WEST TX- 76691 2135,5/22/17,During an inspection it was found that a caregiver was slapping children on their hands with the caregiver's hand.,MCLENNAN,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
113727,Kindercare Custer,6525 CUSTER RD  PLANO TX- 75023 3202,5/23/16,This standard was evaluated in regards to an investigation and was shown deficient.  A caregiver hit a child on the back of the hand when redirecting the child from tearing art work off the wall.,COLLIN,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
274019,The Alphabet Club,14530 OLD KATY RD  HOUSTON TX- 77079 1024,5/23/16,"Based on the information found during the investigation, harsh guidance was used when a caregiver forcefully grabbed a child to bring the child toward her for redirection for inappropriate behavior.",HARRIS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",NO,Licensed Center
94521,Good Samaritan Center,1600 SALTILLO ST  SAN ANTONIO TX- 78207 6842,5/23/17,Based on the information obtained through the investigation it was determined the caregiver pulled a child?s ponytail and held the child?s arms behind the child?s back as a form of discipline.,BEXAR,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
1184968,New Cyfair Kids Academy,6955 BARKER CYPRESS RD  HOUSTON TX- 77084 1087,5/23/17,"Based on the information obtained and viewing of the daycare video camera, there is sufficient evidence to validate a caregiver used force to make a child lay down for nap time.     NOTE: There was no observation of the caregiver kicking the child.",HARRIS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
1094471,"Noahs Ark Learning Center, Inc",4030 PIONEER RD  BALCH SPRINGS TX- 75180 3013,5/23/17,"Based on the information gathered during the investigation, it was identified that a child was able to leave the supervision of his caregivers at the operation and wonder outside the facility. As a result, the child was found by a passerby and returned to the caregivers inside the operation. The findings in this case were Reason to Believe for Neglectful Supervision.",DALLAS,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",NO,Licensed Center
149592,First Learning Tree,801 E MAIN ST  ROCKPORT TX- 78382 2629,5/24/16,A caregiver pushed a child causing the child to suffer a busted lip.,ARANSAS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
157449,Nueva Vida Day Care Center,2602 W ILLINOIS AVE  DALLAS TX- 75233 1002,5/24/16,"Based on the information received during the investigation, a caregiver admitted to spanking a child in care at the operation.",DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,NO,Licensed Center
299298,Developing Minds Learning Center,7634 BELLFORT ST  HOUSTON TX- 77061 1704,5/24/17,There is sufficient evidence to support the allegation of neglect in the operation.,HARRIS,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",YES,Licensed Center
963032,See Saw Children's Place - Fairmont,1450 W FAIRMONT ST  LONGVIEW TX- 75604 4407,5/24/17,Based on the information gathered the staff in the operation hit and grabbed a child with the hand.,GREGG,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
1223338,Mile Stones Academy,15656 CLASSEN RD  SAN ANTONIO TX- 78247 2184,5/25/16,"Through information received during interviews at the investigation, it was determined that a caregiver used inappropriate discipline during a situation.  The caregiver yelled at a child.",BEXAR,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,NO,Licensed Center
905073,Head Start Meadow Village Elementary,1406 MEADOW WAY DR  SAN ANTONIO TX- 78227 1658,5/26/16,"Based on information gathered it was determined that a caregiver, pinched a child on the arm, as a form of discipline.",BEXAR,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",YES,Licensed Center
703968,The Learning Zone,704 N TWIN CREEK DR  KILLEEN TX- 76543 4235,5/26/16,Based on information obtained during the investigation it was determined a caregiver used inappropriate discipline method with a child while in care.,BELL,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",YES,Licensed Center
151574,West Parkway Day Care and Learning Center,824 T M WEST PKWY  WEST TX- 76691 2578,5/26/16,It was found in the course of the investigation that children were spanked by a caregivers hand.,MCLENNAN,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
97125,Crossroads Christian Academy,5834 RAY ELLISON BLVD  SAN ANTONIO TX- 78242 2029,5/26/17,"Based on the information obtained, spanking is a form of discipline used in the classroom.",BEXAR,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,YES,Licensed Center
322249,Kids First Christian Academy,210 PHILIP ST  JACKSONVILLE TX- 75766 5516,5/26/17,This standard was evaluated as part of an investigation and found to be deficient. Teachers were seen on different occasions shaking and yelling at children in a hateful way.,CHEROKEE,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",YES,Licensed Center
277960,Episcopal Day School,322 S CHURCH ST  PARIS TX- 75460 5853,5/27/16,"Based on the information gathered, a caregiver admitted to hitting a child in care at the operation.",LAMAR,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,NO,Licensed Center
813129,Windmill Farms Private School,1000 CONCORD ST  FORNEY TX- 75126 8549,5/27/16,A caregiver used inappropriate discipline by placing hands on the child's cheeks to make the child look up at the caregiver.,KAUFMAN,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",NO,Licensed Center
376571,The Goddard School,4076 GATTIS SCHOOL RD  ROUND ROCK TX- 78664 9767,5/30/17,"During an investigation it was verified that a child received scratches and bruising, when a caregiver pushed the child's head down.",TRAVIS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",NO,Licensed Center
376571,The Goddard School,4076 GATTIS SCHOOL RD  ROUND ROCK TX- 78664 9767,5/30/17,During an investigation there was sufficient evidence to find that a child was abused while in care.,TRAVIS,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",YES,Licensed Center
159866,Wagners Day Care,328 LORRAINE DR  WACO TX- 76707 3833,5/30/17,During an investigation there was sufficient evidence to find that a child was neglected while in care.,MCLENNAN,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",YES,Licensed Center
99287,KINDER CARE NO 802,14614 WALLISVILLE RD  HOUSTON TX- 77049 4436,5/31/16,Based on the information obtained a caregiver did pinch a child in care and caused bruising to the child body.,HARRIS,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",YES,Licensed Center
99287,KINDER CARE NO 802,14614 WALLISVILLE RD  HOUSTON TX- 77049 4436,5/31/16,Based on the information obtained a caregiver did pinch a child in care and caused bruising to the child body.,HARRIS,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",YES,Licensed Center
