Injuries1 in CCL Investigations2 Sustained in Day Care Centers and Homes,,,,,,,,,,,,,,,,
"July 01, 2017 - July 31, 2018",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Operation Type3,Operation Number,Operation Name ,Impact Case ID,Impact Stage ID,Class Investigation ID,CLASS Investigaion Number,Date Intake Received ,Date Investigation Completed,Injury,Injury Related to Abuse/Neglect,Injury Determination,Type of Injury,Other Type of Injury,Injury Caused By,Injury Related To,Incident Location
Licensed Center,817990,All Gods Children,,,1566074,2353798,7/18/2017,7/24/2017,Y,N,Non-Serious,Fracture,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,840938,Discovery World Learning Center,45378204,0,1566127,2354008,7/18/2017,7/26/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Self-Inflicted,Unknown,Child in care at the operation
Licensed Center,1103906,Huey Learning Center,,,1566186,2354112,7/19/2017,8/1/2017,Y,N,Non-Serious,Other,ant bite,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1512886,Children's Learning Adventure Child Care Center,,,1566133,2354100,7/19/2017,8/15/2017,Y,N,Non-Serious,Other,Cut on top of head,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1554541,Kiddie Academy of Pearland - West,,,1566132,2354066,7/19/2017,9/15/2017,Y,N,Non-Serious,Other,Bloody Nose,Self-Inflicted,Tripped and fell,Child in care at the operation
Licensed Center,156491,Walkers Day Care,45379595,69158898,1566117,2354067,7/19/2017,8/15/2017,Y,N,Non-Serious,Laceration,Scratch to arm,Self-Inflicted,Unknown,Child in care at the operation
Licensed Center,1595862,Little Sprouts,,0,1566060,2353865,7/19/2017,8/18/2017,Y,N,Non-Serious,Other,scratch,Other,,Child in care at the operation
Licensed Center,1629051,Primrose School of Pflugerville at Falcon Pointe,,,1566144,2354124,7/19/2017,9/11/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1645102,Kiddie Academy of Aliana,45380481,69161761,1566170,2354216,7/19/2017,8/16/2017,Y,N,Non-Serious,Contusion,,Discipline,Picking up by arms,Child in care at the operation
Licensed Center,1655217-668,Y School Age @ New Braunfels Church of the Nazarene,,,1566136,2354054,7/19/2017,8/4/2017,Y,N,Non-Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,209138,Kinder Care Learning Center No 1009,,,1566125,2354064,7/19/2017,7/21/2017,Y,N,Non-Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,249821,Becker Early Childhood Center,,,1566108,2354022,7/19/2017,8/3/2017,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,table,Child in care at the operation
Licensed Center,515911,Stepping Stone School,,,1566166,2354161,7/19/2017,8/4/2017,Y,N,Non-Serious,Laceration,,Self-Inflicted,accidental tripping and falling,Child in care at the operation
Licensed Center,527562,Primrose School of Bedford,,,1566154,2354111,7/19/2017,7/20/2017,Y,N,Non-Serious,Other,sprain wrist,Other,,Child in care at the operation
Licensed Center,538445,Light Christian Academy,,,1566116,2354053,7/19/2017,9/15/2017,Y,N,Non-Serious,Laceration,,Self-Inflicted,accident,Child in care at the operation
Licensed Center,809921-5052,Rebecca C. Cervantez Early Education Center,,,1566102,2354030,7/19/2017,8/21/2017,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,840535,Kids R Kids,,,1566101,2354029,7/19/2017,8/21/2017,Y,N,Non-Serious,Other,bump,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,866039,My Little College,45380392,69162727,1566196,2354186,7/19/2017,8/17/2017,Y,Y,Non-Serious,Other,Scratch on arm and left cheek,Discipline,Possible grabbing,Child in care at the operation
Licensed Center,872120,Community Bible Church Kids Day Out,,,1566099,2353999,7/19/2017,7/26/2017,Y,N,Serious,Fracture,Pinky finger caught  in a chair hinge,Other,,Child in care at the operation
Licensed Center,1049346,Kids R Kids Cedar Park,,0,1566230,2354357,7/20/2017,8/15/2017,Y,N,Serious,Other,dislocated elbow,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,123156,Montessori Child Development,,,1566216,2354338,7/20/2017,9/14/2017,Y,N,Non-Serious,Laceration,,Self-Inflicted,Tripped,Child in care at the operation
Licensed Center,148568,Oak Forest Montessori School,,0,1566167,2354169,7/20/2017,7/24/2017,Y,N,Non-Serious,Fracture,,Outdoor Equipment/Structure,Wood Post of a shaded area on the playground,Child in care at the operation
Licensed Center,1540241,Bright Beginnings Preschool,,,1566282,2354319,7/20/2017,8/21/2017,Y,N,Non-Serious,Other,Sprain,Other,,Child in care at the operation
Licensed Center,1543107,Explorers Club,,,1566281,2354361,7/20/2017,9/8/2017,Y,N,Non-Serious,Other,pinched finger under  bottom of rocking chair,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1630331,Cornerstone Learning Academy and Childcare LLC,45382423,69165659,1566283,2354415,7/20/2017,8/14/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1630437,Tiny Tigers Child Care,,,1566298,2354350,7/20/2017,8/7/2017,Y,N,Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1630994,Pioneer Crossing YMCA,,0,1566278,2354400,7/20/2017,8/9/2017,Y,N,Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,1641105,Pleasanton Learning Center,45381056,69163441,1566257,2354327,7/20/2017,8/18/2017,Y,N,Non-Serious,Other,"Scratch, bruise",Other,,Child in care at the operation
Licensed Center,204132,Gethsemane Lutheran Childrens,,,1566212,2354325,7/20/2017,7/26/2017,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,520799,Memorial Creme De La Creme,,,1566202,2354273,7/20/2017,8/24/2017,Y,Y,Non-Serious,Mouth/Eye/Ear,,Other,,Child in care at the operation
Licensed Center,524038-806,Valley Ranch Elementary YMCA,,,1566295,2354420,7/20/2017,9/14/2017,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,Occurred on field trip to Hawaiian Falls,Child in care away from the operation
Licensed Center,535112,Precious Stones Preschool,,,1566209,2354296,7/20/2017,8/10/2017,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,541030,Tiny Tot Learning Center,45381380,0,1566279,2354359,7/20/2017,8/3/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Other,,Child in care away from the operation
Licensed Center,543825,Aunt Rosies Day Care,,,1566238,2354372,7/20/2017,9/12/2017,Y,N,Non-Serious,Laceration,,Self-Inflicted,Fell while running on playground,Child in care at the operation
Licensed Center,876183-810,The Childrens Courtyard,,,1566235,2354360,7/20/2017,7/25/2017,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,877648,Gateway Baptist Child Development Center,,,1566179,2354162,7/20/2017,8/15/2017,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,877962,Childrens Lighthouse of McCreary,,0,1566201,2354184,7/20/2017,8/8/2017,Y,N,Non-Serious,Other,ant bites ,Other,,Child in care at the operation
Licensed Center,899070,Kids Xpression Learning Center,,0,1566488,2355037,7/20/2017,8/29/2017,Y,N,Non-Serious,Other,Bite mark,Other,,Child in care at the operation
Licensed Center,948646,Westlake Child Development Ctr,,,1566218,2354326,7/20/2017,9/12/2017,Y,N,Non-Serious,Other,Dislocated tooth,Other,,Child in care at the operation
Licensed Center,134988-747,Kindercare - Collins,,,1566559,2354661,7/21/2017,9/7/2017,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1399988,Dealey Child Care Center,,,1566321,2354487,7/21/2017,7/25/2017,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1448286,Primrose School at Cibolo Canyons,,,1566505,2354594,7/21/2017,8/15/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1456466,Comal ISD School Age Child Care - Timberwood Park Elementary,,0,1566339,2354589,7/21/2017,8/7/2017,Y,N,Serious,Fracture,,Indoor Equipment/Structure,,Child in care away from the operation
Licensed Center,1497153,Jacksboro ISD Child Care Center,,,1566280,2354403,7/21/2017,8/8/2017,Y,N,Non-Serious,Fracture,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1503095,"IMAT Instituto Mexico en Texas, LLC",45384095,69172853,1566458,2354774,7/21/2017,8/17/2017,Y,N,Non-Serious,Other,Bruising on legs,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1517452,Kinder Elite Academy II,45383086,69166711,1566317,2354520,7/21/2017,9/21/2017,Y,Y,Non-Serious,Other,Bruise to the face area,Other,,Child in care at the operation
Licensed Center,1561964,Armenta's Early Childhood Development,,,1566335,2354567,7/21/2017,8/14/2017,Y,N,Serious,Laceration,,Water Activities,Water Splash Pad,Child in care away from the operation
Licensed Center,1625656,First Class Children's Center,,,1566473,2354999,7/21/2017,9/15/2017,Y,N,Non-Serious,Contusion,,Self-Inflicted,Accidental fall/loss of balance,Child in care at the operation
Licensed Center,1642863,Bailey's Babies-Childcare and Learning Ctr.,,0,1566346,2354602,7/21/2017,7/31/2017,Y,N,Serious,Laceration,,Indoor Equipment/Structure,,Child in care away from the operation
Licensed Center,195782,Livingston Montessori School,,,1566284,2354404,7/21/2017,7/25/2017,Y,N,Non-Serious,Fracture,,Indoor Equipment/Structure,Ball ,Child in care at the operation
Licensed Center,34308,First English Lutheran Child Development Center,,,1566333,2354553,7/21/2017,8/23/2017,Y,N,Non-Serious,Contusion,,Other,,Child in care at the operation
Licensed Center,502101,First Class Learning Center,,,1566324,2354538,7/21/2017,8/3/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,541030,Tiny Tot Learning Center,,0,1566303,2354465,7/21/2017,8/3/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Other,,Child in care away from the operation
Licensed Center,834314,Primrose School of Eldorado,,,1566320,2354509,7/21/2017,8/25/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Self-Inflicted,none,Child in care at the operation
Licensed Center,840535,Kids R Kids,,0,1566336,2354578,7/21/2017,8/1/2017,Y,N,Non-Serious,Other,Snake Bite,Other,,Child in care at the operation
Licensed Center,840816,Hands 'n'  Hands Childcare and Learning Center,,0,1566560,2354544,7/21/2017,8/21/2017,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,849467,Kidztown Child Care #2,45383758,,1566470,2354902,7/21/2017,8/16/2017,Y,N,Non-Serious,Contusion,,Other,,Child in care at the operation
Licensed Center,902717,Blazier Extend A Care,,0,1566338,2354549,7/21/2017,8/17/2017,Y,N,Non-Serious,Fracture,,Indoor Equipment/Structure,Basketball,Child in care at the operation
Licensed Center,99,Cliff Temple Child Development,,,1566417,2354660,7/21/2017,9/14/2017,Y,N,Serious,Other,Allergic Reaction,Other,,Child in care at the operation
Licensed Center,1593061,Handprints Child Care 11 LLC dba Handprints Academy,,,1566481,2355013,7/22/2017,8/24/2017,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,822281,Great Beginnings Pre-School & Childcare,45384904,69172998,1566466,2354916,7/22/2017,8/18/2017,Y,N,Non-Serious,Other,Bruising,Other,,Child in care away from the operation
Licensed Center,118166-747,Kinder Care No 274,45385526,,1566494,2354994,7/23/2017,7/25/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,160236-906,Andrews Extend A Care,,,1566492,2355065,7/23/2017,8/10/2017,Y,N,Non-Serious,Other,Swelling,Other,,Child in care at the operation
Licensed Center,219495,Valley Hi Baptist Academy,45385189,69180760,1566634,2354744,7/23/2017,9/14/2017,Y,N,Non-Serious,Other,red linear marks and scratch,Discipline,grab,Child in care at the operation
Licensed Center,1085126,Kool Kids Daycare,,,1566522,2355158,7/24/2017,9/21/2017,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,1499634,Alexanders Academy,,,1566526,2355182,7/24/2017,9/21/2017,Y,N,Non-Serious,Other,Bite,Other,,Child in care at the operation
Licensed Center,1528257,CHILDREN OF LIGHT,45387064,69181974,1566581,2355242,7/24/2017,8/23/2017,Y,Y,Serious,Contusion,,Discipline,Forcefully Grabbing ,Child in care at the operation
Licensed Center,1538175,IGrow Montessori,,,1566572,2355203,7/24/2017,7/26/2017,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1547927,YMCA at Newman Elementary,,0,1566564,2355184,7/24/2017,8/1/2017,Y,N,Serious,Fracture,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1649397-1030,San Angelo YMCA- Reagan,,,1566667,2355186,7/24/2017,8/1/2017,Y,N,Non-Serious,Fracture,,Other,,Child in care away from the operation
Licensed Center,208945,Good Hope Baptist Church CDC,45386742,,1566602,2355436,7/24/2017,9/12/2017,Y,N,Non-Serious,Other,Scratches on Forehead causing scars,Other,,Child in care at the operation
Licensed Center,410445,Shining Stars Academy,,0,1566483,2354995,7/24/2017,8/22/2017,Y,N,Non-Serious,Fracture,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,43852-747,Kindercare - Marquita,,,1566518,2355027,7/24/2017,8/7/2017,Y,N,Non-Serious,Other,Bruise ,Other,,Child in care at the operation
Licensed Center,501967-810,Childrens Courtyard,,,1566562,2355098,7/24/2017,8/9/2017,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,558679-810,The Childrens Courtyard,,,1566563,2355200,7/24/2017,8/28/2017,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,810796,Sugar and Spice Childrens Academy,,,1566506,2355135,7/24/2017,8/25/2017,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,Fence,Child in care at the operation
Licensed Center,856252,Corner School,,,1566540,2355209,7/24/2017,7/27/2017,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,881784,"Mi Casita Montessori School, Inc.",,0,1566513,2355180,7/24/2017,8/2/2017,Y,N,Non-Serious,Laceration,hemotoma,Outdoor Equipment/Structure,tripped over step or pvc frame from garden pathwayto asphalt area,Child in care at the operation
Licensed Center,1358766,Childcare Network #197,45388043,69179394,1566623,2355419,7/25/2017,8/22/2017,Y,N,Non-Serious,Other,red marks on arm,Discipline,,Child in care at the operation
Licensed Center,1434646,Legacy Kids Academy,,,1566609,2355403,7/25/2017,8/2/2017,Y,N,Non-Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,1496635,Woodforest Academy,,,1566608,2355408,7/25/2017,9/18/2017,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,150369,Rosie K Mauk CDC,,,1566679,2355617,7/25/2017,8/1/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1507907,Red Lick  Christian Preschool,,,1566606,2355411,7/25/2017,8/14/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1540725,After The Bell Good Summer Program,,,1566625,2355345,7/25/2017,9/20/2017,Y,N,Non-Serious,Other,broken finger,Other,,Child in care at the operation
Licensed Center,1557561,"SPRHS Outreach and Educational Services, Inc.",,,1566641,2355476,7/25/2017,8/23/2017,Y,N,Non-Serious,Other,Bug Bites,Other,,Child in care at the operation
Licensed Center,1594979,Primrose School of Old Orchard,45389472,69181855,1566652,2355502,7/25/2017,9/29/2017,Y,N,Serious,Fracture,,Self-Inflicted,Toddler Fracture,Child in care at the operation
Licensed Center,1617680,Sprouts Learning Academy,,,1566653,2355466,7/25/2017,9/13/2017,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1644601,Pinnacle Montessori of Frisco,45389853,0,1566686,2355498,7/25/2017,8/11/2017,Y,N,Non-Serious,Other,scratch ,Other,,Child in care at the operation
Licensed Center,1646861,Americas Choice Children Center,,,1566605,2355405,7/25/2017,8/21/2017,Y,N,Non-Serious,Laceration,,Discipline,,Child in care at the operation
Licensed Center,253645,Hallsville CDC,45389382,69180239,1566674,2355477,7/25/2017,10/5/2017,Y,Y,Serious,Other,Child left on the van. ,Other,,Child in care away from the operation
Licensed Center,302868-1346,Little Tyke Brentwood,,0,1566585,2355329,7/25/2017,8/22/2017,Y,N,Non-Serious,Other,swollen etye,Other,,Child in care at the operation
Licensed Center,403468,Creme De La Creme,,0,1566617,2355449,7/25/2017,8/16/2017,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,523879,First Baptist Church CDC,,0,1566568,2355289,7/25/2017,8/4/2017,Y,N,Non-Serious,Other,scrapes on his fingers,Indoor Equipment/Structure,classroom door,Child in care at the operation
Licensed Center,535422,Belton Education Station Learning Center,,0,1566561,2355254,7/25/2017,8/11/2017,Y,N,Non-Serious,Other,Cut,Other,,Child in care at the operation
Licensed Center,841841,Latchkey at TM Clark,,0,1566611,2355425,7/25/2017,8/4/2017,Y,N,Serious,Fracture,,Self-Inflicted,Child slipped off monkey bars,Child in care at the operation
Licensed Center,111747,First Presbyterian Childrens Center,,0,1566705,2355716,7/26/2017,8/7/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1146926,LMNOP Childrens Academy,45391724,,1566747,2355743,7/26/2017,8/15/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Outdoor Equipment/Structure,planter box,Child in care at the operation
Licensed Center,124972,Westminster Presbyterian Preschool,,,1566723,2355677,7/26/2017,9/13/2017,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,124972,Westminster Presbyterian Preschool,,,1566723,2355677,7/26/2017,9/13/2017,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1322567,The Learning Bridge Day School,,0,1566719,2355696,7/26/2017,8/23/2017,Y,N,Non-Serious,Contusion,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1359766,Brent Elementary Alphabest,,,1566717,2355685,7/26/2017,9/12/2017,Y,N,Serious,Contusion,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1385587,Wonderland Montessori Academy,45390782,69183948,1566681,2355639,7/26/2017,9/26/2017,Y,N,Non-Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,1411482,Little Childrens Learning Center,45390714,69234422,1566689,2355635,7/26/2017,10/27/2017,Y,Y,Serious,Other,knot on forehead,Discipline,,Child in care at the operation
Licensed Center,1509747,K.I.D.S. Care Center,,,1566722,2355610,7/26/2017,8/14/2017,Y,N,Non-Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,1511706,Harvest Christian Academy Early Education,,0,1567290,2355623,7/26/2017,8/3/2017,Y,N,Non-Serious,Fracture,,Other,,Child in care away from the operation
Licensed Center,1574396,The Goddard School,,,1566700,2355633,7/26/2017,7/31/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1604117,Childrens Learning Adventure Child Care,,,1566657,2355567,7/26/2017,8/1/2017,Y,N,Non-Serious,Contusion,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1617680,Sprouts Learning Academy,,,1566731,2355686,7/26/2017,9/20/2017,Y,N,Non-Serious,Other,sprained wrist,Outdoor Equipment/Structure,play house,Child in care at the operation
Licensed Center,300169-747,Kindercare - Basswood BLVD,0,0,1566708,2355614,7/26/2017,9/21/2017,Y,N,Non-Serious,Other,Chipped tooth,Other,,Child in care at the operation
Licensed Center,839563,"Kiddie Round-Up, Inc",,,1566730,2355647,7/26/2017,8/28/2017,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,840393,Groves Red Apple Learning Express,45390326,,1566664,2355609,7/26/2017,8/23/2017,Y,N,Non-Serious,Contusion,Hematoma/Knot  on forehead,Water Activities,,Child in care at the operation
Licensed Center,881992,Emerson Academy,,,1566726,2355782,7/26/2017,8/1/2017,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,905017,Grace Crossing Academy,,,1566744,2355707,7/26/2017,8/23/2017,Y,N,Serious,Mouth/Eye/Ear,,Indoor Equipment/Structure,tripped over his own feet and his mouth on the carpeted floor,Child in care at the operation
Licensed Center,905688-2109,Peppermint Plantation Inc #3 & #4,,,1566703,2355656,7/26/2017,8/14/2017,Y,N,Non-Serious,Fracture,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,938586,Valero Family Center,,,1566997,2355584,7/26/2017,8/9/2017,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,1429306,My Little Playhouse 2,,,1566757,2355865,7/27/2017,8/9/2017,Y,N,Serious,Fracture,,Other,,Child in care away from the operation
Licensed Center,1513430,First Steps Early Learning & Montessori Center,,0,1566760,2355847,7/27/2017,7/31/2017,Y,N,Non-Serious,Laceration,,Water Activities,splashpad,Child in care away from the operation
Licensed Center,1539627,Arkaso Pre-school & After-school Program,,,1566861,2356112,7/27/2017,8/14/2017,Y,N,Non-Serious,Mouth/Eye/Ear,Swelling on browbone,Other,,Child in care at the operation
Licensed Center,1539830,Sunshine Learning Academy,,,1566837,2356023,7/27/2017,8/11/2017,Y,N,Non-Serious,Laceration,,Self-Inflicted,Tripped and bit  tongue,Child in care at the operation
Licensed Center,1545720,Childcare Network #244,,0,1566844,2355756,7/27/2017,8/15/2017,Y,N,Non-Serious,Fracture,,Other,,Child in care away from the operation
Licensed Center,1563497,Panda Bear Academy,45392762,,1566778,2355914,7/27/2017,8/17/2017,Y,N,Non-Serious,Laceration,,Tools/Equipment,YELLOW STICK,Child in care at the operation
Licensed Center,1563937,Carpe Diem Private Preschool,,,1566838,2355917,7/27/2017,8/29/2017,Y,N,Non-Serious,Laceration,,Other,,Child in care at the operation
Licensed Center,1567477,Little Treehouse Early Learning Center #4,,,1566783,2355902,7/27/2017,8/15/2017,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,door ,Child in care at the operation
Licensed Center,500833-810,The Childrens Courtyard,45392287,69187463,1566770,2355787,7/27/2017,8/25/2017,Y,N,Non-Serious,Contusion,,Other,,Child in care at the operation
Licensed Center,506081,Bright Horizons at Legacy,,,1566790,2355925,7/27/2017,8/31/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Indoor Equipment/Structure,Floor,Child in care at the operation
Licensed Center,514038,USAA Child Development Center,,,1566729,2355751,7/27/2017,8/25/2017,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,Changing Table ,Child in care at the operation
Licensed Center,534462-1130,Childtime Learning Center,,,1566842,2355980,7/27/2017,8/23/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,542022,Palestine YMCA Early Childhood Center,,,1566859,2355932,7/27/2017,10/3/2017,Y,N,Non-Serious,Other,bump on head,Outdoor Equipment/Structure,Fence,Child in care at the operation
Licensed Center,827102,Kiddie Village Academy,45393270,69189443,1566798,2355966,7/27/2017,8/25/2017,Y,Y,Serious,Burn,Scalding Submersion burn-partial to full thickness,Discipline,Immersed in water ,Child in care at the operation
Licensed Center,838649,Westridge Academy,,,1566849,2355768,7/27/2017,8/25/2017,Y,N,Non-Serious,Other,Finger,Indoor Equipment/Structure,Door,Child in care at the operation
Licensed Center,841317,Country Kids Academy,,,1566748,2355859,7/27/2017,8/3/2017,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,860537,Kids Unlimited,,0,1566841,2355929,7/27/2017,8/15/2017,Y,N,Serious,Internal,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,861002,Kids 'R' Kids #45 TX,,,1566906,2355878,7/27/2017,7/28/2017,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,871602,American Montessori Campus,,,1566884,2355833,7/27/2017,9/8/2017,Y,N,Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,1178986,HCF Christian Academy,,,1566914,2356247,7/28/2017,8/14/2017,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1255946-9091,Learning Tree Children's Academy,,,1566911,2356226,7/28/2017,9/21/2017,Y,N,Non-Serious,Laceration,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,126979,Aunt Faye Early Learning Academy,,0,1566883,2356117,7/28/2017,8/23/2017,Y,N,Non-Serious,Other,scratch,Other,,Child in care at the operation
Licensed Center,1510363,The Toddlers Den Childcare Center,45395245,,1566978,2356245,7/28/2017,8/3/2017,Y,N,Non-Serious,Other,Bites and scratches,Other,,Child in care at the operation
Licensed Center,1541387,Children's Beginning,,,1567051,2356248,7/28/2017,9/25/2017,Y,N,Non-Serious,Other,Cut on Chin,Other,,Child in care at the operation
Licensed Center,1593155,Handprints Child Care 8 LLC dba Handprints Academy,45394712,69192966,1566893,2356181,7/28/2017,9/8/2017,Y,N,Non-Serious,Other,bruise to back,Other,,Child in care at the operation
Licensed Center,1621133,Building Blocks Learning Center,,0,1566865,2356087,7/28/2017,8/22/2017,Y,N,Non-Serious,Laceration,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,1646174,Houston Kidz Center LLC,,,1567021,2356195,7/28/2017,8/10/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Self-Inflicted,craft bead placed in the ear,Child in care at the operation
Licensed Center,305086,Heritage Learning Center,,,1566912,2356225,7/28/2017,8/28/2017,Y,N,Non-Serious,Other,cut on his chin,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,308153,Cornerstone/The Ranch,,,1567098,2356478,7/28/2017,9/25/2017,Y,N,Non-Serious,Brain,,Other,,Child in care at the operation
Licensed Center,53391,Methodist Childrens Center of Athens First United Methodist,,,1566982,2356246,7/28/2017,8/4/2017,Y,N,Serious,Fracture,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,812695,Kids Place - Cook Childrens & Harris Methodist,,,1567154,2356214,7/28/2017,8/25/2017,Y,N,Non-Serious,Contusion,,Indoor Equipment/Structure,,Child in care at the operation
Licensed Center,819459,Bright Beginnings PreSchool,,,1566852,2356107,7/28/2017,8/2/2017,Y,N,Non-Serious,Mouth/Eye/Ear,,Self-Inflicted,Bit tongue,Child in care at the operation
Licensed Center,837677,Starting Small,,,1567524,2356158,7/28/2017,8/11/2017,Y,N,Non-Serious,Fracture,,Other,,Child in care at the operation
Licensed Center,858822,Bedford Christian Academy and Montessori Preschool,,0,1566890,2356178,7/28/2017,9/25/2017,Y,N,Non-Serious,Other,Cut requiring staples ,Other,,Child in care at the operation
Licensed Center,860955,ABC Son Shine School,,,1566885,2356184,7/28/2017,7/31/2017,Y,N,Non-Serious,Other,sprain ankle,Other,,Child in care at the operation
Licensed Center,944190,The Learning Center,,,1566902,2356223,7/28/2017,9/22/2017,Y,N,Non-Serious,Other,Toe,Self-Inflicted,Tripped,Child in care at the operation
Licensed Center,241692,Child Development Center,45395853,0,1567070,2356573,7/29/2017,8/4/2017,Y,N,Non-Serious,Fracture,,Outdoor Equipment/Structure,,Child in care at the operation
Licensed Center,848736,Small Miracles Child Care Center,45395666,69198563,1566981,2356280,7/29/2017,8/27/2017,Y,N,Non-Serious,Other,Petechiae,Other,,Child in care at the operation
