STANDARD_NUMBER_DESCRIPTION,2014.0,2015.0,2016.0,2017.0,of_interest
748.3161(b) - Heating Devices-Space heaters must be enclosed and have a screen or guard,0,0,1,0,False
748.313(2) - Serious Incident critical injury resulting from short personal restraint-document short personal restraint and precipitating circumstances/behaviors,0,1,0,0,False
748.3119(a) - Fire Extinguisher-Company licensed by State Fire Marshal must inspect fire sprinkler system annually & conduct any required service or testing,0,0,1,0,False
748.3117(b) - Fire Extinguisher-Must keep documentation of annual inspection and/or purchase of new fire extinguishers at operation for review,0,0,3,0,False
"748.3115(3) - Fire Extinguisher-Must ensure fire extinguishers are serviced as required by manufacturer's instructions, or as required by fire inspector",0,0,3,0,False
"748.3115(2) - Fire Extinguisher-Must ensure fire extinguishers are accessible for immediate use by employees, caregivers, & volunteers",0,0,2,0,False
748.3115 - Fire Extinguisher-Must inspect fire extinguisher(s) monthly,0,0,1,0,False
"748.3113(a) - Fire Extinguisher-Must have a fire-extinguishing system, which may be sprinkler system and/or fire extinguishers",0,1,1,0,False
748.3235 - Evacuation-Must post the emergency evacuation & relocation diagram in a prominent/visible location in all buildings,0,0,1,0,False
748.311(6) - Serious Incident Documentation-Includes nature of the incident,0,0,1,0,False
"748.311(3) - Serious Incident Documentation-Includes name, age, gender, and date of admission of the child or children involved",0,0,2,0,False
"748.311(1) - Serious Incident Documentation-Includes name of the operation, physical address, and telephone number",0,0,2,0,False
748.3101(1) - Fire Inspection-Must have fire inspection before initial permit issued,0,0,3,0,False
748.309(a) - Reporting serious incident-All serious incident reports to Licensing must be made to the Child Abuse Hotline,0,1,1,0,False
"748.3065(a) - Gas Inspection-Gas inspection report must show operation's gas system is free of leaks, must include inspection date & inspector name, phone number",0,0,1,0,False
748.303(d)(4)(A) - Serious Incident-Report to Licensing within 24 hours of awareness of allegation a person under auspices of operation abused drugs in past 7 days,0,0,1,0,False
748.303(c)(6)(A) - Serious Incident-Report to Licensing within 24 hrs of awareness of arrest/indictment/criminal complaint of person under auspices of operation,0,0,1,0,False
748.303(c)(1)(A) - Serious Incident-Report to Licensing no later than 24 hours after the incident if all or part of operation rendered unsafe or unsanitary,0,0,3,0,False
748.303(a)(9)(B) - Serious Incident-Report to parents no later than 24 hours after determining a child 13 years old or older is missing,0,0,2,0,False
748.303(a)(9)(A) - Serious Incident-Report to Licensing no later than 24 hours after determining a child 13 years old or older is missing,0,2,9,0,False
"748.303(a)(6)(B) - Serious Incident-Report to parents as soon as facility aware that child is indicted, charged, or arrested",0,0,1,0,False
748.303(a)(4)(A) - Serious Incident-Report to Licensing no later than 24 hours after an incident of physical abuse of a child against another child,0,0,3,0,False
748.311(4) - Serious Incident Documentation-Includes names of all adults involved and their role in relation to the child(ren),0,0,1,0,False
"748.3237(c) - Safety Practices-Children must be able to open emergency exit doors easily from inside, unless written approval on file from fire inspector",0,0,1,0,False
748.3239(a) - Evacuation-Must practice unannounced fire drill at least once every 6 months from date of last fire drill,0,0,4,0,False
748.3271(1) - First Aid Kits-Each one must be clearly labeled,0,0,1,0,False
748.3441(q)(1) - Food Preparation-Must refrigerate perishable food at proper temperatures within 1 hour after use when the temperature is above 90 degrees Fahrenheit,0,0,1,0,False
748.3441(n) - Food Preparation-Food must be protected from contamination,0,0,1,0,False
"748.3421(1) - Poisons-The operation must ensure that poisonous or flammable materials are stored in their original, labeled containers",0,0,3,0,False
748.341(a) - Electronic files-Develop procedures that address what must be in the external paper file and what can be in the electronic file,0,0,1,0,False
748.3397(d)(1) - Bathing-Provide showers and bathtubs with hot & cold running water under sufficient pressure to meet the demands of children,0,0,1,0,False
748.3397(a) - Bathing-Bath & shower areas must provide for individual privacy,0,0,1,0,False
748.3395(b)(3) - Hand-washing-Provide hand-washing sinks with hot & cold running water under sufficient pressure to meet the demands of children,0,0,1,0,False
748.3393(d) - Toilets-Toilets must be equipped with toilet paper at all times,0,0,1,0,False
748.3393(c)(1) - Toilets-The toilet facilities for each gender must be distinctly marked when located in the same building,0,0,1,0,False
748.3369(b) - Bedding-Child under six years old or has medical/ physical problems requiring greater caregiver supervision and caregiver access can't use top bunk,0,0,1,0,False
748.3365(a)(5) - Bedding-Must provide each child with clean bed linens once a week or as needed for cleanliness; linens changed/laundered if used by different child,0,0,2,0,False
748.3365(a)(1) - Bedding-Must provide each child with a clean and comfortable mattress,0,1,3,0,False
"748.3365(a) - Bedding-Must provide each child with an individual bed or bunk bed, or crib as appropriate",0,0,4,0,False
748.3361(a) - Bedroom Space-Each child should have his own designated bedroom or share a bedroom with other children,0,0,1,0,False
748.3359(1) - Bedroom Space-Rooms commonly used for other purposes cannot be used as bedrooms,0,0,1,0,False
748.3353(b)(2) - Monitoring Devices-Video cameras must not be used  to supervise children unless specific criteria met,0,0,1,0,False
748.3351(3) - Interior Space-Provide personal storage space in the child's bedroom for each child's clothing and belongings,0,0,2,0,False
"748.3351(2) - Interior Space-Provide living space, appropriate furnishings, and bathroom facilities that are safe, clean, and maintained in good repair",0,3,13,0,False
748.3307(b)(3) - Physical Site-Bathrooms must be lighted to avoid accidents,0,0,2,0,False
748.3307(b)(1) - Physical Site-Habitable rooms must be lighted to avoid accidents,0,1,3,0,False
748.3273(9) - First Aid Kits-Each one must contain tweezers,0,0,1,0,False
748.3273(6) - First Aid Kits-Each one must contain scissors,0,0,1,0,False
748.3273(5) - First Aid Kits-Each one must contain multi-size adhesive bandages,0,0,2,0,False
748.3273(4) - First Aid Kits-Each one must contain cotton balls,0,0,1,0,False
748.3273(2) - First Aid Kits-Each one must contain adhesive tape,0,1,2,0,False
748.3273(1) - First Aid Kits-Each one must contain a current guide to first aid and emergency care,0,0,1,0,False
748.3271(3) - First Aid Kits-Each one must be in good condition and not have expired medications or supplies,0,0,2,0,False
748.3443(a)(1) - Food Preparation-Food items must be covered & stored off the floor,0,2,0,0,False
748.681(1)(B) - Caregiver qualifications-Must be at least 21 yrs old if all children in group are 13 yrs old or older,0,1,0,0,False
748.681(2) - Caregiver qualifications - HS diploma or GED from public school or program recognized by TEA,0,0,3,0,False
"748.685(c)(1) - Caregiver responsibility - be aware of children's habits, interests, and any special needs",0,0,6,0,False
"749.1255(b)(1) - Sharing of information-In emergency placement, share information on child's needs and plans for care with foster parents or caregivers",0,0,1,0,False
749.1253(b)(1) - Preparing the child-Document in the child's record that the required pre-placement discussion occurred with the child,0,0,1,0,False
749.1251(a) - Pre-placement visits-A child over six months of age must visit the foster home at least once before placement,0,0,1,0,False
749.1189(5) - Emergency admission-Document in the child's record known contra-indications to the use of restraint,0,0,1,0,False
"749.1189(4) - Emergency admission-Document in the child's record chronic health conditions, such as asthma or diabetes",0,0,1,0,False
"749.1189(3) - Emergency admission-Document in the child's record allergies, such as food, medication, sting, and skin allergies",0,0,1,0,False
749.1189(2) - Emergency admission-Document in the child's record the date and time of admission,0,0,2,0,False
749.1187(a) - Emergency admission-Complete all of the requirements for an admission assessment within 40 days from the date of admission,0,0,2,0,False
"749.1155 - Re-admission-If a child is re-admitted, complete admission documentation or update previous documentation if discharged within last 12 months",0,1,0,0,False
749.1151(d) - Medical Requirements-Reports and findings of medical exam must be documented in child's record,0,1,0,0,False
749.1133(c)(2) - Admission Assessment-Includes description of the child's home environment and family functioning,0,0,1,0,False
749.1133(c) - Admission Assessment-All information required in this subsection must be documented in admission assessment prior to child's initial service plan,0,1,2,0,False
"749.1255(b)(2) - Sharing of information-In emergency placement, share admission assessment with foster parents or caregivers within 10 days of completing assessment",0,0,2,0,False
"749.1133(b)(13) - Admission Assessment-Includes the parent's expectations for placement, duration of the placement, and family involvement",0,0,1,0,False
749.1113(b)(2)(A) - Information to Share with Parents-Review and provide at admission written information regarding the use of volunteers or sponsoring families,0,0,1,0,False
749.1113(b)(1) - Information to Share with Parents-Review and provide at admission written information about the policies presented to a child during orientation,0,1,0,0,False
"749.1111(c) - Child's Orientation-Document in the record when the orientation occurred, any item that it did not include, and the reason any item was omitted",0,1,1,0,False
749.1109(3) - Placement Agreement-Includes the reason for placement and the anticipated length of time in care,0,1,5,0,False
749.1109(2) - Placement Agreement-Includes a medical consent form signed by a person authorized by the Texas Family Code to provide consent,0,1,2,0,False
749.1109(1) - Placement Agreement-Includes authorization permitting agency to care for the child,0,0,1,0,False
749.1107(a)(8) - Child Admission Records-Include the child's immunization record,0,0,3,0,False
749.1107(a)(13) - Child Admission Records-Include identification of child's high risk behaviors and related safety plan staff and caregivers will implement,0,0,1,0,False
"749.1107(a)(10) - Child Admission Records-Include the chronic health conditions, such as asthma or diabetes",0,0,1,0,False
"749.1107(a)(1) - Child Admission Records-Include the child's name, gender, race, religion, date of birth, and birthplace in the record at admission",0,1,1,0,False
749.1101(a) - Admission-Only admit children and young adults who meet admission policy and whose needs can be met by the agency/foster home,0,0,1,0,False
749.107(2) - Conflict of interest policies-Statement regarding conflict of interest for certain persons to be a foster parent or adoptive parent of the agency,0,0,1,0,False
749.1113(b)(2)(C) - Information to Share with Parents-Review and provide at admission written information explaining child's involvement in agency publicity/fund raising,0,0,1,0,False
"749.1281(a)(1) - Subsequent Placement-If move is not an emergency, child placement management staff must review and approve move before moving the child",0,0,1,0,False
"749.1291(e) - Contact between child placement staff and child-non/pre-verbal child, length of contact sufficient to observe placement is meeting needs",0,0,1,0,False
749.1291(f) - Contact between child placement staff and child-significant and documented in child's record,0,0,3,0,False
"749.1401(a)(1) - General medical requirements-A child in care must receive medical care initially, according to the requirements in 749.1151",0,1,0,0,False
"749.1371(5) - Discharge/Transfer Documentation-Must include list of medications child is taking, dosage, frequency, and reason prescribed",0,1,0,0,False
749.1371(1) - Discharge or Transfer Summary-Must include date and circumstances of the discharge or transfer,0,0,2,0,False
"749.1363(d) - Non-emergency Discharge or Transfer-If child is not receiving treatment services, must inform him 4 days prior to the date unless justification given",0,1,0,0,False
749.1363(b)(2) - Non-emergency Discharge or Transfer-Must invite the child's parent(s) to the participate in planning,0,1,1,0,False
"749.1335(2) - Service Plan Review and Update-To review and update a service plan, identify child's new needs and strategies or techniques to meet these needs",0,1,0,0,False
749.1321(c) - Sharing Initial Service Plan-Document in child's record that a copy or summary of the service plan was provided to his parents,0,0,2,0,False
749.1321(b) - Sharing Initial Service Plan-Document in the record justification for not sharing the plan with the child,0,1,1,0,False
749.1319(b) - Service plan documentation-The professional service provider must sign and date the plan; must document any disagreement with plan before signing it,0,0,1,0,False
749.1313(b) - Initial Service Planning Team-The child's record must include documentation of advance notice to parents and any responses,0,0,7,0,False
"749.1311(b) - Initial Service Planning Team-The child, if app., parents and foster parents must be invited to the meeting to develop the service plan",0,0,3,0,False
749.1311(a)(3) - Initial Service Planning Team-If child receiving treatment services include at least two professionals,0,0,2,0,False
749.1311(a)(2) - Initial Service Planning Team-Must include at least one professional service provider who provides direct services to the child,0,0,2,0,False
749.1311(a)(1) - Initial Service Planning Team-Must include at least one of the child's current caregivers,0,0,3,0,False
749.131(a)(2) - Governing body responsibilities-Overseeing and ensuring the management of the agency's services and programs in compliance with agency policies,0,0,2,0,False
"749.1309(b)(3)(B) - Initial Service Plan-children receiving services for intellectual disabilities, include min. 1 hr per day sensory stimulation to enhance development",0,0,1,0,False
"749.1309(b)(2)(B) - Initial Service Plan-For children receiving treatment services, plan must describe emotional, behavioral, physical conditions that require treatment",0,0,1,0,False
"749.1309(b)(1)(F)(ii) - Initial Service Plan-If child is 14 years old or older, include plans for experiential life skills training that includes items listed in rule",0,0,1,0,False
"749.1309(b)(1)(E) - Initial Service Plan-For children 13 years old or older, must include a plan for education in required areas",0,0,1,0,False
749.1309(b)(1)(D)(v) - Initial Service Plan-specific information regarding discipline techniques,0,1,1,0,False
"749.1309(b)(1)(D)(iv) - Initial Service Plan-methods of responding that improve a child's ability to trust, feel safe, and adapt to change",0,0,1,0,False
749.1309(b)(1)(D)(iii) - Initial Service Plan-Caregiver instructions must include specific information about child's trauma triggers,0,0,1,0,False
749.1309(b)(1)(B) - Initial Service Plan-Must include plan for maintaining and improving relationship with family members,0,0,1,0,False
749.1309(b)(1)(A)(vi) - Initial Service Planning-Must include plans for normalcy,0,0,1,0,False
749.1309(a) - Initial Service Plan-Base initial service plan on needs identified in admission assessment and integrate trauma informed care,0,0,2,0,False
749.1301(f) - Preliminary Service Planning-Implement and follow the preliminary service plan,0,0,1,0,False
749.1291(g) - Contact between child placement staff and child-child placement management staff must review and approve documentation of contacts,0,0,1,0,False
749.107(1) - Conflict of interest policies-Code of conduct on the relationships between employees/contractors and clients,0,0,2,0,False
749.105(7) - Personnel policies-Drug testing policy meets or exceeds DFPS' model policy in 745.4151,0,0,1,0,False
749.105(1) - Personnel policies-Develop a written organizational chart showing administrative/professional/staffing structures and lines of authority,0,0,1,0,False
749.103(6) - Permit holder responsibilities-Allow Licensing to inspect or monitor foster homes at any time,0,0,2,0,False
749.1003(b)(20) - Children's rights-Adhere to the child's right to be able to communicate in a language or any other means that is understandable to the child,0,0,1,0,False
"749.1003(b)(19) - Children's rights-Adhere to the child's right to have personal earnings, allowances, possessions, and gifts as his personal property",0,0,2,0,False
749.1003(b)(13) - Children's rights-Adhere to the child's right to have personal possessions at his home and to acquire additional possessions within limits,0,0,1,0,False
"749.1003(b)(12) - Children's rights-Adhere to child's right to adequate personal clothing selected by him/her, suitable to age/size and comparable with peers",0,0,2,0,False
"749.1001(b) - Children's rights-Ensure a caregiver or an adoptive parent, prior to consummation of the adoption, does not restrict or deny a child's rights",0,1,0,0,False
748.985(b) - First-aid-CPR training-First-aid or CPR certification can not be obtained through self-instructional training,0,0,1,0,False
748.983(b) - First-aid-CPR renewal-The caregiver counted in the ratio who must have current CPR certification must maintain a current certification,0,0,1,0,False
"748.981(b)(2) - First-aid-CPR training-At all times, at least one caregiver counted in child/caregiver ratio must be able to immediately respond to emergencies",0,0,1,0,False
"748.949(b)(4) - Annual Training Documentation-Includes the trainer's name and qualifications, or the source of the training for self-instructional training",0,0,2,0,False
748.949(a) - Annual Training Documentation-Keep documentation verifying completion of training in the personnel record,0,0,2,0,False
748.939(3) - Training criteria-Training includes evaluation/assessment to determine that the person obtained the information to meet the learning objectives,0,0,1,0,False
"748.937(a)(3) - Annual training hours-Emergency behavior intervention training, first-aid, and CPR training cannot be obtained through self-instructional training",0,1,0,0,False
"748.931(a)(5) - Annual Training-Employees who do not hold a relevant professional license must have 20 annual training hrs, including transportation safety as needed",0,1,0,0,False
"748.931(a)(4) - Annual Training-Employees who hold a relevant professional license must have 15 annual training hrs, including transportation safety as needed",0,0,1,0,False
748.931(a)(3)(C) - Annual Training-Must include 2 hours on transportation safety if caregiver transports children chronologically/developmentally less than 9 years old,0,0,1,0,False
748.931(a)(3)(A) - Annual Training-Caregivers in a cottage home must complete 20 hours,0,0,1,0,False
748.931(a)(2)(C) - Annual Training-Must include 2 hours on transportation safety if caregiver transports children chronologically/developmentally less than 9 years old,0,0,2,0,False
748.931(a)(1)(C) - Annual Training-Must include 2 hours on transportation safety if caregiver transports children chronologically/developmentally less than 9 years old,0,0,3,0,False
748.931(a)(1)(B) - Annual Training-Every 6 months a caregiver must complete at least 4 hours of training in EBI,0,4,11,0,False
748.883(2) - General pre-service training curriculum-Includes preventing sudden infant death syndrome if caregiver caring for children younger than 2 yrs,0,1,0,0,False
748.881(1) - General pre-service training curriculum-Includes topics appropriate to the needs of children for whom the caregiver will be providing care,0,0,2,0,False
748.863(b) - Pre-Service Training-Document the completion of each pre-service training requirement in the appropriate personnel record,0,1,0,0,False
748.863(a)(4) - Pre-Service Training-Administrative and professional staff must have 8 hrs emergency behavior intervention training within 90 days of beginning job,0,0,2,0,False
"748.863(a)(3) - Pre-Service Training-Caregiver for tx svcs (not PMN) must have 16 hrs EBI training or 8 hrs if EBI prohibited, 1/2 pre-service and rest within 90 days",0,1,5,0,False
"748.863(a)(2) - Pre-Service Training-Caregiver for child-care or programmatic services only must have 8 hours EBI training, 4 pre-service and the rest within 90 days",0,0,1,0,False
748.685(d)(4) - Caregiver responsibility- Child may have unsupervised activity based on caregiver assessment and service plan; you must be available in an emergency,0,0,1,0,False
748.685(c)(2) - Caregiver responsibility - provide a safe environment,0,0,9,0,False
749.1003(b)(21) - Children's rights-Adhere to the child's right to confidential care and treatment,0,1,3,0,False
749.1401(b)(5) - General medical requirements-Child's record includes copy of results of each medical exam,0,0,1,0,False
749.1003(b)(22) - Children's rights-Adhere to the child's right to consent in writing before participating in any publicity or fund raising activity for the agency,0,1,1,0,False
"749.1003(b)(3) - Children's rights-Adhere to the child's rights to have his physical, emotional, developmental, educational, social and religious needs met",0,1,4,0,False
749.103(5) - Permit holder responsibilities-Allow Licensing to inspect the agency during its hours of operation,0,0,1,0,False
"749.103(3) - Permit holder responsibilities-Maintain current, accurate, and complete master records",0,0,4,0,False
749.103(18)(B) - Permit holder responsibilities- notify licensing when an individual ceases to be a controlling person at your operation.,0,0,1,0,False
"749.103(18)(A) - Permit holder responsibilities- notify licensing as soon as possible, no later than two days new individual becomes a controlling person",0,0,2,0,False
"749.103(17) - Permit holder responsibilities- If agency changing location or hours of operation, notify Licensing in writing at least 15 days prior to the change",0,0,1,0,False
"749.103(14) - Permit holder responsibilities-Prior to implementing any changes, inform Licensing of any changes to the plan developed under 749.101(6)",0,0,1,0,False
749.103(12) - Permit holder responsibilities-Comply with Chapters 42 and 43 of the Human Resources Code and all other applicable laws and rules,0,0,1,0,False
749.103(1) - Permit holder responsibilities-Designate a qualified full-time CPA administrator,0,1,0,0,False
"749.1015(b) - Child Rights searches-Search a child, his possessions, or his room only when reasonable suspicion exists",0,0,1,0,False
749.101(7) - Permit holder responsibilities-Inform Licensing of your hours of operation at the main office and any branch office,0,0,1,0,False
"749.101(6)(F)(ii) - You must evaluate your system for meeting the rules of this chapter, and describe your plan to correct the problems identified.",0,0,1,0,False
749.101(6)(B) - Permit holder responsibilities-Agency homes meet all applicable rules of chapter 749 prior to verification,0,0,1,0,False
"749.101(6)(A)(i) - Permit holder responsibilities-Inform Licensing of changes in the location of all agency records, offices and agency homes",0,0,1,0,False
749.101(6) - Permit holder responsibilities-Develop and provide Licensing with plan for minimum standards compliance and communicating with Licensing as required,0,0,1,0,False
749.101(5) - Permit holder responsibilities-Develop operational policies and procedures that comply with applicable laws and rules,0,0,1,0,False
749.1009(d) - Child Rights parent contact-Restrictions that continue more than 30 days must be re-evaluated monthly by child placement management staff,0,0,3,0,False
749.1009(b)(1) - Child Rights parent contact-Document in the child's record any plans for contact between the child and a parent,0,0,1,0,False
749.1009(a)(1) - Child Rights parent contact-Allow contact between a child and his parent according to agency policies,0,0,1,0,False
749.1005(d) - Informing child of rights-Person being informed must sign statement indicating he read and understands rights;  signed copy filed in child's record,0,0,3,0,False
"749.1003(b)(8) - Children's rights-Adhere to the child's right to have a humane environment, including any treatment environment, which provides protection from harm",0,0,2,0,False
749.1003(b)(6) - Children's rights-Adhere to the child's right to discipline that is appropriate to the child's age and developmental level,0,0,4,0,False
749.1003(b)(5)(G) - Children's rights-Adhere to the child's rights to be free from being threatened with the loss of placement or shelter as punishment,0,1,6,0,False
749.1003(b)(5)(F) - Children's rights-Adhere to the child's rights to be free from being subjected to remarks that belittle or ridicule the child or the child's family,0,1,3,0,False
"749.1003(b)(5)(E) - Children's rights-Adhere to the child's rights to be free from being denied food, sleep, toileting facilities, mail, or family visits as punishment",0,3,2,0,False
749.1003(b)(5)(C) - Children's rights-Adhere to the child's rights to be free from being threatened with corporal punishment,0,0,2,0,False
"749.1003(b)(5) - Children's rights-Adhere to the child's rights to be free from any harsh, cruel, unusual, unnecessary, demeaning, or humiliating punishment",0,1,8,0,False
"749.1003(b)(30) - Children's rights-Adhere to the child's right to report abuse, neglect, exploitation, or violation of personal rights without fear of punishment",0,0,1,0,False
"749.1003(b)(29) - Children's rights-Adhere to the child's right to be free from pressure to get an abortion, relinquish her child for adoption, or to parent her child",0,0,1,0,False
746.3113(a) - Get- Well Program -Respiratory Illness Separate from Gastrointestinal Illness,0,0,1,0,False
TFC261.401(a)(3) - Neglect in an operation,0,1,0,0,False
744.2007(b)(1) - Use of TV/Video- Age-appropriate,0,0,2,0,False
744.1609(b) - Exceeding Maximum Group Size -Ratio Meet,0,0,1,0,False
744.1701 - Child/Caregiver Ratio for Field Trips,0,0,1,0,False
744.1905 - Child/Caregiver Ratio - Swimming Activities,0,0,1,0,False
744.3559(3) - Documentation of Drills,0,6,21,0,False
"744.2507(11) - Using, Storing, Disposing of Hazardous Materials",0,0,1,0,False
744.3559(2) - Severe Weather Drill Every 3 Months,0,10,39,0,False
746.2401(1) - Basic Requirements for Infants -Same Caregiver,0,0,1,0,False
744.3555(b) - Inform and Share Emergency Preparedness Plan With Parents,0,0,1,0,False
744.605(10) - Required Admission Information - Water Activity Permission,0,0,5,0,False
744.3555(a) - Share Emergency Preparedness Plan With Employees (also see 744.1303),0,1,0,0,False
744.2001(b)(1) - Care Requirements 5 or More Hours - Outdoor Play,0,1,0,0,False
745.625(a)(4) - Initial background checks submitted - At the time you apply to be a foster or adoptive parent,0,1,1,0,False
746.2427 - Infants Sleep on Backs,0,18,63,0,False
744.2507(3) - Sanitize Sleeping Equipment,0,0,1,0,False
744.2503 - Documentation of Annual Sanitation Inspection,0,1,1,0,False
"745.625(a)(5) - Initial background checks submitted - At the time a non-client resident 14 or older lives or moves into your home, or non-client resident turns 14",12,3,0,0,False
"746.2415(6) - Prohibited equip for infants-No soft/loose bedding, blankets, sleep positioners, stuffed toys, pillows, bumper pads, in crib infants 12 mo or less",0,0,3,0,False
744.3553(1) - Emergency Preparedness Plan - Evacuation Procedures,0,9,12,0,False
744.2001(c) - Care Requirements - Documentation of Special Care Needs on File and Used in Planning Activities,0,1,0,0,False
744.3505 - Corrections Made to Fire Inspection,0,1,3,0,False
744.605(11) - Required Admission Information - Physician Information,0,13,23,0,False
744.2003(1)(A) - Children Younger Than 5 Written Plan - Supervision,0,0,1,0,False
744.2005(a) - Written Activity Plans - For Children in Care 5 or More Hours,0,0,1,0,False
744.605(12) - Required Admission Information - Emergency Medical Authorization,0,6,13,0,False
744.605(13) - Required Admission Information - Special Needs Statement,0,3,15,0,False
744.3413 - Safety Requirements for Sprinkler Play,0,0,2,0,False
744.2005(c) - Written Activity Plans - Group Name and Dates,0,2,0,0,False
746.1109(b)(3) - Caregiver Qualification Age Exemption Attends High School - Enrolled in Child-care Career Program,0,2,6,0,False
746.2703(1)(A) - Space Requirements for School-age - Interest Centers Used Independently,0,0,1,0,False
745.625(a)(6) - Initial background check submitted - At the time you become aware of anyone requiring a background check under 745.615,0,4,0,0,False
746.1611(a)(2) - Exceeding Maximum Group Size - 5 Yrs and Older (1 1/2 hr),0,0,2,0,False
744.1501(a) - Child/Caregiver Ratio - Definition,0,1,0,0,False
745.4151(c)(6)(C) - Discipline-An employee determined to have abused drugs is subject to discipline including discharge,0,1,0,0,False
"746.2803(2) - Positive Methods of Discipline and Guidance - Use Clear, Positive Statements",0,2,5,0,False
745.435 - Licensed or Certified Operation Relocation,0,0,1,0,False
746.3001(6) - Field Trips - Caregiver Easily Identifiable,0,0,1,0,False
746.2801(1) - Discipline - Individualized and Consistent,0,0,1,0,False
744.505 - Notify Parents of Change in Policy,0,1,0,0,False
746.1203(9) - Responsibilities of Caregivers - Foster Cooperative Atmosphere,0,1,1,0,False
746.1203(8) - Responsibilities of Caregivers - Foster Independence in Children,0,0,1,0,False
744.301(1) - Notification of Changing Location,0,0,1,0,False
744.1309(a) - Documented Annual Training - 15 Hours Required,0,4,19,0,False
744.1309(d) - Documented Annual Training - Transportation Safety,0,0,11,0,False
746.2605(1)(C) - Furnishings and Equipment for Pre-Kindergarten Age - Interest Centers Always Visible to Caregiver,0,0,3,0,False
744.1311(c) - Operation and Program Director Annual Training -Less Than 5 Years Experience,0,1,0,0,False
744.1501(b) - Caregiver Responsible for Each Child,0,1,0,0,False
744.1311(f) - Director Annual Training-Transportation Safety,0,1,3,0,False
745.623(a) - Background Check Requirements - Submit All Identifying Information,0,1,2,0,False
744.1319(d)(4) - Training Criteria - Certificate,0,0,1,0,False
744.801(13) - Required Records Maintained and Made Available - Licensing Inspection Report,0,0,1,0,False
744.603(a)(7) - Children's Records - Medication Records,0,0,1,0,False
744.1331(a)(6) - Documentation of Training Requirements - Length,0,0,1,0,False
"746.2415(6) - Prohibited equip for infants-No soft/loose bedding, blankets, sleep positioners, stuffed toys, pillows, bumper pads, in crib infants 12 mo old or less",0,105,290,0,False
744.605(1) - Required Admission Information - Name and Birthdate,0,0,1,0,False
"744.2507(9) - Sanitize Tables Tops, Furniture and Similar Equipment",0,0,2,0,False
744.1401(a) - Substitute Qualifications - Counted in Ratio,0,0,1,0,False
746.3001(5) - Field Trips - Children Identified with Center,0,0,15,0,False
746.3001(4) - Field Trips -First Aid Kit,0,0,4,0,False
745.623(b) - Background Check Requirements-DC operations other than LCCCs must submit bgc requests either online or via signed 2971,0,0,1,0,False
744.1403(c) - Volunteer or Contractor qualifications -Unqualified Not Left Alone with Children,0,0,1,0,False
744.1311(i) - Director Annual Training - Self-Instructional up to 50%,0,1,0,0,False
744.3603 - Fire- Extinguishing System - Approval,0,1,0,0,False
746.1613(a)(7) - Naptime Child/Caregiver Ratio -  Required Additional Employees,0,0,3,0,False
744.3255(c) - Installation and Maintenance of Loose-fill Surfacing - Posts Marked to Proper Depth,0,1,0,0,False
744.605(7) - Required Admission Information - Release Information,0,2,14,0,False
744.2109(2)(C) - Written Disciplinary Methods - Maximum Amount of Time Used,0,0,1,0,False
744.2111(a) - Written Discipline and Guidance Policy,0,0,2,0,False
744.2115 - Update Discipline and Guidance Policy,0,1,0,0,False
746.201(6) - Background Checks Kept Confidential,0,1,1,0,False
745.911(a)(1) - Person prohibited from serving as controlling person at my operation if DFPS denied person permit due to being barred from operating in another state,0,0,1,0,False
744.605(8) - Required Admission Information - Transportation Permission,0,5,3,0,False
745.635 - If you conduct your own background checks-a request must still be submitted to Licensing,0,1,0,0,False
744.709 - Incident/Illness Report Form Storage,0,0,1,0,False
744.605(9) - Required Admission Information - Field Trip Permission,0,1,2,0,False
745.8633 - Meeting Requirement of Corrective Action,0,15,28,0,False
744.2301(2) - Field Trips - Emergency Medical Forms,0,0,3,0,False
744.2301(3) - Field Trips - Written List of Children,0,0,2,0,False
"746.2417(3) - Activities for Infants -Safe, Clean, Uncluttered Area",0,1,0,0,False
746.2113 - Caregivers Know How to Swim,0,0,1,0,False
746.2707(1) - Activities for School-age - Study Time,0,0,1,0,False
744.2301(5) - Field Trips - Children Identified with Operation,0,1,1,0,False
744.2301(6) - Field Trips - Caregiver Easily Identifiable,0,1,1,0,False
745.656 - A person required to register as a sex offender in Texas may not be present,0,0,2,0,False
744.627(c) - Tracking System Information Storage,0,0,1,0,False
745.685 - Risk Eval- must submit a completed packet with Risk Eval form and supporting documentation to the CBCU,0,0,1,0,False
744.303(2) - Report Change in Designee,0,0,1,0,False
746.2417(5) - Activities for Infants -Provide Auditory Stimulation,0,0,2,0,False
744.2401(b) - Nutrition and Food Service -Drinking Water Available and Served,0,3,4,0,False
744.2401(c) - Nutrition and Food Service- No Beverages with Added Sugar,0,1,4,0,False
744.301(8) - Notification of Planned Closure,0,0,1,0,False
744.301(5) - Notification of Change in Age Range of Children In Care,0,0,1,0,False
744.2413(4) - Rotated Menus Dated,0,0,1,0,False
745.8605 - Impose a remedial action,1,1,2,0,False
744.605(14) - Required Admission Information - School Information for School-age Child,0,0,5,0,False
744.307(d) - Parental Notification of Infestation,0,1,0,0,False
744.2105(9) - Prohibited Punishments - Using Inappropriate Long Period of Silence or Inactivity,0,2,1,0,False
744.605(15) - Required Admission Information - Special School-age Permissions,0,0,1,0,False
744.3251(b) - Active Play Surfacing In Use Zones - height=depth and type,0,0,1,0,False
744.605(15) - Required Admission Information-Special School Age Permissions,0,0,1,0,False
