activity_type,self_report,activity_date,activity_id,operation_number,operation_id,operation_type,operation_name,location_address,mailing_address,county,type_of_issuance,issuance_date,conditions_on_permit,accepts_child_care_subsidies,total_capacity,licensed_to_serve_ages,corrective_action,adverse_action,temporarily_closed,programmatic_services,treatment_services,deficiency_high,deficiency_medium_high,deficiency_medium,deficiency_medium_low,deficiency_low,total_inspections,total_assessments,total_reports,total_self_reports,location_address_geo,related_violation,injury_detail
REPORT,N,2016-08-05,428435173,1576424,1189929,Licensed Center,Childcare Network #260,6250 MATLOCK RD  ARLINGTON TX- 76002 2717,6250 MATLOCK RD  ARLINGTON TX- 76002 2717,TARRANT,Full Permit,01/15/2016,NO,Y,272,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,10,9,2,0,0,21,0,8,4,"6250 MATLOCK RD ARLINGTON TX- 76002 2717
(32.64316, -97.115305)",4s,7s
REPORT,Y,2016-06-27,428435168,1576424,1189929,Licensed Center,Childcare Network #260,6250 MATLOCK RD  ARLINGTON TX- 76002 2717,6250 MATLOCK RD  ARLINGTON TX- 76002 2717,TARRANT,Full Permit,01/15/2016,NO,Y,272,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,10,9,2,0,0,21,0,8,4,"6250 MATLOCK RD ARLINGTON TX- 76002 2717
(32.64316, -97.115305)",4s,4m
REPORT,Y,2016-06-27,428435168,1576424,1189929,Licensed Center,Childcare Network #260,6250 MATLOCK RD  ARLINGTON TX- 76002 2717,6250 MATLOCK RD  ARLINGTON TX- 76002 2717,TARRANT,Full Permit,01/15/2016,NO,Y,272,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,10,9,2,0,0,21,0,8,4,"6250 MATLOCK RD ARLINGTON TX- 76002 2717
(32.64316, -97.115305)",2r,4m
REPORT,Y,2017-05-17,428425243,893798,352215,Licensed Center,Phoenix Children's Academy,5601 TIMBER CREEK RD  FLOWER MOUND TX- 75028 3916,5601 TIMBER CREEK RD  FLOWER MOUND TX- 75028 3916,DENTON,Full Permit,06/02/2008,NO,Y,197,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,5,1,1,0,0,8,0,1,2,"5601 TIMBER CREEK RD FLOWER MOUND TX- 75028 3916
(33.062308, -97.050988)",,3i
REPORT,Y,2017-10-10,428425245,893798,352215,Licensed Center,Phoenix Children's Academy,5601 TIMBER CREEK RD  FLOWER MOUND TX- 75028 3916,5601 TIMBER CREEK RD  FLOWER MOUND TX- 75028 3916,DENTON,Full Permit,06/02/2008,NO,Y,197,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,5,1,1,0,0,8,0,1,2,"5601 TIMBER CREEK RD FLOWER MOUND TX- 75028 3916
(33.062308, -97.050988)",4s,6m
REPORT,Y,2017-10-10,428425245,893798,352215,Licensed Center,Phoenix Children's Academy,5601 TIMBER CREEK RD  FLOWER MOUND TX- 75028 3916,5601 TIMBER CREEK RD  FLOWER MOUND TX- 75028 3916,DENTON,Full Permit,06/02/2008,NO,Y,197,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,5,1,1,0,0,8,0,1,2,"5601 TIMBER CREEK RD FLOWER MOUND TX- 75028 3916
(33.062308, -97.050988)",2r,6m
REPORT,Y,2016-03-07,428413050,169484,98410,Licensed Center,Wee Care Child Center,2305 YONKERS ST  PLAINVIEW TX- 79072 3831,2305 YONKERS ST  PLAINVIEW TX- 79072 3831,HALE,Full Permit,04/20/1987,YES,Y,217,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,9,3,2,1,0,23,0,6,4,"2305 YONKERS ST PLAINVIEW TX- 79072 3831
(34.204427, -101.734805)",,3i
REPORT,Y,2017-05-01,428413056,169484,98410,Licensed Center,Wee Care Child Center,2305 YONKERS ST  PLAINVIEW TX- 79072 3831,2305 YONKERS ST  PLAINVIEW TX- 79072 3831,HALE,Full Permit,04/20/1987,YES,Y,217,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,9,3,2,1,0,23,0,6,4,"2305 YONKERS ST PLAINVIEW TX- 79072 3831
(34.204427, -101.734805)",1f,4m
REPORT,Y,2017-09-06,428422889,855567,285777,Registered Child-Care Home,Ellen Dawson,1432 BRECKENRIDGE RD  MANSFIELD TX- 76063 2800,1432 BRECKENRIDGE RD  MANSFIELD TX- 76063 2800,TARRANT,Registered,02/21/2006,NO,N,12,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,2,1,5,0,1,5,0,1,1,"1432 BRECKENRIDGE RD MANSFIELD TX- 76063 2800
(32.592645, -97.139208)",2r,4m
REPORT,N,2016-05-24,428419208,813204,198311,Licensed Center,First Step Learning Center,335 S HAMPTON RD  DESOTO TX- 75115 5745,335 S HAMPTON RD  DESOTO TX- 75115 5745,DALLAS,Full Permit,01/09/2002,NO,Y,136,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,10,8,11,0,0,33,0,16,3,"335 S HAMPTON RD DESOTO TX- 75115 5745
(32.58449, -96.857048)",2r,6m
REPORT,N,2016-03-23,428432215,1521027,1118669,Licensed Center,Katy's Early Childhood Enrichment Center,1407 W GRAND PKWY S  KATY TX- 77494 8201,1407 W GRAND PKWY S  KATY TX- 77494 8201,FORT BEND,Full Permit,01/08/2014,YES,Y,255,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,5,6,0,0,0,6,0,2,1,"1407 W GRAND PKWY S KATY TX- 77494 8201
",4s,4m
REPORT,N,2016-03-23,428432215,1521027,1118669,Licensed Center,Katy's Early Childhood Enrichment Center,1407 W GRAND PKWY S  KATY TX- 77494 8201,1407 W GRAND PKWY S  KATY TX- 77494 8201,FORT BEND,Full Permit,01/08/2014,YES,Y,255,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,5,6,0,0,0,6,0,2,1,"1407 W GRAND PKWY S KATY TX- 77494 8201
",2r,4m
REPORT,N,2016-01-28,428432213,1521027,1118669,Licensed Center,Katy's Early Childhood Enrichment Center,1407 W GRAND PKWY S  KATY TX- 77494 8201,1407 W GRAND PKWY S  KATY TX- 77494 8201,FORT BEND,Full Permit,01/08/2014,YES,Y,255,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,5,6,0,0,0,6,0,2,1,"1407 W GRAND PKWY S KATY TX- 77494 8201
",2r,4m
REPORT,Y,2016-08-11,428428027,1146486,661228,Licensed Center,Seashore Early Childhood Academy,15217 SPID DR STE 210 CORPUS CHRISTI TX- 78418 6196,15217 SPID DR STE 210 CORPUS CHRISTI TX- 78418 6196,NUECES,Full Permit,01/13/2011,NO,N,60,"Toddler,Pre-Kindergarten,School",NO,NO,NO,,,7,11,2,2,1,10,0,2,2,"15217 SPID DR STE 210 CORPUS CHRISTI TX- 78418 6196
",2r,4m
REPORT,Y,2016-08-11,428428027,1146486,661228,Licensed Center,Seashore Early Childhood Academy,15217 SPID DR STE 210 CORPUS CHRISTI TX- 78418 6196,15217 SPID DR STE 210 CORPUS CHRISTI TX- 78418 6196,NUECES,Full Permit,01/13/2011,NO,N,60,"Toddler,Pre-Kindergarten,School",NO,NO,NO,,,7,11,2,2,1,10,0,2,2,"15217 SPID DR STE 210 CORPUS CHRISTI TX- 78418 6196
",2r,7s
REPORT,Y,2017-06-28,428428028,1146486,661228,Licensed Center,Seashore Early Childhood Academy,15217 SPID DR STE 210 CORPUS CHRISTI TX- 78418 6196,15217 SPID DR STE 210 CORPUS CHRISTI TX- 78418 6196,NUECES,Full Permit,01/13/2011,NO,N,60,"Toddler,Pre-Kindergarten,School",NO,NO,NO,,,7,11,2,2,1,10,0,2,2,"15217 SPID DR STE 210 CORPUS CHRISTI TX- 78418 6196
",4s,4m
REPORT,N,2016-04-19,428433941,1548085,1156303,Licensed Center,A La Chateau Center INC.,6955 ALMEDA RD  HOUSTON TX- 77021 2009,6955 ALMEDA RD  HOUSTON TX- 77021 2009,HARRIS,Full Permit,02/27/2015,NO,Y,93,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,4,16,2,3,0,12,0,4,0,"6955 ALMEDA RD HOUSTON TX- 77021 2009
(29.700418, -95.386202)",2r,4m
REPORT,N,2016-09-29,428421085,840069,252512,Licensed Center,Imagination Station,7910 BELL ST  AMARILLO TX- 79110 4612,7910 BELL ST  AMARILLO TX- 79110 4612,RANDALL,Full Permit,01/03/2005,YES,Y,215,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,9,10,2,0,0,31,0,13,6,"7910 BELL ST AMARILLO TX- 79110 4612
(35.126826, -101.901835)",4s,8u
REPORT,N,2016-09-29,428421085,840069,252512,Licensed Center,Imagination Station,7910 BELL ST  AMARILLO TX- 79110 4612,7910 BELL ST  AMARILLO TX- 79110 4612,RANDALL,Full Permit,01/03/2005,YES,Y,215,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,9,10,2,0,0,31,0,13,6,"7910 BELL ST AMARILLO TX- 79110 4612
(35.126826, -101.901835)",2r,8u
REPORT,N,2017-10-06,428426605,970046,447548,Licensed Center,Southbelt Montessori Learning Center,12495 SCARSDALE BLVD  HOUSTON TX- 77089 6137,12495 SCARSDALE BLVD  HOUSTON TX- 77089 6137,HARRIS,Full Permit,09/17/2009,NO,Y,93,"Infant,Toddler,Pre-Kindergarten,School",YES,NO,NO,,,13,30,21,2,3,21,0,4,1,"12495 SCARSDALE BLVD HOUSTON TX- 77089 6137
(29.594655, -95.203091)",4s,4m
REPORT,N,2017-10-06,428426605,970046,447548,Licensed Center,Southbelt Montessori Learning Center,12495 SCARSDALE BLVD  HOUSTON TX- 77089 6137,12495 SCARSDALE BLVD  HOUSTON TX- 77089 6137,HARRIS,Full Permit,09/17/2009,NO,Y,93,"Infant,Toddler,Pre-Kindergarten,School",YES,NO,NO,,,13,30,21,2,3,21,0,4,1,"12495 SCARSDALE BLVD HOUSTON TX- 77089 6137
(29.594655, -95.203091)",3s,4m
REPORT,N,2017-10-06,428426605,970046,447548,Licensed Center,Southbelt Montessori Learning Center,12495 SCARSDALE BLVD  HOUSTON TX- 77089 6137,12495 SCARSDALE BLVD  HOUSTON TX- 77089 6137,HARRIS,Full Permit,09/17/2009,NO,Y,93,"Infant,Toddler,Pre-Kindergarten,School",YES,NO,NO,,,13,30,21,2,3,21,0,4,1,"12495 SCARSDALE BLVD HOUSTON TX- 77089 6137
(29.594655, -95.203091)",2r,4m
REPORT,N,2017-08-31,428428608,1221926,753149,Licensed Center,Powersports,10810 STATE HIGHWAY 30  COLLEGE STATION TX- 77845 7935,10810 STATE HIGHWAY 30  COLLEGE STATION TX- 77845 7935,BRAZOS,Full Permit,10/20/2011,NO,N,340,"Toddler,Pre-Kindergarten,School",NO,NO,NO,,,15,22,5,1,2,19,1,9,2,"10810 STATE HIGHWAY 30 COLLEGE STATION TX- 77845 7935
",2r,4m
REPORT,N,2016-03-24,428419915,824063,218562,Licensed Center,All About Kids,1441 FORT WORTH HWY  WEATHERFORD TX- 76086 4624,1441 FORT WORTH HWY  WEATHERFORD TX- 76086 4624,PARKER,Full Permit,05/22/2003,NO,Y,199,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,1,3,0,0,1,6,0,1,1,"1441 FORT WORTH HWY WEATHERFORD TX- 76086 4624
(32.75772, -97.767954)",,9i
REPORT,N,2017-06-11,428423022,856265- 1386,287197,Licensed Center,KinderCare Learning Center,11814 PARLIAMENT ST  SAN ANTONIO TX- 78216 2412,11814 PARLIAMENT ST  SAN ANTONIO TX- 78216 2412,BEXAR,Full Permit,03/03/2006,NO,Y,175,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,13,11,2,0,0,30,0,14,1,"11814 PARLIAMENT ST SAN ANTONIO TX- 78216 2412
(29.549135, -98.509368)",2r,4m
REPORT,N,2017-08-11,428423024,856265- 1386,287197,Licensed Center,KinderCare Learning Center,11814 PARLIAMENT ST  SAN ANTONIO TX- 78216 2412,11814 PARLIAMENT ST  SAN ANTONIO TX- 78216 2412,BEXAR,Full Permit,03/03/2006,NO,Y,175,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,13,11,2,0,0,30,0,14,1,"11814 PARLIAMENT ST SAN ANTONIO TX- 78216 2412
(29.549135, -98.509368)",,8u
REPORT,N,2016-07-25,428427998,1142086,655569,Licensed Center,Starlight Private School,5608 STARLIGHT DR  HALTOM CITY TX- 76117 2154,5608 STARLIGHT DR  HALTOM CITY TX- 76117 2154,TARRANT,Full Permit,09/13/2010,YES,Y,131,"Infant,Toddler,Pre-Kindergarten,School",YES,NO,NO,,,30,26,25,1,10,36,0,7,6,"5608 STARLIGHT DR HALTOM CITY TX- 76117 2154
(32.831851, -97.263434)",4s,8u
REPORT,Y,2017-02-03,428428002,1142086,655569,Licensed Center,Starlight Private School,5608 STARLIGHT DR  HALTOM CITY TX- 76117 2154,5608 STARLIGHT DR  HALTOM CITY TX- 76117 2154,TARRANT,Full Permit,09/13/2010,YES,Y,131,"Infant,Toddler,Pre-Kindergarten,School",YES,NO,NO,,,30,26,25,1,10,36,0,7,6,"5608 STARLIGHT DR HALTOM CITY TX- 76117 2154
(32.831851, -97.263434)",5t,4m
REPORT,Y,2017-02-22,428428003,1142086,655569,Licensed Center,Starlight Private School,5608 STARLIGHT DR  HALTOM CITY TX- 76117 2154,5608 STARLIGHT DR  HALTOM CITY TX- 76117 2154,TARRANT,Full Permit,09/13/2010,YES,Y,131,"Infant,Toddler,Pre-Kindergarten,School",YES,NO,NO,,,30,26,25,1,10,36,0,7,6,"5608 STARLIGHT DR HALTOM CITY TX- 76117 2154
(32.831851, -97.263434)",2r,4m
REPORT,N,2016-05-25,428429628,1353931,915997,Licensed Center,St. Helena's Early Enrichment Pre-school,108 ROCK ST  BOERNE TX- 78006 2042,PO BOX 1765  BOERNE TX- 78006 6765,KENDALL,Full Permit,02/22/2012,NO,N,88,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,0,1,2,0,0,11,0,5,4,"108 ROCK ST BOERNE TX- 78006 2042
(40.676143, -75.207972)",,4m
REPORT,Y,2017-09-25,428438060,1661001,1287902,Licensed Center,Star of Hope Child Development Center,2575 REED RD  HOUSTON TX- 77051 2216,2575 REED RD  HOUSTON TX- 77051 2216,HARRIS,Initial,09/05/2017,NO,N,272,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,0,2,3,0,0,5,0,1,1,"2575 REED RD HOUSTON TX- 77051 2216
(33.132894, -117.034963)",2r,2a
REPORT,Y,2017-09-25,428438060,1661001,1287902,Licensed Center,Star of Hope Child Development Center,2575 REED RD  HOUSTON TX- 77051 2216,2575 REED RD  HOUSTON TX- 77051 2216,HARRIS,Initial,09/05/2017,NO,N,272,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,0,2,3,0,0,5,0,1,1,"2575 REED RD HOUSTON TX- 77051 2216
(33.132894, -117.034963)",2r,4m
REPORT,Y,2016-03-25,428423095,856863- 10651,288394,Licensed Center,Prime Time YMCA  Pinnacle Pointe,702 SALEM RD  VICTORIA TX- 77904 1736,1806 N NIMITZ ST  VICTORIA TX- 77901 5534,VICTORIA,Full Permit,08/14/2006,NO,Y,35,"Pre-Kindergarten,School",NO,NO,NO,,,4,5,0,0,0,7,0,0,3,"702 SALEM RD VICTORIA TX- 77904 1736
(36.760281, -86.459202)",2r,4m
REPORT,N,2017-06-09,428435113,1574345,1187894,Licensed Center,Austin Eco Bilingual School,8707 MOUNTAIN CREST DR  AUSTIN TX- 78735 8027,8707 MOUNTAIN CREST DR  AUSTIN TX- 78735 8027,TRAVIS,Full Permit,02/05/2016,NO,N,85,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,3,3,0,0,0,9,0,1,2,"8707 MOUNTAIN CREST DR AUSTIN TX- 78735 8027
(30.255934, -97.893299)",2r,3i
REPORT,N,2016-08-20,428419780,822640,215967,Licensed Center,Simply Kids Learning Center,207 LOWE DR  DEL RIO TX- 78840 3026,207 LOWE DR  DEL RIO TX- 78840 3026,VAL VERDE,Full Permit,04/09/2003,NO,Y,97,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,2,3,2,0,0,5,0,1,1,"207 LOWE DR DEL RIO TX- 78840 3026
(29.38404, -100.900758)",2r,4m
REPORT,N,2017-07-21,428436697,1625656,1243995,Licensed Center,First Class Children's Center,1401 MLK BLVD  EL CAMPO TX- 77437 5971,1401 MLK BLVD  EL CAMPO TX- 77437 5971,WHARTON,Full Permit,12/06/2016,YES,Y,150,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,5,13,4,0,0,10,0,3,0,"1401 MLK BLVD EL CAMPO TX- 77437 5971
(29.185033, -96.280196)",2r,4m
REPORT,N,2016-01-21,428424259,869522,311166,Licensed Center,LifePointe Christian Academy,1451 CARL STERN BLVD  HUTTO TX- 78634 4503,1451 CARL STERN BLVD  HUTTO TX- 78634 4503,WILLIAMSON,Full Permit,08/14/2007,NO,Y,72,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,1,2,0,0,0,10,0,3,6,"1451 CARL STERN BLVD HUTTO TX- 78634 4503
(30.533013, -97.545099)",2r,4m
REPORT,Y,2016-08-16,428424262,869522,311166,Licensed Center,LifePointe Christian Academy,1451 CARL STERN BLVD  HUTTO TX- 78634 4503,1451 CARL STERN BLVD  HUTTO TX- 78634 4503,WILLIAMSON,Full Permit,08/14/2007,NO,Y,72,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,1,2,0,0,0,10,0,3,6,"1451 CARL STERN BLVD HUTTO TX- 78634 4503
(30.533013, -97.545099)",2r,4m
REPORT,Y,2016-09-01,428432547,1526602- 6151,1126412,Licensed Center,LIVE OAK HEAD START,8001 VILLAGE OAK DR  LIVE OAK TX- 78233 2426,702 SAN PEDRO AVE  SAN ANTONIO TX- 78212 4610,BEXAR,Full Permit,11/14/2014,NO,N,68,"Pre-Kindergarten,School",NO,NO,NO,,,2,1,0,0,0,5,0,0,3,"8001 VILLAGE OAK DR LIVE OAK TX- 78233 2426
(29.558526, -98.3317)",4s,2a
REPORT,Y,2016-09-01,428432547,1526602- 6151,1126412,Licensed Center,LIVE OAK HEAD START,8001 VILLAGE OAK DR  LIVE OAK TX- 78233 2426,702 SAN PEDRO AVE  SAN ANTONIO TX- 78212 4610,BEXAR,Full Permit,11/14/2014,NO,N,68,"Pre-Kindergarten,School",NO,NO,NO,,,2,1,0,0,0,5,0,0,3,"8001 VILLAGE OAK DR LIVE OAK TX- 78233 2426
(29.558526, -98.3317)",2r,2a
REPORT,Y,2016-09-01,428432547,1526602- 6151,1126412,Licensed Center,LIVE OAK HEAD START,8001 VILLAGE OAK DR  LIVE OAK TX- 78233 2426,702 SAN PEDRO AVE  SAN ANTONIO TX- 78212 4610,BEXAR,Full Permit,11/14/2014,NO,N,68,"Pre-Kindergarten,School",NO,NO,NO,,,2,1,0,0,0,5,0,0,3,"8001 VILLAGE OAK DR LIVE OAK TX- 78233 2426
(29.558526, -98.3317)",4s,4m
REPORT,Y,2016-09-01,428432547,1526602- 6151,1126412,Licensed Center,LIVE OAK HEAD START,8001 VILLAGE OAK DR  LIVE OAK TX- 78233 2426,702 SAN PEDRO AVE  SAN ANTONIO TX- 78212 4610,BEXAR,Full Permit,11/14/2014,NO,N,68,"Pre-Kindergarten,School",NO,NO,NO,,,2,1,0,0,0,5,0,0,3,"8001 VILLAGE OAK DR LIVE OAK TX- 78233 2426
(29.558526, -98.3317)",2r,4m
REPORT,Y,2016-09-01,428432547,1526602- 6151,1126412,Licensed Center,LIVE OAK HEAD START,8001 VILLAGE OAK DR  LIVE OAK TX- 78233 2426,702 SAN PEDRO AVE  SAN ANTONIO TX- 78212 4610,BEXAR,Full Permit,11/14/2014,NO,N,68,"Pre-Kindergarten,School",NO,NO,NO,,,2,1,0,0,0,5,0,0,3,"8001 VILLAGE OAK DR LIVE OAK TX- 78233 2426
(29.558526, -98.3317)",4s,7s
REPORT,Y,2016-09-01,428432547,1526602- 6151,1126412,Licensed Center,LIVE OAK HEAD START,8001 VILLAGE OAK DR  LIVE OAK TX- 78233 2426,702 SAN PEDRO AVE  SAN ANTONIO TX- 78212 4610,BEXAR,Full Permit,11/14/2014,NO,N,68,"Pre-Kindergarten,School",NO,NO,NO,,,2,1,0,0,0,5,0,0,3,"8001 VILLAGE OAK DR LIVE OAK TX- 78233 2426
(29.558526, -98.3317)",2r,7s
REPORT,N,2016-11-06,428429341,1305446,855609,Licensed Center,The Learning Journey Day School,2602 CORNERSTONE BLVD  EDINBURG TX- 78539 9122,2602 CORNERSTONE BLVD  EDINBURG TX- 78539 9122,HIDALGO,Full Permit,10/21/2011,NO,Y,99,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,2,8,5,1,1,3,0,2,0,"2602 CORNERSTONE BLVD EDINBURG TX- 78539 9122
(26.262807, -98.200392)",2r,2a
REPORT,N,2016-11-06,428429341,1305446,855609,Licensed Center,The Learning Journey Day School,2602 CORNERSTONE BLVD  EDINBURG TX- 78539 9122,2602 CORNERSTONE BLVD  EDINBURG TX- 78539 9122,HIDALGO,Full Permit,10/21/2011,NO,Y,99,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,2,8,5,1,1,3,0,2,0,"2602 CORNERSTONE BLVD EDINBURG TX- 78539 9122
(26.262807, -98.200392)",1f,2a
REPORT,N,2016-11-06,428429341,1305446,855609,Licensed Center,The Learning Journey Day School,2602 CORNERSTONE BLVD  EDINBURG TX- 78539 9122,2602 CORNERSTONE BLVD  EDINBURG TX- 78539 9122,HIDALGO,Full Permit,10/21/2011,NO,Y,99,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,2,8,5,1,1,3,0,2,0,"2602 CORNERSTONE BLVD EDINBURG TX- 78539 9122
(26.262807, -98.200392)",2r,4m
REPORT,N,2016-11-06,428429341,1305446,855609,Licensed Center,The Learning Journey Day School,2602 CORNERSTONE BLVD  EDINBURG TX- 78539 9122,2602 CORNERSTONE BLVD  EDINBURG TX- 78539 9122,HIDALGO,Full Permit,10/21/2011,NO,Y,99,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,2,8,5,1,1,3,0,2,0,"2602 CORNERSTONE BLVD EDINBURG TX- 78539 9122
(26.262807, -98.200392)",1f,4m
REPORT,N,2016-11-06,428429341,1305446,855609,Licensed Center,The Learning Journey Day School,2602 CORNERSTONE BLVD  EDINBURG TX- 78539 9122,2602 CORNERSTONE BLVD  EDINBURG TX- 78539 9122,HIDALGO,Full Permit,10/21/2011,NO,Y,99,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,2,8,5,1,1,3,0,2,0,"2602 CORNERSTONE BLVD EDINBURG TX- 78539 9122
(26.262807, -98.200392)",2r,7s
REPORT,N,2016-11-06,428429341,1305446,855609,Licensed Center,The Learning Journey Day School,2602 CORNERSTONE BLVD  EDINBURG TX- 78539 9122,2602 CORNERSTONE BLVD  EDINBURG TX- 78539 9122,HIDALGO,Full Permit,10/21/2011,NO,Y,99,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,2,8,5,1,1,3,0,2,0,"2602 CORNERSTONE BLVD EDINBURG TX- 78539 9122
(26.262807, -98.200392)",1f,7s
REPORT,Y,2017-11-08,428421030,839671,251638,Licensed Center,Just Kids Christian Learning Center and Child Care,6204 PRUE RD  SAN ANTONIO TX- 78240 2035,1523 AZALEA BND  SUGAR LAND TX- 77479 6144,BEXAR,Full Permit,10/25/2004,NO,Y,149,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,6,6,1,0,1,20,0,7,3,"6204 PRUE RD SAN ANTONIO TX- 78240 2035
(29.544688, -98.608403)",,3i
REPORT,N,2016-10-21,428421026,839671,251638,Licensed Center,Just Kids Christian Learning Center and Child Care,6204 PRUE RD  SAN ANTONIO TX- 78240 2035,1523 AZALEA BND  SUGAR LAND TX- 77479 6144,BEXAR,Full Permit,10/25/2004,NO,Y,149,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,6,6,1,0,1,20,0,7,3,"6204 PRUE RD SAN ANTONIO TX- 78240 2035
(29.544688, -98.608403)",4s,2a
REPORT,N,2016-10-21,428421026,839671,251638,Licensed Center,Just Kids Christian Learning Center and Child Care,6204 PRUE RD  SAN ANTONIO TX- 78240 2035,1523 AZALEA BND  SUGAR LAND TX- 77479 6144,BEXAR,Full Permit,10/25/2004,NO,Y,149,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,6,6,1,0,1,20,0,7,3,"6204 PRUE RD SAN ANTONIO TX- 78240 2035
(29.544688, -98.608403)",1f,2a
REPORT,N,2016-05-06,428421023,839671,251638,Licensed Center,Just Kids Christian Learning Center and Child Care,6204 PRUE RD  SAN ANTONIO TX- 78240 2035,1523 AZALEA BND  SUGAR LAND TX- 77479 6144,BEXAR,Full Permit,10/25/2004,NO,Y,149,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,6,6,1,0,1,20,0,7,3,"6204 PRUE RD SAN ANTONIO TX- 78240 2035
(29.544688, -98.608403)",2r,4m
REPORT,N,2016-03-21,428434041,1550010,1159060,Licensed Center,Elite Playcare,2023 PLANTATION DR  CONROE TX- 77301 1028,2023 PLANTATION DR  CONROE TX- 77301 1028,MONTGOMERY,Full Permit,06/03/2015,YES,Y,123,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,23,15,15,0,3,23,0,4,3,"2023 PLANTATION DR CONROE TX- 77301 1028
(30.332813, -95.473839)",2r,9i
REPORT,N,2016-03-21,428434041,1550010,1159060,Licensed Center,Elite Playcare,2023 PLANTATION DR  CONROE TX- 77301 1028,2023 PLANTATION DR  CONROE TX- 77301 1028,MONTGOMERY,Full Permit,06/03/2015,YES,Y,123,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,23,15,15,0,3,23,0,4,3,"2023 PLANTATION DR CONROE TX- 77301 1028
(30.332813, -95.473839)",2r,6m
REPORT,Y,2017-07-20,428437241,1630437,1250766,Licensed Center,Tiny Tigers Child Care,619 LITTLE SCHOOL RD  KENNEDALE TX- 76060 5496,619 LITTLE SCHOOL RD  KENNEDALE TX- 76060 5496,TARRANT,Full Permit,02/17/2017,NO,Y,47,"Infant,Toddler,Pre-Kindergarten,School",NO,NO,NO,,,1,2,0,0,0,7,0,0,2,"619 LITTLE SCHOOL RD KENNEDALE TX- 76060 5496
(32.650252, -97.208614)",4s,2a
INSPECTION,,2016-10-12,428400096,1628721,1248489,Licensed Center,Alphabest at Miller Elementary,300 CYPRESS HILL DR  LITTLE ELM TX- 75068 5172,300 CYPRESS HILL DR  LITTLE ELM TX- 75068 5172,DENTON,Full Permit,02/07/2017,NO,Y,150,School,NO,NO,NO,,,2,1,1,0,0,6,0,0,0,"300 CYPRESS HILL DR LITTLE ELM TX- 75068 5172
(40.483553, -79.78435)",4s,2a
INSPECTION,,2016-10-12,428400096,1628721,1248489,Licensed Center,Alphabest at Miller Elementary,300 CYPRESS HILL DR  LITTLE ELM TX- 75068 5172,300 CYPRESS HILL DR  LITTLE ELM TX- 75068 5172,DENTON,Full Permit,02/07/2017,NO,Y,150,School,NO,NO,NO,,,2,1,1,0,0,6,0,0,0,"300 CYPRESS HILL DR LITTLE ELM TX- 75068 5172
(40.483553, -79.78435)",2r,2a
