NARRATIVE,STANDARD_NUMBER_DESCRIPTION,CORRECTED_DATE,DATE_CORRECTION_VERIFIED,OPERATION_ID
The operation did not use good judgment when a child was injured while in care. The operation did not contact the parents or licensing to let them know about the child falling.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",04/12/2016 12:00:00 AM,05/02/2016 12:00:00 AM,124465
"Good judgment was not used when a caregiver did not inform the director, in a timely manner, of a child's injury when the incident occurred.","746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",04/25/2016 12:00:00 AM,05/09/2016 12:00:00 AM,257073
"Based on the information gathered during the investigation, good judgment was not used as caregivers allowed child to remain near other children, even when child displayed aggressive behaviors. This incident resulted in a another child suffering a injury which required medical attention.","746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",02/03/2017 12:00:00 AM,02/02/2017 12:00:00 AM,98320
It was found during the investigation that a child was not picked up properly by a caregiver resulting in an injury of the child.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",12/06/2016 12:00:00 AM,12/13/2016 12:00:00 AM,912508
The standard was evaluated with regards to an investigation and was found in compliance with the minimum standards of a licensed child care center.    A caregiver did not used good judgment when she pulled a child's arm to guide the child out of a play equipment which resulted in the child's arm being injured.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",06/27/2017 12:00:00 AM,07/10/2017 12:00:00 AM,1246878
There is evidence that a caregiver failed to use good judgment when he or she did not immediately contact parents regarding an injury to a child in care.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",12/12/2016 12:00:00 AM,01/05/2017 12:00:00 AM,298168
"Based on information obtained during the investigation, it was determined that a caregiver did not use good self-control when grabbing a child too hard, causing injury.","746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",12/22/2015 12:00:00 AM,12/28/2015 12:00:00 AM,573548
"Competency and good judgment were not used when staff failed to inform parents, in the preschool age class, of multiple injuries in a timely manner.","746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",12/11/2015 12:00:00 AM,12/22/2015 12:00:00 AM,303150
Investigation revealed that a caregiver did not use good judgment during diaper changing causing an infant to be injured.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",02/15/2017 12:00:00 AM,02/27/2017 12:00:00 AM,252393
Operation staff did not demonstrate good judgment when a report was not made directly to the abuse or neglect hotline or to law enforcement the day the injuries were witnessed.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",11/17/2015 12:00:00 AM,12/10/2015 12:00:00 AM,236020
"Based on the information obtained during this investigation, staff did not use good judgment as staff failed to remove a slide structure to a different location to prevent a child from inappropriately using the slide near the paved walk way resulting in a caregiver grabbing a child by the arm to prevent injury to a child.","746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",04/18/2016 12:00:00 AM,05/24/2016 12:00:00 AM,1019028
It was determined after the investigation that the caregiver did not use good judgment when she told a 7 year old to tend to her own injuries.  She was instructed to go wash her mouth out and get an ice pack from inside the building while they were outside on the playground.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",10/12/2015 12:00:00 AM,10/22/2015 12:00:00 AM,365093
"Based on the information obtained during this investigation, good judgment was not shown by operation staff as teething yarn necklaces made by the operation to aid in biting  prevention among toddler children posed a strangulation hazard to young children. Yarn material used in teething necklaces resulted in an injury to a child in care at the operation.","746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",04/08/2016 12:00:00 AM,04/25/2016 12:00:00 AM,302913
Caregiver failed to exercise self-control when she caused several injuries that are not usually seen in simple accidental falls and raise concern for physical abuse,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",10/19/2015 12:00:00 AM,10/27/2015 12:00:00 AM,773628
"Caregivers did not use good judgment when a group of children was engaged in a water sprinkler activity and a child slide face first on a slide resulting in an injury to his mouth. The two caregivers wanted to ""change the routine to make it fun"" by including the play structure.","746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",09/13/2016 12:00:00 AM,09/19/2016 12:00:00 AM,654608
The caregiver in the classroom at the time of incident did not demonstrate good judgment because the caregiver did not follow proper procedures when dealing with a injured child. The caregiver did not inform the director of the child being in pain. The caregiver did not have a clue as to what happened to the child's arm while the child was in the caregiver's classroom. The child complained about being hurt and in pain and no one demonstrated good judgment to find out why the child was hurt and what they could do about the pain.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",03/31/2016 12:00:00 AM,04/15/2016 12:00:00 AM,101367
It was determined after the investigation that the caregiver did not use good judgment when a child refused to get out of a cubby and the caregiver grabbed the child by the arm to pull her out which resulted in the child being injured.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",12/21/2015 12:00:00 AM,12/21/2015 12:00:00 AM,292017
"Based on the information obtained a caregiver did not demonstrate good judgment as the caregiver was on the cell phone, when a child sustained a critical injury by placing his hand in a crock pot with hot water.","746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",08/14/2017 12:00:00 AM,08/23/2017 12:00:00 AM,160976
This standard was evaluated with regards to an investigation and found to be deficient.  A caregiver did not demonstrate good judgment when she did not thoroughly assess the injury of a child. The child sustained an injury that required dental attention.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",07/19/2016 12:00:00 AM,08/01/2016 12:00:00 AM,440250
"The caregiver failed to demonstrate competency when she did not use the available first aid kit when a child became injured on a field trip. The caregiver also did not use good judgment when she allowed a parent volunteer who is not a qualified caregiver to carry the injured child back to the facility, thereby allowing them to be alone with the child.","746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",06/16/2017 12:00:00 AM,06/22/2017 12:00:00 AM,96685
A child was holding hands with an employee and  the child fell down and did not want to walk.  The employee kept walking while holding the child's hand resulting in the child being drug across the floor and down the hall. No injuries occurred.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",05/02/2017 12:00:00 AM,05/15/2017 12:00:00 AM,95054
"A teacher did not demonstrate competency and good judgement when she failed to notify parents of injuries a child received while in care, did not give parents incident reports at the time of the injury and did not provide first aid to an injured child.","746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",12/23/2016 12:00:00 AM,01/04/2017 12:00:00 AM,249652
One caregiver did not demonstrate patience or respect towards a child after the child had been injured. The caregiver was observed raising her voice at the child and chose words that were not soothing.,746.1201(2) - Responsibilities of Employees and Caregivers -Relate to Children,07/27/2017 12:00:00 AM,08/08/2017 12:00:00 AM,1286554
"Based on the information received during the investigation, the findings in this case were reason to believe for physical abuse. A caregiver inappropriately grabbed a child in care causing injuries to the child's arm.","746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",08/02/2017 12:00:00 AM,08/09/2017 12:00:00 AM,352215
"Based on interviews and a documented skin injury, there was sufficient evidence to validate physical abuse when a caregiver grabbed a child's arm too hard, causing grab marks that lasted up to 24 hours. The director took the appropriate steps and terminated the employee immediately.","746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",10/25/2016 12:00:00 AM,11/08/2016 12:00:00 AM,114464
"Based on information obtained during the investigation, there is reason to believe a child sustained injuries from the actions of a caregiver.","746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",11/29/2016 12:00:00 AM,12/08/2016 12:00:00 AM,162125
A caregiver slammed a child to the ground causing the child to obtain an injury to the child's head.,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",03/08/2016 12:00:00 AM,03/17/2016 12:00:00 AM,915766
A child in care at the operation was injured by a caregiver at the operation.,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",09/02/2016 12:00:00 AM,09/15/2016 12:00:00 AM,324963
"Based on the information gathered during the investigation, a caregiver injured a child in care when they inappropriately grabbed the child where the child was subsequently injured in the process.","746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",07/08/2016 12:00:00 AM,07/22/2016 12:00:00 AM,717408
"Based on information obtained during the investigation, it was determined that a caregiver caused injury to a child, and the injuries were visible up to one week after the incident. The caregiver was terminated.","746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",12/22/2015 12:00:00 AM,12/28/2015 12:00:00 AM,573548
"Based on the information received during the investigation, a child in care sustained injuries by a caregiver working under the auspice of the operation. The injuries sustained by the child were created because of the child's unwillingness to take a nap during nap time.","746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",08/16/2016 12:00:00 AM,08/29/2016 12:00:00 AM,1243115
A caregiver yanked an infants arm from a laying position with so much force causing injury to the infants arm.,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",10/06/2016 12:00:00 AM,10/20/2016 12:00:00 AM,1155308
"A caregiver was observed hitting children with a stick and open hand multiply times. The same caregiver was observed aggressively flinging a child by the arms onto a nap mat. The same caregiver was observed pulling on childrens' arms and pushing them. The same caregiver was observed using aggressive postures and verbally threatening children to stay quiet on their mats. None of the children seen during the incidents had any visible injuries, but the repeated actions of the caregiver showed that there was immediate risk for the safety of the children and that multiple injuries to more than one child could have occurred. One child had a small scratch mark on the inner arm, but that child was not observed on the video, but was present in an area of the room that the camera did not show. It could not be determined if the scratch mark was caused by the caregiver. The caregiver was terminated once the director was able to review the video.","746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",07/05/2017 12:00:00 AM,07/10/2017 12:00:00 AM,299562
"Based on the information gathered during the investigation, a caregiver at the operation injured a child when the child refused to follow directions and come down from a slide. Because of this, the caregiver grabbed the child by the arm and leg causing injuries to both. The findings in this case were Reason to Believe.","746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",09/12/2016 12:00:00 AM,09/16/2016 12:00:00 AM,850828
"Based on information obtained during Investigation, a 14 month old child was able to exit the porch area and gain access to the parking lot and approach the street before being stopped by another parent who witnessed the incident. There is sufficient information to indicate that neglectful supervision occurred which allowed this infant to be placed at risk of serious harm or injury.","746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",04/06/2016 12:00:00 AM,04/27/2016 12:00:00 AM,1018909
"Based on the information gathered during the investigation, a caregiver pushed a child to the floor by their head causing a neck injury. As a result, the department found there was a reason to believe for physical abuse in this case.","746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",11/03/2016 12:00:00 AM,11/03/2016 12:00:00 AM,1208759
Based on the information obtained there is sufficient evidence to support the allegations of Neglectful Supervision. The caregiver allowed a child to place his left hand inside a crock pot with hot water. The caregiver was occupied on her cell phone when the injury occurred. The child sustained a 2nd degree burn to the left hand.,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",08/14/2017 12:00:00 AM,08/23/2017 12:00:00 AM,160976
"An employee mistreated a child by pushing, yelling and tossing the child to the floor, because the child was not behaving. As a result, when the child was tossed to the floor, the child hit their head on a carpeted area and sustained a small cut to the mouth that bled. The employee was terminated. As a result of the injury and the actions of the employee during and after the injury, there was sufficient evidence to validate abuse.","746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",03/27/2017 12:00:00 AM,04/10/2017 12:00:00 AM,114141
"A caregiver in the infant's classroom pulled a child by the child's leg, dragging the child across the carpet. This resulted in an injury.","746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",04/14/2017 12:00:00 AM,04/27/2017 12:00:00 AM,1102411
An incident occurred at the operation where a child was able to leave the building. This placed the child at risk for significant harm and injury. The center has now built a fence blocking the building entrances from the parking lot to keep incidents like this from occurring in the future.,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",05/04/2016 12:00:00 AM,05/26/2016 12:00:00 AM,167184
Abuse occurred at the center. Caregiver caused several injuries to the child that are not usually seen in simple accidental falls. Where the injuries are located on the child raise concern for physical abuse,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",10/19/2015 12:00:00 AM,10/27/2015 12:00:00 AM,773628
"Based on the evidence obtained during the investigation the operation failed to ensure no child was abused when a caregiver engaged in a multitude of intentional, reckless acts that could have resulted in children being seriously injured.","746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",09/02/2016 12:00:00 AM,09/14/2016 12:00:00 AM,260050
Based on the evidence obtained during the investigation a caregiver was reckless when providing discipline and injured a child.,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",01/20/2017 12:00:00 AM,02/15/2017 12:00:00 AM,164280
"A caregiver failed to provide an accurate statement of an incident that injured a child. The incident was determined to be an accident, but due to the severity of the injury, medical evaluation was delayed. No medical treatment was needed, but it was determined that the type of injury placed the child at risk of further injury.","746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",10/17/2016 12:00:00 AM,10/24/2016 12:00:00 AM,94509
An incident occurred at the operation where a child was able to leave the building. This placed the child at risk for significant harm and injury.,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",05/17/2016 12:00:00 AM,05/27/2016 12:00:00 AM,102785
An incident occurred in which a child was injured by a caregiver. The child was grabbed by the arm which resulted in bruising.,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",06/15/2016 12:00:00 AM,07/13/2016 12:00:00 AM,874069
Caregivers at the operation did not report possible abuse after several unexplained injuries.,"746.1201(5) - Responsibilities of Employees and Caregivers-Report Suspected Child Abuse, Neglect or Exploitation",11/14/2016 12:00:00 AM,12/12/2016 12:00:00 AM,147196
"Through the course of the investigation, staff disclosed in interviews that they were aware of injuries and concerns to the child and did not make any reports.","746.1201(5) - Responsibilities of Employees and Caregivers-Report Suspected Child Abuse, Neglect or Exploitation",06/28/2017 12:00:00 AM,07/18/2017 12:00:00 AM,1133932
"Based on information obtained during the course of the investigation, it was determined that several staff members observed concerning injuries on a child in care (when the child arrived at the operation) and no one made a report to the state.  The operation eventually made a report after being instructed by a state representative to do so.","746.1201(5) - Responsibilities of Employees and Caregivers-Report Suspected Child Abuse, Neglect or Exploitation",01/29/2016 12:00:00 AM,02/10/2016 12:00:00 AM,261007
The previous caregiver in a classroom did not pass on important information to the incoming worker regarding a child's injury.,746.1203(11) - Responsibilities of Caregivers - Share Information with Incoming Caregiver,07/31/2017 12:00:00 AM,08/04/2017 12:00:00 AM,1201260
Based in information obtained during the investigation a staff member did not communicate that a child was injured to the incoming office staff so that the parent could be property notified.,746.1203(11) - Responsibilities of Caregivers - Share Information with Incoming Caregiver,02/10/2017 12:00:00 AM,02/16/2017 12:00:00 AM,116937
Information regarding a less serious injury was not shared with the incoming caregiver.,746.1203(11) - Responsibilities of Caregivers - Share Information with Incoming Caregiver,04/05/2017 12:00:00 AM,04/19/2017 12:00:00 AM,274419
This standard was evaluated with regards to a received report and found to be deficient. Communication between several caregivers and persons in charge of office was not clear and parent of a child who was injured was not called until several hours after the incident.,746.1203(11) - Responsibilities of Caregivers - Share Information with Incoming Caregiver,10/31/2016 12:00:00 AM,11/07/2016 12:00:00 AM,96641
Information regarding an injury was not communicated accurately amongst caregivers.,746.1203(11) - Responsibilities of Caregivers - Share Information with Incoming Caregiver,03/08/2017 12:00:00 AM,03/14/2017 12:00:00 AM,197299
Caregiver failed to share information regarding a child that was injured earlier in the day with the incoming caregiver resulting in a failure to report the incident to a parent.,746.1203(11) - Responsibilities of Caregivers - Share Information with Incoming Caregiver,07/08/2016 12:00:00 AM,07/11/2016 12:00:00 AM,257413
This standard was evaluated in regards to an investigation and was shown deficient.  After interviews conducted it was determined that the outgoing caregiver did not communicate to the incoming caregiver that a child had fallen on the playground.  The child's fall on the playground caused an injury that required medical attention.,746.1203(11) - Responsibilities of Caregivers - Share Information with Incoming Caregiver,10/28/2015 12:00:00 AM,11/10/2015 12:00:00 AM,1049248
"Based on the information obtained through out the investigation, it was determined that the staff at the operation are not communicating with each other in regards to a child's special needs which led to the child being injured at the operation.",746.1203(11) - Responsibilities of Caregivers - Share Information with Incoming Caregiver,10/20/2015 12:00:00 AM,11/25/2015 12:00:00 AM,310877
Operation staff failed to ensure the continuity of care when the child was transitioned several times when the child sustained the injury,746.1203(11) - Responsibilities of Caregivers - Share Information with Incoming Caregiver,02/08/2017 12:00:00 AM,02/13/2017 12:00:00 AM,196608
Information regarding a less serious injury was not shared with the incoming caregiver.,746.1203(11) - Responsibilities of Caregivers - Share Information with Incoming Caregiver,01/12/2017 12:00:00 AM,01/24/2017 12:00:00 AM,103949
This standard was evaluated with regards to an investigation and found to be deficient.  A caregiver did not share information about a child's injury to the caregiver who took over her classroom and management.,746.1203(11) - Responsibilities of Caregivers - Share Information with Incoming Caregiver,07/19/2016 12:00:00 AM,08/01/2016 12:00:00 AM,440250
The information gained through this investigation supports that there have been occasions where caregiver failed to share significant information regarding a child's injuries with an incoming caregiver to better care for a child.,746.1203(11) - Responsibilities of Caregivers - Share Information with Incoming Caregiver,12/02/2016 12:00:00 AM,12/09/2016 12:00:00 AM,132099
"Based on information gathered, caregivers in the room did not supervise in such a way to intervene to prevent harm. As a result, a child in care sustained an injury to the finger.",746.1203(4) - Responsibilities of Caregivers- Supervision of Children,12/13/2016 12:00:00 AM,02/07/2017 12:00:00 AM,155887
"Based on observations during an inspection and a review of a video from the center, it was determined that a caregiver was not actively supervising on the playground when an injury occurred. The layout of the playground was not taken into account while supervising because the play equipment hinders the view for supervision.",746.1203(4) - Responsibilities of Caregivers- Supervision of Children,10/12/2015 12:00:00 AM,10/23/2015 12:00:00 AM,315608
"Based upon the information obtained during the investigation, proper supervision was not being maintained on a field trip when a child was injured on a McDonald's playground.",746.1203(4) - Responsibilities of Caregivers- Supervision of Children,08/03/2017 12:00:00 AM,08/09/2017 12:00:00 AM,1032108
It was found that a child was left unattended in a classroom. The child was not injured or harmed.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,05/30/2017 12:00:00 AM,06/09/2017 12:00:00 AM,99861
Based on the information gathered a caregiver was not aware of a child climbing on top of a table.  As a result a child sustained and injury.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,03/27/2017 12:00:00 AM,06/16/2017 12:00:00 AM,97091
Supervision of the children was not appropriate when a child sustained an injury to the eye.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,04/05/2017 12:00:00 AM,04/19/2017 12:00:00 AM,274419
"A child's collarbone was broken while in care when another child jumped off a chair and onto the child.  According to the caregiver, she had told the child repeatedly to get off the chair and said the child had thrown the chair on a previous day; however, the chair was not put away. After being picked up, the child complained immediately that his shoulder hurt and she could tell within 30 minutes that is was injured.  The caregiver did notice the child was not using the arm for an hour and a half before he laid down for nap even though he told her earlier it hurt.  I observed in the classroom where this occurred and the children were leaving the classroom to go to the restroom and they were opening the door themselves and having somewhat of a hard time with it but the caregiver was not even watching.  A child's finger could easily have been caught in the door causing an injury.  Supervision requires visual awareness and intervening when necessary.  The director stated the caregiver will be dismissed as of today.",746.1203(4) - Responsibilities of Caregivers- Supervision of Children,06/26/2017 12:00:00 AM,06/26/2017 12:00:00 AM,1151803
A child in care received an  injury due to a  caregiver's failure to provide appropriate supervision.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,02/27/2017 12:00:00 AM,03/09/2017 12:00:00 AM,159538
Through information received during the inspection there is concern with supervision related to the injury.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,05/03/2017 12:00:00 AM,05/08/2017 12:00:00 AM,1118308
Caregivers were unable to explain how a child was injured in care when the child came home with a bruise on it's eye and cheek bone.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,11/16/2016 12:00:00 AM,12/01/2016 12:00:00 AM,1196022
"Supervision was not appropriately maintained as evidenced by injuries sustained throughout the day on July9, 2016. The caregivers needed to have adjusted how close they supervise children based on the child's known violent outbursts.",746.1203(4) - Responsibilities of Caregivers- Supervision of Children,07/14/2016 12:00:00 AM,08/23/2016 12:00:00 AM,233749
Caregiver did not know of  each child's activities and was not within proximity to prevent injury.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,03/01/2017 12:00:00 AM,03/14/2017 12:00:00 AM,622308
This standard was evaluated in regards to the self-reported allegation of a child injury and reports alleging concerns with ratio and discipline and is found to be deficient.  Through interviews with caregivers and children it was found that a group of children that required two caregivers was left unsupervised by one caregiver causing the children to be at risk.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,01/20/2016 12:00:00 AM,01/26/2016 12:00:00 AM,1135987
A child sustained a large knot on his forehead and the teacher did not know how it happened.  She stated he may have fallen while she had her back turned changing a diaper but she didn't know and was unaware that he had an injury until his mother arrived to pick him up.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,03/23/2016 12:00:00 AM,04/15/2016 12:00:00 AM,96452
Several significant incidents occurred where the caregiver was unaware of how a child in care was injured.    This was corrected prior to inspection.  Seat belts were removed and caregiver was removed from that classroom.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,05/24/2016 12:00:00 AM,,322623
"Based on information obtained, supervision was not achieved in this situation and played a factor into whether or not the child would be injured.    This was CORRECTED at inspection when supervision was observed, a copy of the meeting overview taken at the center by staff in response to this incident, and the fact that the person involved in this incident is no longe employed by the center.",746.1203(4) - Responsibilities of Caregivers- Supervision of Children,06/26/2017 12:00:00 AM,,328630
A child threw a chair and injured another child. Based on the child's pattern of behavior the child was not appropriately supervised. The operation was aware and had supervision measures in place to manage this behavior. However on the day of the incident these measures were not being utilized at the time of injury.   The child had difficult behavior throughout the morning and was still left alone with a substitute caregiver at lunch time.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,08/22/2016 12:00:00 AM,08/29/2016 12:00:00 AM,287154
This standard was evaluated with regards to an investigation and based on interviews it was determined to be a violation. A caregiver responsible for a group of children watched as a child injured another child in care and did not intervene. This incident happened on the playground in the presence of other caregivers who instead intervened and not the child's caregiver.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,03/10/2017 12:00:00 AM,03/24/2017 12:00:00 AM,1215142
"Based on the information gathered during the investigation, it was determined that a caregiver supervising a child could not tell the director how the child got injured.    Note: The caregiver was reprimanded and the director reviewed supervision at the following staff meeting.",746.1203(4) - Responsibilities of Caregivers- Supervision of Children,12/28/2015 12:00:00 AM,,1130213
"This standard was evaluated and found to be deficient, the caregiver did not have visual nor auditory awareness of the victim when she was injured.",746.1203(4) - Responsibilities of Caregivers- Supervision of Children,05/01/2017 12:00:00 AM,05/15/2017 12:00:00 AM,507034
"Based on information obtained during the investigation, caregivers were not supervising appropriately and could not intervene when a child was injured.",746.1203(4) - Responsibilities of Caregivers- Supervision of Children,07/12/2017 12:00:00 AM,07/24/2017 12:00:00 AM,1213785
During an investigation it was found that a caregiver did not maintain audio and visual awareness of the children their in care.  The caregiver failed to intervene and a child in care sustained several injuries from another child in care.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,04/25/2017 12:00:00 AM,05/05/2017 12:00:00 AM,159866
Caregivers were found not properly supervising the children.During naptime caregivers were not properly supervising the children in care. Due to this lack of supervision a child sustained an injury which required immediate medical attention.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,03/17/2017 12:00:00 AM,03/27/2017 12:00:00 AM,538269
Caregivers failed to properly supervise a child to prevent serious reoccurring injuries.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,05/18/2017 12:00:00 AM,05/24/2017 12:00:00 AM,365218
"Based upon the information obtained, there is significant evidence to support the caregiver was not properly supervising four children in care when one child was injured.",746.1203(4) - Responsibilities of Caregivers- Supervision of Children,09/19/2017 12:00:00 AM,,170527
The caregivers did not see a child get pushed and sustain an injury while in care.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,08/18/2016 12:00:00 AM,08/26/2016 12:00:00 AM,1152648
This standard was evaluated in regards to a report and was found to be deficient. A child received a serious injury and no one saw or knew the child was injured in care until the injury was presented by a parent.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,08/17/2016 12:00:00 AM,08/22/2016 12:00:00 AM,1189929
It was determined that there was not adequate supervision at the time a child was injured on the playground because the caregivers could not account for how the child received the injury.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,10/26/2016 12:00:00 AM,10/28/2016 12:00:00 AM,632168
"Based on information gathered, caregivers in the room did not supervise in such a way to intervene to prevent harm. As a result, a child in care sustained an injury to his mouth.",746.1203(4) - Responsibilities of Caregivers- Supervision of Children,02/27/2017 12:00:00 AM,03/10/2017 12:00:00 AM,155887
The two qualified caregivers were not properly supervising the infants when a 7 month old infant fell from a chair in the care of a lab student  after she unstrapped him from the chair and walked away.  The infant fell from the chair and hit his head on uncarpeted floor due to there being no person close enough to be able to prevent him from falling. The child received an injury that required medical treatment.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,12/15/2016 12:00:00 AM,12/19/2016 12:00:00 AM,758084
"Based upon the information obtained during the investigation, proper supervision was not being maintained in the Pre-K room when a child was injured by another child. Also during the inspection I observed a four year old child unsupervised in the hallway.     *Note- This was corrected at inspection when the child was returned to the classroom. The director stated the child must have just ran out of the classroom.",746.1203(4) - Responsibilities of Caregivers- Supervision of Children,05/05/2017 12:00:00 AM,05/25/2017 12:00:00 AM,204160
During the course of this investigation it was determined that a caregiver at the operation did not supervise appropriately when a child in their care injured their finger.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,07/06/2016 12:00:00 AM,07/12/2016 12:00:00 AM,138648
Caregiver did not ensure that mobile children were away from the door before closing it causing a child to sustain an injury when their finger were  caught on the door frame.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,04/14/2017 12:00:00 AM,05/09/2017 12:00:00 AM,94723
"This standard was evaluated in regards to a report During multiple inspections Children were not supervised appropriately and caregivers were not intervening  as children engaged in behavior that could cause injury such as ,jumping from the steps in the bathroom and hanging from the bathroom stall doors.",746.1203(4) - Responsibilities of Caregivers- Supervision of Children,06/20/2017 12:00:00 AM,06/27/2017 12:00:00 AM,1229439
"Based on the information obtained during my investigation, there is sufficient evidence to conclude that a child was not being supervised when she became injured in care. As a result the child sustained marks and bruises for which an explanation could not be provided.",746.1203(4) - Responsibilities of Caregivers- Supervision of Children,05/05/2016 12:00:00 AM,04/15/2016 12:00:00 AM,234799
"This standard was evaluated in regards to a report.  Based on information obtained during the investigation, it was determined that caregivers did not appropriately supervise a child  on the playground.  The caregivers were engaged in duties related to the other children in care and as a result were not aware of the ongoing activities of  one of the children.  The child received an injury requiring medical attention.",746.1203(4) - Responsibilities of Caregivers- Supervision of Children,07/28/2016 12:00:00 AM,08/04/2016 12:00:00 AM,298260
A child was not properly supervise while on play equipment this resulted in the child being injured.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,06/17/2016 12:00:00 AM,08/02/2016 12:00:00 AM,237716
