NARRATIVE,STANDARD_NUMBER_DESCRIPTION,STANDARD_RISK_LEVEL,CORRECTED_DATE,OPERATION_ID
Wood chips in the use zone are much too big and sharp. Some of the pieces are at least 6 inches long and pointed and could seriously injure a child if they fell on it. Many children were seen running and chasing their friends with large pieces of it in their hands.,746.4907(a)(1) - Installation and Maintenance of Loose-fill Surfacing - Six Inches if Equipment 5 Ft or Less,Medium High,04/15/2016,616328
The air conditioning vent in the backyard does not have a safeguard and was accessible to the children at inspection. Children can put their hands inside it and get hurt.   (Khong co hang rao can bao chung quanh may lanh o san sau),"747.3501(3) - Safety - Air Conditioners, Fans, Heaters Safeguarded",Medium High,09/18/2015,931851
A child received medical attention and it was not reported to licensing.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,10/06/2016,165584
"The primary caregiver does not have the following required training:   (1) Emergency preparedness  (2) Preventing and controlling the spread of communicable diseases, including immunizations  (3) Administering medication, if applicable  (4) Preventing and responding to emergencies due to food or an allergic reaction  (5) Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic; and  (6) Handling, storing, and disposing of hazardous materials",747.1309(e) - Primary Caregiver Annual Training - Required Special Topics without specific hours,Medium,08/16/2017,1097761
Caregivers were unable to explain how a child was injured in care when the child came home with a bruise on it's eye and cheek bone.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,11/16/2016,1196022
During an investigation it was found that the operation failed to contact EMS after a child in care had sustained severe facial injuries from a shelf falling onto them.,746.3607(1) - Critical Illness or Injury - Contact EMS,High,03/06/2017,354892
"A caregiver had not completed training in the following topics:    (1) Emergency preparedness  (2) Preventing and controlling the spread of communicable diseases, including immunizations   (3) Preventing and responding to emergencies due to food or an allergic reaction  (4) Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic, and   (5) Handling, storing, and disposing of hazardous materials including compliance with ?747.3221 of this title (relating to Must caregivers wear gloves when handling blood or bodily fluids containing blood?).",747.1305(e) - Caregivers Required Annual Training-Required Topics without hour restriction,Medium,11/09/2017,305712
An incident occurred where a child fell off of a tricycle at the operation and the parent took the child to the hospital for observation and the incident was not documented on an incident report even though the daycare staff was aware of the hospital visit.,746.701(1) - Licensing Incident/Illness Report Form - Injuries Requiring Medical Attention,Medium,05/04/2016,100673
"A child was not being properly supervised on the playground, which resulted in an injury that required medical attention.",746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,07/17/2017,1138636
The operation did not notify licensing of an injury to a child that required medical treatment.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,06/29/2016,94385
The operation was made aware that a child in care was taken to the hospital for an incident that occurred at the operation and they neglected to notify licensing of the incident.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,05/04/2016,100673
A child in care was admitted to the hospital which was not reported to Licensing in the required 24 hour time frame.,749.503(a)(2)(A) - Serious Incident-Report to Licensing critical injury or illness that warrants treatment by a medical professional/hospitalization,Medium High,10/25/2016,269604
A teacher that was supervising when a child was injured was not current on CPR/first aid training.,746.1315(a) - One Caregiver per Group of Children Must Have Current Training in First Aid with Rescue Breathing and Choking.  Pediatric First Aid is Preferred,High,03/03/2017,149123
Based on the information obtained there is sufficient evidence to support the allegations of Neglectful Supervision. The caregiver allowed a child to place his left hand inside a crock pot with hot water. The caregiver was occupied on her cell phone when the injury occurred. The child sustained a 2nd degree burn to the left hand.,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",High,08/14/2017,160976
It was determined after the investigation that the caregiver did not use good judgment when she pulled a chair from a child causing an injury.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,06/09/2017,405628
"Observed the air condition unit without a barrier which is a risk to children if fingers or body parts are placed or caught inside causing injury.     Observed two storage containers, one of them containing toys, that did not have a proper hinges that would keep the cover from falling and injuring a child's head, body or fingers.",747.3501 - Safety - Areas Free From Hazards,Medium High,03/23/2015,135521
The operation did not report a injury to a child in care to the parent. The operation did not do a incident/illness report.,746.307(b) - Parental Notification of Less Serious Injuries,Medium,06/01/2017,1183212
"Based on information gathered, a child in care sustained a critical injury requiring medical treatment. The caregiver was aware children were physically playing inappropriately and failed to supervise them in such a way to prevent injury or harm.",746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,04/20/2016,250833
I observed the floor in the front room of the home that has carpet coming up. Because the carpet is coming up there is exposed wood pieces and metal that poses a possible hazard to the children in care. The children are allowed to walk around in the home without any shoes on.   If a child should step on pieces of metal or wood they can possibly injure themselves.,"747.3203(9) - Floors, Ceilings and Walls in Good Repair and Clean",Medium High,04/28/2017,160786
The operation did not report to licensing when a child in care was injured and sought medical treatment.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,08/08/2017,1090409
The operation failed to notify licensing about an incident where a child required medical care within the required time frame.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,07/12/2017,173647
Information gathered in the investigation indicates the caregivers were unable to intervene when two children became engaged in a physical confrontation resulting in an injury to a child.  A child in care separated the children and stopped the altercation.,748.685(a)(5) - Caregiver responsibility - being able to intervene when necessary to ensure child's safety,High,04/21/2017,94152
"The record of the center's director did not include training in the following topics:  (1) Emergency preparedness;  (2) Preventing the spread of communicable diseases, including immunizations;  (3) Administering medication;  (4) Preventing and controlling and responding to emergencies due to food or an allergic reaction;  (5) Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic; and  (6) Handling, storing, and disposing of hazardous materials.",746.1311(f) - Director Annual Training - Additional required topics,Medium,10/27/2017,96947
Operation is aware that they are to report suspected abused.    This standard was evaluated as part of an investigation and found to be deficient. During the investigation it was determined that operation staff were aware of injuries and did not report suspected abuse,"746.201(5) - Reporting Suspected Abuse, Neglect, Exploitation",Medium High,12/06/2016,131633
This incident occurred on a Friday and was not reported to licensing until the following Monday.     Corrected at Inspection: The facility did call in the incident and a staff meeting was held with overnight and weekend staff advising them of the consequences of not reporting to licensing timely.,748.303(a)(2)(A) - Serious Incident-Report to Licensing no later than 24 hours after injury/illness that warrants treatment by a medical professional or hospitalization,Medium High,04/15/2016,445679
"As observed on video, a caregiver did not use good judgment when the caregiver remained seated in a chair and did not get up to respond to the injured child in an appropriate amount of time.","746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,09/02/2016,167115
Information obtained during the investigation showed that licensing was not properly notified of an injury that received medical attention.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,08/09/2017,1210860
A child in care was  physically disciplined and injured by a staff member and this was not reported to the abuse/neglect hotline in a timely manner as further defined by this standard.,"748.303(a)(3)(A) - Serious Incident-Report to Licensing as soon as aware of allegations or indications of abuse, neglect, or exploitation of a child",Medium High,05/02/2016,353978
"Based on observation of video,  a caregiver did not demonstrate good judgment by inappropriately picking up a child by one arm causing injury to the child.","746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,03/04/2016,308277
"Based on information obtained during Investigation, caregiver was not properly supervising children when a bench in the restroom fell on a child's foot and cause an injury which required medical treatment.    There is insufficient information to indicate that biting is occurring in the class due to a lack of supervision.",746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,03/10/2017,104287
A staff stated that in the past she was left alone with 32 to 33 children.  When the child was injuried she stated she was supervising 32 children.,744.1601 - Child/ Caregiver Ratio,Medium High,09/21/2017,127494
"Based on the information gathered and preponderance of evidence, the toddler room was not free of hazards. Paperback books scattered on the floor caused a toddler to fall and injure themselves.",746.3701 - Safety - Areas Free From Hazards,Medium High,12/12/2016,125288
I observed the red fire truck play equipment on the playground to have a missing board  leaving a large opening where children could easily fall out and get hurt.,746.4601(4) - Safety Requirements for Active Play Equipment - No Entanglement Protrusions or Openings,High,06/30/2016,205486
"Information provided indicates the foster parent pulled the hair of a child in care while redirecting the child for a behavior that the child was exhibiting.  A small, faded bruise was observed on the back of a child in care.  The child in care indicated the foster parent ""flicked"" their back while fixing their hair.  This caused pain to the child's back.","749.1957(6) - Other Prohibited Discipline-Pinching, pulling hair, biting, or shaking a child",High,06/14/2017,163171
The operation was notified a parent took their child to the doctor and failed to report the incident to licensing within the required time frame per minimum standards.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,04/20/2017,1264451
A serious incident report was not reported to licensing.,748.303(a)(2)(A) - Serious Incident-Report to Licensing no later than 24 hours after injury/illness that warrants treatment by a medical professional or hospitalization,Medium High,11/25/2016,1249442
Licensing was notified on Monday of an incident that occurred on Thursday.    NOTE:  This was corrected at inspection when the director e-mailed licensing with their new procedure for notifying licensing.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,02/06/2017,1118308
A child was injured after a child with a pattern of difficult behavior was left alone with a substitute caregiver. The operation had a plan in place to utilize additional staff however it was not followed on the day of the incident.  It is also reported during the investigation on the day of the incident  the child who threw the chair and injured the other child had a very difficult morning and had run out of the classroom earlier with another child's sunglasses and flushed them down the toilet.,746.1003(3) - Director Responsibilities - Employee Assignments,High,08/22/2016,287154
"Based on information gathered, several children were left alone in a restroom unsupervised. As a result, a toddler sustained an injury.",746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,06/22/2016,172983
"Good judgment was not used when a caregiver did not inform the director, in a timely manner, of a child's injury when the incident occurred.","746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,04/25/2016,257073
Direct staff failed to provide adequate supervision which resulted to an injury on a child in care.,748.685(a)(3) - Caregiver responsibility - being aware of and accountable for each child's on-going activity,High,03/22/2016,276920
"During the course of this investigation, it was determined that a caregiver was not appropriately supervising the children on the playground and as a result a child was injured.",746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,01/03/2018,1269908
"The director's annual training did not include the following topics:      Preventing the spread of communicable diseases, including immunizations;  Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic; and  Handling, storing, and disposing of hazardous materials.",746.1311(f) - Director Annual Training - Additional required topics,Medium,12/19/2017,1119256
The air conditioning vent in the backyard does not have a safeguard and was accessible to the children at inspection. Children can put their hands inside it and get hurt.   (Khong co hang rao can bao chung quanh may lanh o san sau),"747.3501(3) - Safety - Air Conditioners, Fans, Heaters Safeguarded",Medium High,08/17/2015,165958
In the middle room where the children were playing. I observed cords that were dangaling/hanging from the mounted television and the cable box. If a child was playing an accidentally grabbed one of the many cords that was dangling everything that the cords are attached to could possibly fall on the child and cause serious injuries.     Note: This was corrected at inspection when the cords were arranged so that the cords are not longer dangling. Pictures were taken.,746.3701 - Safety - Areas Free From Hazards,Medium High,04/04/2017,290503
A serious incident report did not include information about what preceded a child kicking a wall and injuring their foot.,748.311(7) - Serious Incident Documentation-Includes circumstances surrounding the incident,Medium,01/13/2017,757529
Expired first aid for caregiver who assisted child during an injury.  Expired on July 2017.,746.1315(a) - One Caregiver per Group of Children Must Have Current Training in First Aid with Rescue Breathing and Choking.  Pediatric First Aid is Preferred,High,09/15/2017,869929
"During the investigation it was found that a caregiver applied ice, ointment and a cold cloth to a childs face that received first degree burns from a bottle warmer that had tipped over and splashed on the child.",746.3607(2) - Critical Illness or Injury -Give First Aid or CPR,High,03/01/2017,998828
"In June of 2015, a child fell and hit her teeth on the concrete.  The child was taken to the dentist as a result of the incident.  The incident was not reported to Licensing.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,03/30/2016,490048
Three of four residents reported that one staff member of two present was getting a snack when an altercation occurred which resulted in injuries to a child. .,"748.1003(a) - Child/caregiver ratio-Caregiver may care for 5 children if any require tx svcs, 8 children if not; children under 5 yrs old count as 2 children",Medium High,10/12/2016,1191339
A caregiver did not notify parents immediately after a child injury occurred at the operation.,744.307(a)(1) - Parental Communication - Treatment by Health Personnel,Medium High,02/17/2016,509208
The television in the children area was sitting on a television stand not secured and could easily be knock over injuring a child.    Note: This was corrected at inspection when the television was removed from the room and placed into a bedroom inaccessible to children.,747.3501 - Safety - Areas Free From Hazards,Medium High,12/18/2017,1282209
"While there are no clock hour requirements for the topics in this subsection, the annual training hours must also include training on the following six topics:     (1) Emergency preparedness;     (2) Preventing the spread of communicable diseases, including immunizations;     (3) Administering medication, if applicable, including compliance with ?746.3803 of this title (relating to What authorization must I obtain before administering a medication to a child in my care?);     (4) Preventing and controlling and responding to emergencies due to food or an allergic reaction;    (5) Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic; and     (6) Handling, storing, and disposing of hazardous materials.",747.1305(e) - Caregivers Required Annual Training-Required Topics without hour restriction,Medium,10/31/2017,160325
A caregiver did not demonstrate judgement as she did not ensure that a child that she was transporting was securely restrained in their safety seat after the child's parent placed the child in the transportation vehicle.  A caregiver did not demonstrate good judgment as she did not relay to the director details of an incident that placed children at great risk for injury during transportation.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,07/14/2017,856968
"A child sustained a serious injury that required medical treatment by a professional was reported to licensing and the guardian more than 24 hours after the injury and professional care was received, see 748.303(a)(2)(B).",748.303(a)(2)(A) - Serious Incident-Report to Licensing no later than 24 hours after injury/illness that warrants treatment by a medical professional or hospitalization,Medium High,06/24/2016,95069
"Although this was reported, there is no serious incident report on file to show the child went to the emergency room to receive care by a medical professional.",748.303(a)(2)(B) - Serious Incident-Report to parents no later than 24 hours after injury or illness that warrants treatment by medical professional/ hospitalization,Medium,09/29/2017,132987
The operation failed to report within two days an incident in whick a chlid was injured while in care and required medical treatment. The vioaltion was corrected at the time of inspeciton.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,06/15/2016,94861
"Based on the information found during the investigation, the injury of a child was not reported within the required time frame.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,10/12/2017,159224
"During an investigation it was found that a caregiver did not maintain audio or visual supervision at a level that allowed her to intervene when children were fighting, resulting in a child being injured.",747.1501(c)(4) - Additional Responsibilities of Caregivers- Supervision of Children Adjusting Appropriately for Different Ages and Abilities,High,04/11/2016,1152287
The operation failed to notify Licensing within two days of an injury requiring medical treatment.,744.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,09/21/2016,1170010
"This standard was evaluated with regard to an investigation and it was determined that a caregiver did not use good judgment when she lifted three children, by their arms, off the floor and put them on their cots. One child sustained an injury that required medical attention.","746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,11/01/2016,971549
Caregivers in a pre-school age classroom failed to properly supervise and intervene after a child stood on and jumped off a plastic bin numerous times. The child was then pushed while standing on the bin resulting in an injury.,746.1203(4) - Responsibilities of Caregivers- Supervision of Children,High,08/02/2017,337081
"The outdoor play area had numerous hazards including broken pieces of wood in the grass, animal feces spread throughout the back yard, the storage shed had the door open and inside the storage shed were hazards including a lawn mower, weed eater, tools and screws and a long chain with an anchored hook at the end. The corner of the shed also has exposed metal that is sharp and could injure a child. Lighter fluid was also on a table outside.",747.3501 - Safety - Areas Free From Hazards,Medium High,04/03/2017,1138834
"A caregiver with an annual training year of 7/13/2016-7/12/2017 did not have the following required training topics: 1) Emergency preparedness;   (2) Preventing the spread of communicable diseases, including immunizations;   (3) Administering medication, if applicable, including compliance with ?746.3803 of this title (relating to What authorization must I obtain before administering a medication to a child in my care?);   (4) Preventing and controlling and responding to emergencies due to food or an allergic reaction;  (5) Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic; and   (6) Handling, storing, and disposing of hazardous materials including compliance with ?746.3425 of this title (relating to Must caregivers wear gloves when handling blood or bodily fluids containing blood?).",746.1309(f) - Documented Annual Training- Required Content,Medium,11/09/2017,315761
The air conditioning vent in the backyard does not have a safeguard and was accessible to the children at inspection. Children can put their hands inside it and get hurt.   (Khong co hang rao can bao chung quanh may lanh o san sau),"747.3501(3) - Safety - Air Conditioners, Fans, Heaters Safeguarded",Medium High,03/17/2017,1271635
This standard was reviewed due to an investigation and was found to be deficient. The operation did not report that two children were left on the playground. The caregivers did not report the incident to the director.,HRC42.063(a)(2) - Reporting incidents and violations-a critical injury of a child,High,03/02/2016,143937
The air coditioner has no safeguard that keep any child from being injured.     May lanh san sau khong co rao bao ve de gay thuong tich cho cac em.,"747.3501(3) - Safety - Air Conditioners, Fans, Heaters Safeguarded",Medium High,01/07/2017,1268316
The center did not notify licensing when a child's tooth was broken off and she went to the dentist.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,06/29/2017,1248790
A child received a broken arm from a fall while in care. The parent was not notified at the time of the injury that the child may need medical treatment.,746.307(a)(1) - Parental Communication - Treatment by Health Personnel,Medium High,02/03/2017,1088468
Based on the evidence obtained during the investigation a caregiver was reckless when providing discipline and injured a child.,"746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",High,01/20/2017,164280
This standard was tasked as it relates to the investigation: The director failed to demonstrate good judgment by failing to contact the parent of a child in care regarding injuries.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,10/03/2016,351531
One child one the bus did not have on a seat belt and it resulted in a injury.,746.5607(d)(7) - Safety Seat System - 8 to 14 Yrs,High,05/19/2016,273746
The program was not able to provide documentation of a written incident report to Licensing staff documenting an injury of a child  at the program to share with the parent.,746.707 - Incident/Illness Report Form Shared with Parent,Medium,07/01/2016,156502
"Three caregivers did not have the following topics available for review during orientation:  1) Administering medication, if applicable;  (2) Preventing and responding to emergencies due to food or an allergic reaction;  (3) Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic;  (4) Handling, storing, and disposing of hazardous materials; and  (5) Precautions in transporting children if your center transports a child whose chronological or developmental age is younger than nine years old.",746.1301(1) - Training Requirements for Employees and Caregivers - Orientation,Low,11/13/2017,1264415
"Based on the information gathered during the investigation, a caregiver pushed a child to the floor by their head causing a neck injury. As a result, the department found there was a reason to believe for physical abuse in this case.","746.1201(4) - Responsibilities of Employees and Caregivers -Ensure No Child Abused, Neglected, or Exploited",High,11/03/2016,1208759
During an inspection it was found that the operation did not write an incident report for a child being injured in care who required medical treatment.  This was corrected at inspection when the report was written.,746.701(1) - Licensing Incident/Illness Report Form - Injuries Requiring Medical Attention,Medium,04/18/2016,1149177
An incident report was not completed for an injury that required medical attention.,746.707 - Incident/Illness Report Form Shared with Parent,Medium,12/14/2016,308369
"Training in the following was not available for review during the inspection (A) Recognizing and preventing shaken baby syndrome and abusive head trauma; (B) Understanding and using safe sleep practices and preventing sudden infant death syndrome (SIDS); (C) Understanding early childhood brain development; (D) Emergency preparedness; (E) Preventing and controlling the spread of communicable diseases, including immunizations; (F) Administering medication, if applicable, including compliance with ?747.3603 of this title (relating to What authorization must I obtain before administering a medication to a child in my care?); (G) Preventing and responding to emergencies due to food and allergic reaction; (H) Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic; (I) Handling, storing, and disposing of hazardous materials including compliance with ?747.3221 of this title (relating to Must caregivers wear gloves when handling blood or bodily fluids containing blood?); and (J) Precautions in transporting children if your child-care home plans to transport a child whose chronological or developmental age is younger than nine years old.",747.1007(6) - Primary Caregiver in a Registered Home Qualifications-Proof of Training in Required Topics (A-J),Medium High,02/13/2017,1265614
"A child had an injury that required medical attention. Center did not notify Licensing within 48 hours, as required.",746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,03/03/2016,1122725
There were large patches of grass visible in the playground mulch.  It has been compacted down and is not loose fill material. The mulch needs to be raked to prevent injury.,746.4907(a)(1) - Installation and Maintenance of Loose-fill Surfacing - Six Inches if Equipment 5 Ft or Less,Medium High,09/02/2016,585289
"Based on interviews conducted with operation staff and the parent of the injured child, it was determined the operation did not use good judgment when deciding to examine a child in the classroom, rather than waiting for medical professionals and the child?s parent.","746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",,06/27/2017,1228260
Parents were not verbally notified  about a minor injury that occurred at the operation during pick up.,746.307(b) - Parental Notification of Less Serious Injuries,Medium,06/19/2017,281989
The operation did not use good judgment when a child was injured while in care. The operation did not contact the parents or licensing to let them know about the child falling.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,04/12/2016,124465
This standard was evaluated with regard to an investigation. A caregiver slapped a child on the face with an open hand.  No injuries were observed.,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,High,08/25/2017,149203
"The outdoor area was observed to have several broken toys, an extension cord plugged in and handing from the patio roof, a pick-up truck with construction lumber accessible to children. To basketball goals were observed lying on the ground in the corner of the playground. One of the toilets in the restroom across from the infant room was observed to have a leak. Water was observed on the floor in the restroom which could lead to a fall and injury of a child or adult.",746.3701 - Safety - Areas Free From Hazards,Medium High,07/07/2017,1159686
"The primary caregiver is lacking educational requirements to meet for director of licensed home.   Topics were discussed with the provider: -Recognizing and preventing shaken baby syndrome and abusive head trauma; -Understanding and using safe sleep practices and preventing sudden infant death syndrome (SIDS); -Understanding early childhood brain development; -Emergency preparedness; -Preventing and controlling the spread of communicable diseases, including immunizations; -Administering medication, if applicable, including compliance with ?747.3603 of this title (relating to what authorization must I obtain before administering a medication to a child in my care?) -Preventing and responding to emergencies due to food and allergic reaction; -Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic; -Handling, storing, and disposing of hazardous materials including compliance with ?747.3221 of this title (relating to Must caregivers wear gloves when handling blood or bodily fluids containing blood?); and -Precautions in transporting children if your child-care home plans to transport a child whose chronological or developmental age is younger than nine years old.",747.1007(6) - Primary Caregiver in Registered Home Qualifications - Negative TB Exam,Medium High,12/01/2017,1292514
Resident received multiple bruises on her arm from being pulled during the restraint.,"748.2551(c)(1) - EBI Implementation-Caregiver must minimize risk of physical discomfort, harm, or pain to the child",High,09/06/2016,1191339
"A 2 year old child was observed sleeping in a crib with the mattress on the highest setting.  If the infant sat up, the infant's head and chest would be higher than the crib railing.  This could be a hazard causing the child falling out of the bed and injuring themselves.      The caregiver was also observed chainge an infant's diaper in her lap at the table in the daycare room.","747.1501(c)(1) - Responsibilities of Employees and Caregivers -Competency,Good Judgment,Self-control",High,04/03/2017,1256092
"A caregiver with a hire date of 3/14/2016 did not have the following training topics available for review: (1) Emergency preparedness; (2) Preventing the spread of communicable diseases, including immunizations; (3) Administering medication, if applicable, including compliance with ?746.3803 of this title (relating to What authorization must I obtain before administering a medication to a child in my care?); (4) Preventing and controlling and responding to emergencies due to food or an allergic reaction; (5) Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic; and (6) Handling, storing, and disposing of hazardous materials including compliance with ?746.3425 of this title (relating to Must caregivers wear gloves when handling blood or bodily fluids containing blood?). RECITE",746.1309(f) - Documented Annual Training- Required Content,Medium,09/21/2017,1235868
"The records of the employees hired on 8/17/15 and 1/13 did not include training in the following topics:   (1) Emergency preparedness;  (2) Preventing the spread of communicable diseases, including immunizations;  (3) Administering medication;  (4) Preventing and controlling and responding to emergencies due to food or an allergic reaction;  (5) Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic; and  (6) Handling, storing, and disposing of hazardous materials.",746.1309(f) - Documented Annual Training- Required Content,Medium,10/27/2017,96947
"The room was too dark during naptime, causing an accidental injury to occur.",746.2911 - Adequate Lighting During Naptime,Medium High,09/14/2016,1239301
"Based on the information gathered during this investigation, it was concluded that day care staff failed to report a prior injury to a child which required medical attention to Licensing.",747.303(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,11/04/2016,1129371
A child reports that she was bitten by another resident that broke the skin.  No medical care was administered to the child that was bitten.,"748.1531(a)(2) - Medical care-A child in care must receive medical care as needed for injury, illness, and pain",High,08/30/2017,1252288
A safety plan implemented to reduce the risk of injury to children that was agreed upon by the operation  and the Department was not adhered to by the directors of the operation during the course of this investigation. Written documentation of health checks performed on children was not maintained as per the safety plan.,746.1003(1) - Director Responsibilities - Operate in Compliance,High,05/05/2016,234799
The incident report created regarding the injury did not contain the same information as the licensing incident report form.,746.701(1) - Licensing Incident/Illness Report Form - Injuries Requiring Medical Attention,Medium,03/31/2017,921568
"A caregiver had a seizure, causing them to lose some time while caring for children in their home. During this time, the children sustained multiple injuries for which the caregiver was not aware of or had no knowledge of. These injuries were documented by photograph. Caregivers stated that they were in the process of seeking medical attention for the children, but were having a difficult time due to recovering from the seizure.",749.605(a) - Minimum qualifications for employees-Behavior or health does not present a danger to children in care,Medium High,11/20/2017,526889
A staff posted a photo of a child's self-harming injuries on social media.,748.1101(b)(21) - Children's rights-Adhere to the child's right to confidential care and treatment,Medium Low,04/29/2016,976689
"Plastic black barriers on the playground had screws that were lifted and not flush with the barrier itself. This can cause an injury if a child fell on a screw or his/her clothing items attached to the screw and caused a fall.     On the path to the playground, a piece of metal was protruding off the gym wall. This can cause an injury if a child fell on or rubbed up against the item.     Playground liner was exposed which is a trip hazard for the children.",746.3701 - Safety - Areas Free From Hazards,Medium High,02/29/2016,320811
A child was poked in the eye accidentally by another child. Center staff did not call parent timely to advise them of the injury. According to information gathered the child's eye was very red and he was very uncomfortable.,744.307(a)(1) - Parental Communication - Treatment by Health Personnel,Medium High,04/07/2017,122816
The operation failed to report a reportable incident to Licensing. Operation took appropriate measures and corrected this deficiency.,746.305(a)(2) - Report Child Injury Requiring Medical Treatment,Medium High,02/22/2017,208486
3 classrooms were observed to have small spacing between the window wall frame and the window.  In one class the space is large enough for a child's finger to become entraped.  In two other classes there is sharp edging which could cause injury to a child.  This was also observed in the gym/ play room.,746.3701 - Safety - Areas Free From Hazards,Medium High,01/11/2017,911451
An infant child received injuries that are concerning for maltreatment and physical abuse.,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,High,08/25/2017,1244761
This standard was reviewed as part of an investigation and found deficient. A child fell inside a classroom causing the child to sustain an injury to the child's arm. The caregiver failed to demonstrate good judgment as the caregiver picked the child up off the floor and set the child on a changing table while the caregiver finished completing an incident report before tending to the injured child. The caregiver also failed to demonstrate good judgment by completing an incident report instead of attending to a discipline issue within the classroom. The failure to address the immediate concerns of the classroom resulted in a child being injured.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,12/15/2017,145407
"There was no documentation showign that the direcotr had completed training in the following topics:    (1) Emergency preparedness;     (2) Preventing and controlling the spread of communicable diseases, including immunizations;     (3) Administering medication, if applicable, including compliance with ?746.3803 of this title (relating to What authorization must I obtain before administering a medication to a child in my care?);     (4) Preventing and responding to emergencies due to food or an allergic reaction;     (5) Understanding building and physical premises safety, including identification and protection from hazards that can cause bodily injury such as electric hazards, bodies of water, and vehicular traffic; and     (6) Handling, storing, and disposing of hazardous materials including compliance with ?746.3425 of this title (relating to Must caregivers wear gloves when handling blood or bodily fluids containing blood?).",746.1311(f) - Director Annual Training - Additional required topics,Medium,12/27/2017,1152871
Investigation revealed that a caregiver did not use good judgment during diaper changing causing an infant to be injured.,"746.1201(1) - Responsibilities of Employees and Caregivers -Demonstrate Competency, Good Judgment, Self-control",High,02/15/2017,252393
