NARRATIVE,STANDARD_NUMBER_DESCRIPTION,STANDARD_RISK_LEVEL,CORRECTED_DATE,OPERATION_NAME,OPERATION_ID,NON_COMPLIANCE_ID,LOCATION_ADDRESS
"On 2/15/16, a child in care was improperly restrained by a staff member that resulted in pain to the child's back and stomach. The next day, this child reported this pain to two staff members who dismissed the complaints and did not seek medical treatment for this child.","748.1531(a)(2) - Medical care-A child in care must receive medical care as needed for injury, illness, and pain",High,08/19/2016,Williams House,225772,1270153097,108 E MAIN ST  LOMETA TX- 76853 2105
A resident with fingernails fallen off from nail beds did not receive medical care in a timely manner.,"748.1531(a)(2) - Medical care-A child in care must receive medical care as needed for injury, illness, and pain",High,08/01/2016,Hands of Healing,1105684,1270118173,601 S MAIN ST  BAYTOWN TX- 77520 7073
"Staff member attempted to restrain a child while in the kitchen, a small area with several potential dangers, which may have contributed to the staff being unable to gain control of the child and the child sustaining multiple injuries on different parts of his body including his face.",748.2551(b)(1) - EBI Implementation-The caregiver must consider the characteristics of the immediate physical environment,High,04/07/2017,Therapeutic Safe Haven Foundation,1169501,1270115738,823 S ELLISON DR  SAN ANTONIO TX- 78245 1009
The operation did not report a serious incident to the hotline.,748.303(a)(2)(A) - Serious Incident-Report to Licensing no later than 24 hours after injury/illness that warrants treatment by a medical professional or hospitalization,Medium High,10/11/2017,Prairie Harbor  LLC,1191339,1270120335,7146 HIGHWAY 60  WALLIS TX- 77485 9507
A child in care was seen at the Emergency room and operation did not notify CPS within 24 hours.,748.303(a)(2)(B) - Serious Incident-Report to parents no later than 24 hours after injury or illness that warrants treatment by medical professional/ hospitalization,Medium,07/28/2016,Carter's Kids Residential Treatment Center,353978,1270170197,1203 LARK LN  RICHMOND TX- 77469 7803
The administrator said she knew Ms. Erma was using profanity and horseplaying with the residents.  Interviews also stated that other staff were inappropriate and dropped levels in retaliation.  Other staff reported that Ms. Erma?s behavior and actions were inappropriate and sometimes got out of control.  Residents said they were physically and emotionally hurt and sometimes didn?t like the horseplay and said that Ms. Erma and other staff sometimes became upset and dropped their levels.  The Administrator stated she had spoken with Ms. Erma or they had had conversations but nothing had been addressed in the personnel file and there was no disciplinary action taken.,748.535(2)(F) - Child-care administrator responsibilities-Ensuring that operation complies with applicable rules of chapter 748 and other applicable rules and laws,Medium,08/17/2017,East Texas Open Door Inc,103605,1270167826,410 W GRAND AVE  MARSHALL TX- 75670 3235
"Staff failed to maintain accountability of two residents, who exhibited escalating non-compliance, illegal substance use, and one with a history of self-injurious behaviors.",748.685(a)(3) - Caregiver responsibility - being aware of and accountable for each child's on-going activity,High,08/01/2016,Therapeutic Safe Haven Foundation,1169501,1270115607,823 S ELLISON DR  SAN ANTONIO TX- 78245 1009
"During the investigation, it was found that the caregiver assaulted a child in care by striking this child in the face multiple times with a closed fist in front of three foster children and operation personnel. This child was left with injury from the physical assault.","749.1003(b)(1)(B) - Children's rights-Safety & care including right to be free from abuse, neglect and exploitation",High,09/11/2017,THE PAYTON FOUNDATION,1106901,1270119601,6955 BROACH RD  BRYAN TX- 77808 8897
Toddler in care sustained significant burns to neck and arms while in the direct care of the caregiver. Toddler also had fracture to fingers. Injuries were determined to be not accidental by medical personnel.,"749.1003(b)(4) - Children's rights-Adhere to the child's rights to be free of abuse, neglect, and exploitation as defined in Texas Family Code 261.401",High,05/01/2017,Angels Crossing,266279,1270172193,305 COUNTY ROAD 473  CASTROVILLE TX- 78009 3417
"Information provided indicates the youngest child in care receives harsher discipline redirections than the older siblings.  The youngest child is not included in activities as a discipline and has been redirected and limited when they have requested seconds of food.  A small, faded bruise was observed on the back of a child in care.  The child in care indicated the foster parent ""flicked"" their back while fixing their hair.  This caused pain to the child's back.","749.1003(b)(4)(A) - Children's rights-Adhere to the child's rights to be free from any harsh, cruel, unusual, unnecessary, demeaning, or humiliating punishment",High,06/14/2017,Circles of Care,163171,1270171698,5333 EVERHART RD STE 150B CORPUS CHRISTI TX- 78411 4835
Child in care presented with unexplained injuries.,"749.2593(a)(3) - Supervision-The caregiver is responsible for ensuring each child's safety and well being, including auditory and/or visual awareness of the child",High,03/13/2017,Agape Manor Home CPA,296126,1270150848,3200 BROADWAY BLVD STE 360 GARLAND TX- 75043 1572
A child was injured from falling while climbing a rope ladder.  The child was 2 and did not have the motor skills to safely use the playground equipment.  The caregivers were too far away to intervene when the child fell.,"749.2593(b)(1) - Supervision-When supervising a child, a caregiver must take into account the child's age",Medium High,11/15/2016,TEXAS DEPT OF FPS REG 03,95711,1270098981,1200 E COPELAND RD  ARLINGTON TX- 76011 1344
A child was admitted to the hospital on 3/16/16 and had surgery on 3/17/16. This was not reported to Licensing until 3/30/16.,749.503(a)(2)(A) - Serious Incident-Report to Licensing critical injury or illness that warrants treatment by a medical professional/hospitalization,Medium High,05/12/2016,TEXAS DEPT OF FPS REG 05,95733,1270099778,3105 EXECUTIVE BLVD  BEAUMONT TX- 77705 1044
A child sustained an injury to the head while swimming and required medical treatment. The caregiver did not report the incident to licensing within 24 hours of the incident.,749.503(a)(2)(A) - Serious Incident-Report to Licensing critical injury or illness that warrants treatment by a medical professional/hospitalization,Medium High,08/01/2017,Childrens Shelter,273495,1270175550,2939 W WOODLAWN AVE  SAN ANTONIO TX- 78228 5015
"Child in are was injured while playing outside and needed medical treatment. Caregiver did not notify child placing agency, caseworker, or licensing representative when incident occurred.",749.503(a)(2)(A) - Serious Incident-Report to Licensing critical injury or illness that warrants treatment by a medical professional/hospitalization,Medium High,08/23/2016,Divinity Family Services,526889,1270149059,1312 BANDERA HWY  KERRVILLE TX- 78028 9547
The serious incident was not documented in a written report within 24 hours after the critical injury was diagnosed on 06/24/16.  The report was not received until 07/15/16.,749.511 - Serious Incident Documentation-Documented in written report,Medium,07/15/2016,TEXAS DEPT OF FPS REG 03,95711,1270098965,1200 E COPELAND RD  ARLINGTON TX- 76011 1344
A foster parent admitted to restraining a child for less that 60 seconds but failed to complete a serious incident report explaining the reason for the restraint.,749.513(2) - Serious Incident substantial physical injury resulting from short personal restraint-document restraint and precipitating circumstances/behaviors,Medium High,02/06/2017,TEXAS DEPT OF FPS REG 06,95720,1270099250,2525 MURWORTH DR  HOUSTON TX- 77054 1622
