OPERATION_NAME,LOCATION_ADDRESS,COUNTY,STANDARD_NUMBER_DESCRIPTION,CORRECTED_DATE,NARRATIVE,TECHNICAL_ASSISTANCE_GIVEN,OPERATION_TYPE
Kids Kingdom,604 N LOOP 336 W STE D CONROE TX- 77301 1235,MONTGOMERY,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,08/18/2017 12:00:00 AM,"It was determined through written documentation and interviews that a caregiver ""popped"" a 2 yr. old on the bottom.     NOTE: The caregiver was terminated.",YES,Licensed Center
Attitude Respect N Manners Learning Center,6612A HORNWOOD DR  HOUSTON TX- 77074 5010,HARRIS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,01/03/2018 12:00:00 AM,"Based upon the information obtained from the inspection there is significant evidence to support, a caregivers has used hitting as a form of discipline.",YES,Licensed Center
Attitude Respect N Manners Learning Center,6612A HORNWOOD DR  HOUSTON TX- 77074 5010,HARRIS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",01/03/2018 12:00:00 AM,Based upon the information obtained from the inspection there is significant evidence to support a caregivers has used ear pulling as a form of discipline.,YES,Licensed Center
Shining Stars Academy,7711 BEECHNUT ST  HOUSTON TX- 77074 3101,HARRIS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,04/26/2016 12:00:00 AM,"Based on information obtained during Investigation, a caregiver in the schoolers room uses threats of corporal punishment by pointing her walking stick at children.",YES,Licensed Center
CDI Head Start Serving North Texas Boyd-Head Start /EHS/Chil,650 KNOX AVE  BOYD TX- 76023 3216,WISE,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,05/11/2017 12:00:00 AM,This standard was evaluated in regard to an investigation and was found to be out of compliance. A caregiver did not demonstrate self-control when she slapped a child on the inside of the arm for throwing foam letters in the air. The same caregiver was accused of slapping another child in the face earlier in the year.,NO,Licensed Center
Childrens Treehouse Buckingham,3317 W BUCKINGHAM RD  GARLAND TX- 75042 4303,DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,07/11/2017 12:00:00 AM,"Based on the information gathered during the investigation, a caregiver grabbed a child by the arm as a form of punishment for not following verbal redirections.",YES,Licensed Center
Childrens Treehouse Buckingham,3317 W BUCKINGHAM RD  GARLAND TX- 75042 4303,DALLAS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",04/27/2016 12:00:00 AM,Based on the video reviewed during the investigation it was found that a caregiver inappropriately grabbed two children by the arm when putting the children in timeout. This caregiver was terminated for these actions.,YES,Licensed Center
Precious Moments Montessori Pre-School,1705 WRIGHT ST  LLANO TX- 78643 2922,LLANO,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,06/20/2017 12:00:00 AM,There was substantial evidence to show that a caregiver hit multiple children with her hand.,YES,Licensed Center
Preston Hollow Methodist CDC,6315 WALNUT HILL LN  DALLAS TX- 75230 5116,DALLAS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",05/19/2016 12:00:00 AM,A caregiver used harsh treatment as a form of discipline by pulling a child by the leg and clothes to make the child sit next to the caregiver as a form of timeout.,NO,Licensed Center
Shepherd of the Hills Lutheran,6914 WURZBACH RD  SAN ANTONIO TX- 78240 3832,BEXAR,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,08/15/2016 12:00:00 AM,"Based on the information obtained, spanking was a form of discipline used in the classroom.     Note: Caregiver was suspended and is no longer employed at the operation.",YES,Licensed Center
Mamas House,800 W MAIN ST  WHITEHOUSE TX- 75791 4416,SMITH,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,04/11/2017 12:00:00 AM,Based on the information gathered the staff in the operation hit a child with the hand.,YES,Licensed Center
World Of Children,13726 ALMEDA RD  HOUSTON TX- 77053 1626,HARRIS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",05/31/2017 12:00:00 AM,"The caregiver yelled in a child?s face, slapped the child on the cheek, and hit another child in the head with a small plastic bag with diapers in it. The employee was terminated immediately.",NO,Licensed Center
The Pineapple School at Stone Oak,20615 HUEBNER RD  SAN ANTONIO TX- 78258 4292,BEXAR,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",02/03/2017 12:00:00 AM,A caregiver inappropriately disciplined a child by pulling the child's hair.,YES,Licensed Center
First United Methodist Church Vinson,900 S SHORELINE BLVD  CORPUS CHRISTI TX- 78401 3551,NUECES,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",04/01/2016 12:00:00 AM,"Based on the information gathered, a caregiver intentionally used harsh, cruel, and unusual punishment, by pulling a chair out from underneath a toddler, causing her to fall on the ground.",YES,Licensed Center
Primrose School of Sienna,4400 SIENNA PKWY  MISSOURI CITY TX- 77459 6012,FORT BEND,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",09/21/2016 12:00:00 AM,It was discovered that a caregiver pinched children in care.,YES,Licensed Center
HOPE Daycare,2 N GENERAL BRUCE DR  TEMPLE TX- 76504 2428,BELL,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,06/07/2017 12:00:00 AM,After reviewing the video footage provided by the operation it was confirmed that a caregiver inappropriately disciplined a child in care.,YES,Licensed Center
Loving Home Daycare,22411 SUMAC LN  SPRING TX- 77389 4653,HARRIS,"747.2705 - Prohibited Punishments - No Harsh, Cruel or Unusual",09/13/2016 12:00:00 AM,"Based on information obtained during the investigation, there is sufficient evidence to support that a household member used prohibited punishment.",YES,Licensed Child-Care Home
Emanuel's Lutheran Day School,310 N TRAVIS ST  SEGUIN TX- 78155 5536,GUADALUPE,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,07/27/2016 12:00:00 AM,Based on the information gathered the caregiver in the two year old classroom slapped three children on the back of the hand.,YES,Licensed Center
Alvin FUMC Preschool,611 W SOUTH ST  ALVIN TX- 77511 4318,BRAZORIA,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",11/09/2016 12:00:00 AM,"Based on information obtained, there is sufficent evidence to support a staff member grabbed and dragged a child down a hallway.     Note: The staff member has been terminated.",YES,Licensed Center
Camp YWCA,3106 36TH ST  LUBBOCK TX- 79413 2321,LUBBOCK,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",06/15/2016 12:00:00 AM,Information obtained during the investigation revealed a caregiver grabbed a child by the arm in a rough manner.,YES,Licensed Center
Wonderland Montessori Academy,3701 AUBURN DR  FLOWER MOUND TX- 75022 2970,DENTON,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,07/08/2016 12:00:00 AM,"Based on the information received during the investigation, a caregiver injured a child with her hand as she attempted to punish him for playing in the bathroom of the operation.",YES,Licensed Center
Windmill Farms Private School,1000 CONCORD ST  FORNEY TX- 75126 8549,KAUFMAN,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",05/27/2016 12:00:00 AM,A caregiver used inappropriate discipline by placing hands on the child's cheeks to make the child look up at the caregiver.,NO,Licensed Center
Poppy's House,2635 N BELT LINE RD  SUNNYVALE TX- 75182 9343,DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,05/04/2016 12:00:00 AM,"Based on information gathered, a child in care was hit with the hand and an instrument by a caregiver.  The caregiver is no longer employed at the operation.",NO,Licensed Center
Love & Art Childcare Corp.,3505 S DAIRY ASHFORD RD STE 100 HOUSTON TX- 77082 5514,HARRIS,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",08/18/2017 12:00:00 AM,During interviews it was found that a teacher used inappropriate discipline on a child in care. That teacher is no longer employed at the operation.,YES,Licensed Center
Barton Middle School Early Learning CTR.,4950 JACK C HAYS TRL  BUDA TX- 78610 9390,HAYS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",05/31/2017 12:00:00 AM,A caregiver used harsh punishment while children were in care.,YES,Licensed Center
Kids R Kids #58,4516 MAUMEE DR  CARROLLTON TX- 75010 1195,DENTON,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",10/06/2017 12:00:00 AM,This standard was reviewed as part of an investigation and found to be deficient.  A caregiver treated a child in a rough manner.  The caregiver held the child in an unsupportive manner and tried to force the child to sit.,NO,Licensed Center
See Saw Children's Place - Fairmont,1450 W FAIRMONT ST  LONGVIEW TX- 75604 4407,GREGG,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,05/24/2017 12:00:00 AM,Based on the information gathered the staff in the operation hit and grabbed a child with the hand.,YES,Licensed Center
See Saw Children's Place - Fairmont,1450 W FAIRMONT ST  LONGVIEW TX- 75604 4407,GREGG,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",11/23/2016 12:00:00 AM,"I observed a caregiver shove a child and tell him ""you need to get away from me"" during the inspection. The teacher never knew the inspector was in the classroom.",YES,Licensed Center
"New Horizons School, LLC",3700 RIDGE COUNTRY ST  SAN ANTONIO TX- 78247 3463,BEXAR,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",02/22/2017 12:00:00 AM,"Through information received during the investigation, it was determined that a caregiver popped a child on the hand, held the caregivers hand to the child's mouth to get the child to be quiet, forcefully put a child on a cot, and forcefully put a child in a chair and then held the child down so the child could not move (restraining the child with her arms).  It was also determined the caregiver placed children in time out for longer than 2 minutes.  Children were left in time out for 5 minutes or even up to 20 minutes.  Information received also determined that the caregiver yells aggressively at the children.",YES,Licensed Center
KIDS Learning Center,1104 S MCCOLL RD  EDINBURG TX- 78539 2922,HIDALGO,"746.2805(8) - Prohibited Punishments -Placing Child in Locked, Dark Room",11/29/2016 12:00:00 AM,A caregiver placed a child in a dark room with the door closed. Child was alone and unsupervised without a caregiver present.,NO,Licensed Center
"Kids Rainbow Academy,  LLC",4959 OLD MANSFIELD RD  FORT WORTH TX- 76119 4658,TARRANT,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",04/26/2016 12:00:00 AM,A caregiver was observed and heard speaking harshly to  children in her care and was observed yanking a 18 to 24 month old's arm and forcing the child to sit by pulling the child's arm.,YES,Licensed Center
"Kids Rainbow Academy,  LLC",4959 OLD MANSFIELD RD  FORT WORTH TX- 76119 4658,TARRANT,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",06/21/2017 12:00:00 AM,"It was determined after the investigation that the caregiver used harsh, cruel and unusual punishment when she took a child and threw him on the ground.  This was observed on the camera.  A copy of the footage was placed in the operation file.",NO,Licensed Center
Andrea's Angels Two,401 N WASHINGTON AVE  MARSHALL TX- 75670 3329,HARRISON,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",07/12/2016 12:00:00 AM,Based on the information gathered a caregiver was making children run laps as a form of discipline.,NO,Licensed Center
"BusiBodies Academy, Inc.",3926 ERIE ST  HOUSTON TX- 77087 4716,HARRIS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",11/01/2017 12:00:00 AM,"Base on preponderance of information collected, a caregiver used a form of inappropriate discipline towards a child in care.",YES,Licensed Center
The Sunshine House,8304 STARNES RD  NORTH RICHLAND HILLS TX- 76182 6035,TARRANT,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,10/03/2016 12:00:00 AM,"This rule was evaluated with regard to an investigation, and has been found to be in violation with the Minimum Standard Rules for Licensed Child Care Centers based on observations made at the operation, review of supporting documentation, and interviews with various staff. A caregiver was witnessed slapping an infant's hand.",YES,Licensed Center
Lighthouse Private School,5600 HORIZON RD  HEATH TX- 75032 5988,ROCKWALL,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",07/11/2016 12:00:00 AM,A staff member used inappropriate discipline when they thumped a child on the ear.  The staff member no longer works at the operation.,YES,Licensed Center
Lighthouse Private School,5600 HORIZON RD  HEATH TX- 75032 5988,ROCKWALL,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",09/12/2016 12:00:00 AM,"Based on the information gathered during this investigation, a violation of this standard was identified when a caregiver inappropriately grabbed a child by the arm causing an injury when the child would not follow come down from a slide.",NO,Licensed Center
Lighthouse Private School,5600 HORIZON RD  HEATH TX- 75032 5988,ROCKWALL,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",09/12/2016 12:00:00 AM,"Based on the information gathered during the investigation, it was determined that a caregiver inappropriately grabbed a child by the arm because the child smashed a cookie on the table.",NO,Licensed Center
Knowledge Beginnings,6130 S FRY RD  KATY TX- 77494 7069,FORT BEND,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",01/08/2018 12:00:00 AM,"Although measures are in place in the operation such as cameras in the classrooms in which the director monitors, a caregiver used inappropriate discipline when placing a child down for a nap.  The director addressed this with the caregiver.  The caregiver is no longer employed at the operation.",YES,Licensed Center
Prince of Peace Christian Academy,4330 OBANION RD  GARLAND TX- 75043,DALLAS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",12/08/2017 12:00:00 AM,A caregiver used inappropriate discipline by grabbing a child by the arm.,YES,Licensed Center
Lufkin Tiny Treasures Preschool LLC,806 PERSHING AVE  LUFKIN TX- 75904 3956,ANGELINA,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",08/08/2017 12:00:00 AM,The Director admitted that she bit her granddaughter at the center because her granddaughter was biting other children.    She is going to correct this by having a training on appropriate discipline.  She is also going to a training for herself on appropriate discipline.,NO,Licensed Center
Lufkin Tiny Treasures Preschool LLC,806 PERSHING AVE  LUFKIN TX- 75904 3956,ANGELINA,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",08/08/2017 12:00:00 AM,The Director admitted that she bit her granddaughter at the center because her granddaughter was biting other children.    She is going to correct this by having a training on appropriate discipline.  She is also going to a training for herself on appropriate discipline.,NO,Licensed Center
Academic Academy Christian Child Care Center,11948 GLOGER ST  HOUSTON TX- 77039 6312,HARRIS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,10/18/2016 12:00:00 AM,"Based on information obtained during Investigation, a caregiver hit a child in care on her arm as a form of discipline.",NO,Licensed Center
Grace Learning Center,4214 RIDGECREST CIR  AMARILLO TX- 79109 5438,RANDALL,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,06/20/2017 12:00:00 AM,"Based on the evidence obtained during the investigation, two caregivers have been disciplining children inappropriately by throwing shoes at children and striking two children.",YES,Licensed Center
Shining Starz Academy,215 S MADISON ST  MC GREGOR TX- 76657 2328,MCLENNAN,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,11/30/2016 12:00:00 AM,Based on information gathered there is sufficient evidence to find that a child was inappropriately disciplined.,YES,Licensed Center
Shining Starz Academy,215 S MADISON ST  MC GREGOR TX- 76657 2328,MCLENNAN,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",12/14/2016 12:00:00 AM,It was found that a caregiver was harsh with a child while correcting their behavior.,YES,Licensed Center
Intelligent Minds Development Center,7400 N WAYSIDE DR  HOUSTON TX- 77028 3227,HARRIS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,06/07/2017 12:00:00 AM,Based on the information obtained inappropriate discipline is being used by caregivers.,YES,Licensed Center
Christian Kids,921 SAINT PETER ST  GONZALES TX- 78629 3514,GONZALES,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",12/05/2016 12:00:00 AM,Based on the information gathered the three year old caregiver grabbed and jerked a child by the arm in an aggressive manner.,YES,Licensed Center
Enchanted Childrens Academy,6229 KOSTORYZ RD  CORPUS CHRISTI TX- 78415 2414,NUECES,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",04/11/2017 12:00:00 AM,"During the course of the investigation, information was gathered to show a caregiver had pinched a child while in the classroom.",YES,Licensed Center
Little Texans Academy,18211 KELLY BLVD  DALLAS TX- 75287 4669,DENTON,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,06/09/2017 12:00:00 AM,A caregiver used inappropriate discipline by using a ruler to hit a child.,YES,Licensed Center
First Learning Tree,801 E MAIN ST  ROCKPORT TX- 78382 2629,ARANSAS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",05/24/2016 12:00:00 AM,A caregiver pushed a child causing the child to suffer a busted lip.,YES,Licensed Center
Munday CISD Day Care Center,1111 MAIN ST  MUNDAY TX- 76371,KNOX,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,12/09/2016 12:00:00 AM,Caregiver provided a verbal interview disclosing she has discipline children in care by spanking using an open hand with parents knowledge.Parents of children in care disclosed they have been made aware on several occasions that caregiver was spanking children while in care as a form of discipline.,YES,Licensed Center
Grace Place Learning Center,3460 ROY RICHARD DR  SCHERTZ TX- 78154 5419,GUADALUPE,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,11/23/2016 12:00:00 AM,"Through information received during interviews at the investigation inspection, it was determined that a caregiver smacked a child in the face.    NOTE: Corrected when the operation dismissed the caregiver from employment.",NO,Licensed Center
St Bartholomews Episcopal Academy,622 AIRLINE RD  CORPUS CHRISTI TX- 78412 3156,NUECES,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,10/17/2016 12:00:00 AM,"A caregiver was observed on the operations video, using her hand to swat a 16 month old child on the arm.",YES,Licensed Center
Gran's Lil' Angels Achievement Academy,6514 S LANCASTER RD  DALLAS TX- 75241 3801,DALLAS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",10/18/2017 12:00:00 AM,This standard was evaluated in regards to an investigation and was found deficient.  Interviews confirmed that a teacher grabbed children's ears as a form of discipline.  Interviews also confirmed that a teacher grabbed children roughly when redirecting.,YES,Licensed Center
Candyland Aldine,2111 ALDINE MAIL RTE  HOUSTON TX- 77039 5503,HARRIS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",07/22/2016 12:00:00 AM,Based on the information provided a child in care was dragged across the floor by a caregiver when he refused lunch. This type of discipline is prohibited.     Note:The careigver has been terminated due to their actions.,NO,Licensed Center
Childrens Park Learning Center,941 STEGER TOWNE RD  ROCKWALL TX- 75032 5661,ROCKWALL,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",12/29/2016 12:00:00 AM,A caregiver kicked a child on the leg as a form of punishment.,NO,Licensed Center
Childtime Learning Centers,3170 N FRY RD  KATY TX- 77449 6239,HARRIS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",05/02/2016 12:00:00 AM,"Based on the information obtained a caregiver demonstrated harsh, cruel, and unusual punishments by grabbing children by their arms to take them to time-out.",YES,Licensed Center
A+ Highpointe Academy,3211 W CAMP WISDOM RD  DALLAS TX- 75237 2605,DALLAS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",05/01/2017 12:00:00 AM,Based on the information gathered during the investigation it was determined that caregivers used harsh discipline techniques toward the children in care by making the children stand  in the middle of  the room with their arms above their shoulders for long periods of time causing pain to their arms.,NO,Licensed Center
A+ Highpointe Academy,3211 W CAMP WISDOM RD  DALLAS TX- 75237 2605,DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,05/01/2017 12:00:00 AM,Based on the information gathered during the investigation it was determined that the director and another caregiver were hitting the children while they were in care.,NO,Licensed Center
Metropolitan Christian Academy No 3,401 ROYAL VALLEY RD  GRAND PRAIRIE TX- 75052 6455,DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,02/13/2017 12:00:00 AM,"Based on the information gathered during the investigation, it was identified that a caregiver at the operation is using objects to hit the children as a form of punishment.",YES,Licensed Center
Suzannes Early Childhood Development Center,622 FREETOWN RD  GRAND PRAIRIE TX- 75051 3951,DALLAS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",04/05/2016 12:00:00 AM,A caregiver used physical exercise as a form of punishment with children.,YES,Licensed Center
Hill Country Day School a Ministry of Hill Country Church,31375 FM 3351 S  FAIR OAKS RANCH TX- 78006 6019,KENDALL,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",03/14/2017 12:00:00 AM,It was determined that a caregiver is using harsh and unusual punishments on children by yelling at them and not using positive guidance during potty training and during naptime.,YES,Licensed Center
Fair Oaks Day School,7825 FAIR OAKS AVE  DALLAS TX- 75231 4603,DALLAS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",04/12/2017 12:00:00 AM,"Based on information obtained, a caregiver inappropriately disciplined a child causing the child to sustain injuries.",NO,Licensed Center
Dars Tiny Tots Daycare,460 W STATE HIGHWAY 29  BERTRAM TX- 78605 4018,BURNET,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,06/28/2017 12:00:00 AM,It was found during an investigation that a caregiver was using their hand to hit childrens bottom that were not laying down for nap time.,YES,Licensed Center
Dars Tiny Tots Daycare,460 W STATE HIGHWAY 29  BERTRAM TX- 78605 4018,BURNET,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",09/19/2017 12:00:00 AM,During the investigation it was found that a  child's ear was pulled by a care giver.,NO,Licensed Center
"Tesia's Tiny Tots Day Care Center, Inc",524 N HIGHWAY 67  CEDAR HILL TX- 75104 2137,DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,11/16/2016 12:00:00 AM,"Based on information gathered, a violation of this standard is determined.",NO,Licensed Center
"Tesia's Tiny Tots Day Care Center, Inc",524 N HIGHWAY 67  CEDAR HILL TX- 75104 2137,DALLAS,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",11/16/2016 12:00:00 AM,"Based on information in care, a child in care was being pinched by a caregiver.",NO,Licensed Center
Happyland Preschool,1613 SOUTH ST  NACOGDOCHES TX- 75964 5987,NACOGDOCHES,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",08/31/2016 12:00:00 AM,Based on the information gathered there was enough evidence gained that a caregiver was using harsh and cruel punishment.,NO,Licensed Center
Phoenix Children's Academy,5601 TIMBER CREEK RD  FLOWER MOUND TX- 75028 3916,DENTON,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,08/02/2017 12:00:00 AM,Based on information gathered during an investigation it was determined that a caregiver grabbed a child by the arm as a form of redirection resulting in an injury to the child's arm.,YES,Licensed Center
Pinnacle Kids Academy III,410 CARSON HILL DR  SAN ANTONIO TX- 78251,BEXAR,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",08/03/2016 12:00:00 AM,"Based on the information gathered during the investigation, a caregiver pinched a child in care.",YES,Licensed Center
Kinder Care Learning Center #1540,13025 LOUETTA RD  CYPRESS TX- 77429 5181,HARRIS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,05/13/2016 12:00:00 AM,"After conducting interviews with operation staff and children at the operation, it was determined that the caregiver in question was using forms of prohibited punishment, hitting children with what they called a ""pow pow"" stick which was a ruler.",YES,Licensed Center
Great Expectations Learning Center,7055 HIGHWAY 6 S  HOUSTON TX- 77083 3305,HARRIS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",12/02/2016 12:00:00 AM,Based on the information obtained a caregiver grabbed a child forcefully by the arm.,NO,Licensed Center
SARD Loving Arms Learning Academy,1613 INDEPENDENCE BLVD  MISSOURI CITY TX- 77489 3394,FORT BEND,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",02/25/2016 12:00:00 AM,"Based on the information obtained during the investigation, there is sufficient evidence to support the allegation that a child was inappropriately disciplined while in care when a caregiver forcefully grabbed her.",YES,Licensed Center
Park South YMCA,2500 ROMINE AVE  DALLAS TX- 75215 3755,DALLAS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",09/07/2017 12:00:00 AM,Children were forced to sit outside in the direct sun for ten minutes as a form of discipline.,NO,Licensed Center
Park South YMCA,2500 ROMINE AVE  DALLAS TX- 75215 3755,DALLAS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",02/22/2016 12:00:00 AM,During naptime the caregiver forced non-sleeping children to stand with their arms out.,NO,Licensed Center
Park South YMCA,2500 ROMINE AVE  DALLAS TX- 75215 3755,DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,02/22/2016 12:00:00 AM,"After interviewing children, it was determined that a caregiver hit a child.",NO,Licensed Center
Park South YMCA,2500 ROMINE AVE  DALLAS TX- 75215 3755,DALLAS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",08/12/2016 12:00:00 AM,A caregiver step on a child leg as a form of discipline.,NO,Licensed Center
Park South YMCA,2500 ROMINE AVE  DALLAS TX- 75215 3755,DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,10/28/2016 12:00:00 AM,Two caregivers hit children with a ruler.,NO,Licensed Center
Faithful Care Learning Center,1910 Bellwood RD   Tyler TX- 75701,SMITH,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,05/03/2016 12:00:00 AM,"Based on the information gathered during the investigation, a caregiver at the operation used inappropriate discipline when they struck a child with a sleeping mat as a punishment.",NO,Licensed Center
Stonebridge Academy,1921 GRASSMERE LN  MCKINNEY TX- 75071 8553,COLLIN,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,05/20/2016 12:00:00 AM,"Based on information gathered, a caregiver hit a child. With information received, the caregiver is no longer employed at the operation.",NO,Licensed Center
Alianza Eco International School,12603 LOUETTA RD STE 112 CYPRESS TX- 77429 0001,HARRIS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",03/01/2017 12:00:00 AM,"Based on the information obtained a caregiver forcefully pulled a child by the right arm from the edge of the carpet, lifted the child up and placed the child near the center of the carpet. The child sustained a small fingernail mark and bruises on the arm.",YES,Licensed Center
Jeanettes Little Haven Christian Academy,7110 HOLLY HILL DR  DALLAS TX- 75231 5207,DALLAS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,03/14/2017 12:00:00 AM,This standard was evaluated as part of an investigation. Based on interviews it was determined that this standard is deficient. A caregiver was hitting children with a hand.,NO,Licensed Center
Jeanettes Little Haven Christian Academy,7110 HOLLY HILL DR  DALLAS TX- 75231 5207,DALLAS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",08/17/2016 12:00:00 AM,A staff member grabbed a child by the shirt.,NO,Licensed Center
Sunshine House,200 LOBO LN  LITTLE ELM TX- 75068 5214,DENTON,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",02/12/2016 12:00:00 AM,It was determined after the investigation that a caregiver did pinch a child in care which resulted in an injury to his neck.,NO,Licensed Center
North Belt Child Development Center,3000 N SAM HOUSTON PKWY E  HOUSTON TX- 77032 3219,HARRIS,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,04/07/2017 12:00:00 AM,"Based on the information obtained during the investigation, through interviews conducted and documents obtained, there is sufficient evidence to support that inappropriate discipline is being used at the center when a child was hit with a rule as a form of discipline.",YES,Licensed Center
Childcare Network #170,2020 S MACARTHUR BLVD  IRVING TX- 75060 6601,DALLAS,"746.2805 - Prohibited Punishments - No Harsh, Cruel or Unusual",01/06/2017 12:00:00 AM,A caregiver used prohibited punishment by grabbing a child by the arm when disciplining the child.,YES,Licensed Center
Fairwood UMC Child Care Center,1712 OLD OMEN RD  TYLER TX- 75701 5129,SMITH,746.2805(4) - Prohibited Punishments - Hitting with Hand or Instrument,06/06/2017 12:00:00 AM,It was found during an investigation that caregivers have hit children with a towel for punishment.,NO,Licensed Center
Metro Christian Academy,935 S CLARK RD  CEDAR HILL TX- 75104 3310,DALLAS,"746.2805(3) - Prohibited Punishments - Pinching, Shaking, or Biting",06/17/2016 12:00:00 AM,A caregiver is pinching and pulling children's ears as punishment.,YES,Licensed Center
Metro Christian Academy,935 S CLARK RD  CEDAR HILL TX- 75104 3310,DALLAS,"746.2805(8) - Prohibited Punishments -Placing Child in Locked, Dark Room",06/17/2016 12:00:00 AM,A caregiver makes children sit in the bathroom alone with the door closed as a form of punishment.,NO,Licensed Center
